barbora_uid,barbora_name,barbora_brand,barbora_size,match_uid,match_name,match_brand,match_size,match_ean,store,similarity,size_diff_pct,tier
00261c4ccdd45a8c386dfe00bcc0ab89,Liköör JÄGERMEISTER 35% 350ml,JÄGERMEISTER,350,4067700013026,Jägermeister liköör 35%vol 350ml,Jägermeister,350 ml,4067700013026,prisma,0.9492,,strong
003f7b2f29e75410832a8f936e4825aa,Whisky ABERLOUR 12YO 40% 700ml tuub,ABERLOUR,700ml,3047100056251,"Aberlour 12YO Single Malt Double Cask whiskey 40%, karbis 700 ml",Aberlour,700 ml,3047100056251,prisma,0.6263,0.0,weak
00598067e72965db26be37dfddb862a1,"Täisterasepik EESTI PAGAR, 500 g",EESTI PAGAR,500 g,4740086016071,Eesti Pagar Täisterasepik 500 G,Eesti Pagar,500 g,4740086016071,prisma,1.0,0.0,strong
00b81bd4f4d1e568f7c7407fa9d64317,"Sulatatud juust VALIO, 185g",VALIO,185g,4740553692609,Valio sulatatud juust 185g,Valio,185 g,4740553692609,prisma,1.0,0.0,strong
013ca77b81f3edaf042d87e610726915,Burgerikukkel seesamis.Eesti Pagar 320g,EESTI PAGAR,320g,4740086011519,Eesti Pagar Burgerikukkel Seesamiseemnete 320 G,Eesti Pagar,320 g,4740086011519,prisma,0.913,0.0,strong
01e5cea5ff24877daecc13344826da4e,KPN kv.vah. JAUME SERRA Cava Brut 750ml,JAUME SERRA,750ml,8411277205654,"Jaume Serra Cava Brut vahuvein 11,5%vol 750ml",Jaume Serra,750 ml,8411277205654,prisma,0.8182,0.0,medium
021b24e712e80edcaaee8e1ce4966824,Kohvioad Classic PAULIG 1kg,PAULIG,1kg,6411300164783,Paulig kohvioad Classic 1 kg,Paulig,1 kg,6411300164783,prisma,0.9818,0.0,strong
032a45d529980282127df318acdb2e7b,"Kaerajook ALPRO, 1l",ALPRO,1l,5411188115366,"Alpro kaerajook, 1l",Alpro,1 l,5411188115366,prisma,0.8182,0.0,medium
03d232bac4c4351d56f22e64b0dc0a77,"Kohup. MO SAAREMAA rasvatu lak.vaba,500g",MO SAAREMAA,500g,4740153101112,"Mo Saaremaa Pehme kohupiim rasvatu, laktoosivaba 500 g",Mo Saaremaa,500 g,4740153101112,prisma,0.7021,0.0,weak
03f37ee27b1aa6ad7cab0399a9bc34b6,Jahvatatud kohv In-Cup MERRILD 400g,MERRILD,400g,8000070002395,Merrild tassikohv In-Cup 400 g,Merrild,400 g,8000070002395,prisma,0.8,0.0,medium
