barbora_uid,barbora_name,barbora_brand,barbora_size,match_uid,match_name,match_brand,match_size,match_ean,store,similarity,size_diff_pct,tier
0015189409fbc8a3ceaf01aea686ab93,"Eestimain.br.kintsuliha A-kl TALLEGG, kg",TALLEGG,,,"Broileri kintsuliha, värske, A-klass Tallegg kg",Tallegg,,,rimi,0.6526,,weak
00261c4ccdd45a8c386dfe00bcc0ab89,Liköör JÄGERMEISTER 35% 350ml,JÄGERMEISTER,350,,Liköör Jägermeister 35% 1l,Jägermeister,1l,,rimi,0.9362,,strong
003f7b2f29e75410832a8f936e4825aa,Whisky ABERLOUR 12YO 40% 700ml tuub,ABERLOUR,700ml,,"Whisky Aberlour 12 YO Double Cask Matured 40%vol 0,7l",Aberlour,"0,7l",,rimi,0.6136,0.0,weak
005408a6d6f6c5d5836c9a890e5f4822,"Trühvlitort REVAL KONDIITER, 500g",REVAL KONDIITER,500g,,Trühvlitort Reval Kondiiter 500g,Reval Kondiiter,500g,,rimi,1.0,0.0,strong
00598067e72965db26be37dfddb862a1,"Täisterasepik EESTI PAGAR, 500 g",EESTI PAGAR,500 g,,Täisterasepik Eesti Pagar 500g,Eesti Pagar,500g,,rimi,0.9091,0.0,strong
0070ba495e7a24331cd5b0d6dadfc021,"Riivjuust EESTI JUUST, 200g",ESTOVER,200g,,"Riivjuust Eesti Estover 25,2% 200g",Estover,200g,,rimi,0.9032,0.0,strong
00858807e8d551499f12c4d26ed881dc,"Palermo salaami RAKVERE,200g",RAKVERE,200g,,Salaami Palermo Rakvere 200g,Rakvere,200g,,rimi,0.902,0.0,strong
0088161bc42c4d65abad4c14a8112917,Viin ZUBROWKA Biala 40% 700ml,ZUBROWKA,700ml,,"Viin Zubrowka Biala 40% 0,7l",Zubrowka,"0,7l",,rimi,0.9123,0.0,strong
00b7f5ab24895241004383d941266041,"Poolsuitsuvorst Tõmmu WÕRO, 350g",WÕRO,350g,,Tõmmu suitsuvorst juustuga 350g,Wõro,350g,,rimi,0.7606,0.0,medium
00b81bd4f4d1e568f7c7407fa9d64317,"Sulatatud juust VALIO, 185g",VALIO,185g,,Sulatatud juust Valio 185g,Valio,185g,,rimi,1.0,0.0,strong
00cb5a0781ea86c9c6f6d5d3b665d73f,"Võileivamääre FARMI karul.pestoga,150g",FARMI,150g,,Võileivamääre karulaugupesto Farmi 150g,Farmi,150g,,rimi,0.7733,0.0,medium
00f3e3bed8d60964e58725a540dae4e3,Lahustuv kohv NESCAFÉ® CLASSIC 100g,NESCAFE,100g,,Kohv lahustuv Nescafé Classic Crema 100g,Nescafe,100g,,rimi,1.0,0.0,strong
010f1d30d6d5583709d131acbc8fa5ea,Piiritusjook STAR DOLLAR 3* 30 % 500ml,STAR DOLLAR,500,,"Muu piiritusjook Star Dollar 0,2l",Star Dollar,"0,2l",,rimi,0.8421,,medium
013ca77b81f3edaf042d87e610726915,Burgerikukkel seesamis.Eesti Pagar 320g,EESTI PAGAR,320g,,Burgerikukkel seesamiseemnetega Eesti Pagar 4x80g,Eesti Pagar,4x80g,,rimi,0.8511,0.0,medium
01815521ea0371083bc3dde11233afd7,Viin ZUBROWKA Biala 40% 500 ml,ZUBROWKA,500 ml,,"Viin Zubrowka Biala 40% 0,5l",Zubrowka,"0,5l",,rimi,0.902,0.0,strong
01a62f59eb5423a9d71ea90b5222f596,Whisky J.WALKER Red Label 40% 500ml,JOHNNIE WALKER,500ml,,"Whisky Johnnie Walker Red Label 40% 0,5l",Johnnie Walker,"0,5l",,rimi,0.9333,0.0,strong
01cb6ed524446db1dc3dda6cef799222,Maits.Viin ZUBROWKA Bis.Grass 37.5% 0.5L,ZUBROWKA,5L,,"Maitsestatud viin Zubrowka Bison Grass 37,5%vol 0,5l",Zubrowka,"0,5l",,rimi,0.8261,90.0,medium
01e5cea5ff24877daecc13344826da4e,KPN kv.vah. JAUME SERRA Cava Brut 750ml,JAUME SERRA,750ml,,"Kaitstud päritolunimetusega kvaliteetvahuvein Cava Jaume Serra Castelfino Brut 0,75l",Jaume Serra,"0,75l",,rimi,0.7,0.0,weak
021b24e712e80edcaaee8e1ce4966824,Kohvioad Classic PAULIG 1kg,PAULIG,1kg,,Kohvioad Paulig Classic Crema 1kg,Paulig,1kg,,rimi,1.0,0.0,strong
022c590a6b3e1d0fdbf18ef3fe53b2d6,"Juustupulgad PIK-NIK Classic, 140g",PIK-NIK,140g,,Juustupulgad Pik-Nik 160g,Pik-Nik,160g,,rimi,0.8889,12.5,medium
023bbf0993620e7145fad0d18bf56591,"Jäätis MANHATTAN banaan&soko.pere,742g",MANHATTAN,742g,,"Jäätis banaani-šokolaadi Manhattan 1,4l/742g",Manhattan,"1,4l",,rimi,0.65,47.0,weak
027531e1368e9f947d62b60c7824f424,"Toorjuust OTTO, 150g",PIIMAMEISTER OTTO,150g,,Toorjuust Piimameister Otto 150g,Piimameister Otto,150g,,rimi,1.0,0.0,strong
029f53f93037290520f00903188814bc,Koore. kukeseene kaste FOODSTUDIO 230ml,FOODSTUDIO,230ml,,Punase veini kaste Foodstudio 230ml,Foodstudio,230ml,,rimi,0.7719,0.0,medium
02bc379d92bef57e8af7307ceb6533ab,"Piprasalaami OSKAR, 80g viil",OSKAR,80g,,Piprasalaami viil Oskar 80g,Oskar,80g,,rimi,1.0,0.0,strong
02c47d67a0a704802bb1f8bab1746b0b,"Joogijogurt ALMA ploomi-jäätise, 275g",ALMA,275g,,Jäätisemaitseline ploomijogurtijook Alma 275g,Alma,275g,,rimi,0.675,0.0,weak
032a45d529980282127df318acdb2e7b,"Kaerajook ALPRO, 1l",ALPRO,1l,,Kaerajook kohvile Barista Alpro 1l,Alpro,1l,,rimi,0.8372,0.0,medium
037869910d16735b0c25b647e98039cc,"Sojadessert ALPRO šokolaadimaits,125g",ALPRO,125g,,Sojadessert tumeda šokolaadiga Alpro 125g,Alpro,125g,,rimi,0.7368,0.0,weak
0386559d62e29b7e1a39fc0fe80e04a2,Juusturull 113g,EESTI PAGAR,113g,,Juusturull 115g,Eesti Pagar,115g,,rimi,0.963,1.74,strong
03f37ee27b1aa6ad7cab0399a9bc34b6,Jahvatatud kohv In-Cup MERRILD 400g,MERRILD,400g,,Kohv jahvatatud in-cup Merrild 400g,Merrild,400g,,rimi,1.0,0.0,strong
03fbdbfa924b5fbefc867bbe9665bfce,Taimne puding kookos-chia DEARY 150g,DEARY,150g,,Taimne puding Chia-kookose Deary 150g,Deary,150g,,rimi,0.8493,0.0,medium
049cd37d1fcdea15b009e686d4069883,"Tarretis JÄNKS kiivimaitseline, 150g",JÄNKS,150g,,Kirsimaitseline tarretis Jänks 150g,Jänks,150g,,rimi,0.9296,0.0,strong
