rimi_id	selver_id
7113477	40899
127203	145514
4006516	47078
153419	126751
103499	126747
1368721	2978
1355566	126403
1350490	127079
1355553	2978
1350100	42401
1353332	125475
1350021	125415
1362932	42276
1370075	2133
1353983	125410
1356134	125409
909207	48513
204961	1489
228404	1829
959636	11331
4006512	125490
4006345	9392
4006326	9376
4006327	125451
966544	1582
291319	125416
936940	125425
281036	125421
201396	125426
206914	125430
4003972	125420
604398	42618
7043483	1200
704118	18709
7059758	41120
154906	42077
257130	125633
4007299	7006
4007306	32370
196732	38497
1374411	480
1359864	39908
154924	2596
1021550	127111
1370665	23835
1370664	21764
1003332	124382
1002025	124332
1002026	124366
1015506	40628
1366358	126343
1350501	124645
1350502	124647
1350301	145503
1356526	126786
1354605	124647
966053	125340
4008741	125784
1016930	130843
1016970	130844
946415	56028
946421	173689
7111781	133835
688623	126191
257544	144216
108081	50445
1004089	144348
1001130	141015
124215	1905
138260	126831
136903	127188
158124	126748
973840	125941
7232855	38730
1367150	307344
1374560	307366
1372579	149422
160105	30070
4003036	75035
961199	60179
962331	124065
102078	124524
164180	30181
101302	3689
104717	124866
106386	123906
111649	134468
917852	35115
102993	21962
293661	125354
7302852	307399
7134471	79653
1020469	42195
1020490	127116
7069874	44108
1375566	4216
7258533	127295
1372726	3381
7283898	11584
796556	41273
273198	144192
202539	126444
1011810	126662
685873	124772
1366677	126300
145833	126733
1358902	39888
157812	170075
149034	124607
279877	125484
4007653	1187
158316	139494
994051	125427
994050	125424
4005962	125437
996239	139451
996260	46802
154064	37050
941401	21332
1000086	307245
1006375	126357
1014477	126816
902542	126327
118445	125517
118444	125519
7289318	41600
940031	173693
1375704	125540
277092	172669
900275	173715
923009	125649
1006742	25657
4006666	125488
4006667	125486
200132	125290
200119	126891
4007629	126633
270826	144207
198916	125760
194232	28149
200388	2731
203205	125492
207467	123748
995050	3939
995060	2627
980884	62686
281289	9774
1370796	1287
1374191	1510
1365489	307323
902923	96055
200164	1693
1021020	171557
101376	134548
187240	55084
128645	127214
168128	7119
1360740	307317
1364243	126411
1360725	126410
101157	126903
109148	126901
105298	48361
4005253	11352
4005243	12090
4005252	125463
939100	125500
939092	12827
168991	126257
923303	3797
973928	221767
203600	66524
192219	3617
1370684	39532
997915	125071
267609	9773
7113478	149333
1005989	134589
139392	39845
136671	40765
7032736	39258
103856	125118
134984	145526
275278	221781
299035	123958
275279	124407
200295	124440
275277	123950
925734	125942
100967	171532
135784	5859
1013256	137824
4008470	1526
1354093	3219
1351101	125455
1020435	144360
1003130	307239
1003128	39848
134876	141236
7179496	125839
103869	123933
7176585	123911
746011	123932
105093	125881
108999	125880
1365130	1383
7308471	126393
7048268	127299
911268	21392
902179	125435
1017311	125887
1017312	126136
102204	126201
904178	307303
932849	126849
155985	126380
7070069	42131
101808	38526
685759	41287
257082	221875
257084	233693
257086	221874
101816	149321
7018656	42058
7251424	127052
141200	123966
7000189	44065
929261	123761
1001167	29908
1360604	123753
167120	126939
1009893	123968
118989	68474
119057	67085
1004352	4664
1009705	141050
121220	143003
100341	2170
192954	2423
998888	20710
100837	126213
206435	20223
931604	124853
946107	125352
964018	125005
4004279	201
4004278	165
925984	32424
901278	54240
999093	123861
935413	124194
7218924	42635
269083	264
269082	128
1375891	127082
185689	1528
260222	12046
214326	145495
210747	126438
1004563	126985
100786	158420
101019	134549
168804	127286
1020219	27229
176022	233705
162896	134551
165627	125082
194503	127178
162638	131137
162636	134467
7153924	80924
1351130	125447
1020519	131921
200892	124
1020231	144347
4007704	126085
101730	41110
1008344	125261
1018539	125226
1012455	125227
1012445	125228
1012454	125231
1018545	125233
1012444	125235
1008360	125266
111032	125033
1016715	131155
1017016	125758
1001461	126039
192779	2759
279166	2736
938716	4046
1008167	134577
135052	1992
7298677	61660
1369375	139473
192033	125889
193753	125890
100712	139487
160255	91018
1003826	125277
160583	131146
171957	2138
160578	131154
1372484	398
106479	125806
1021275	124109
210718	124349
996641	124686
200835	123733
945941	124391
213197	124450
268771	123762
275290	124451
212564	124370
268338	123808
269163	124405
269153	124353
269167	124342
221465	123800
214958	124445
972321	124371
200640	123862
266415	124374
266894	124164
269181	124460
268335	124372
279915	124410
194882	125787
138797	125791
195098	125787
194589	125792
138796	90973
193468	125705
1000058	149359
256625	144212
4006529	133868
976177	7446
975080	3731
975093	3946
264076	1549
264074	124221
981556	33613
986944	31898
936265	123893
4008510	124188
914311	1687
1010375	126818
7260831	3824
1014855	30503
1014868	2364
7308552	145499
7308560	145500
100872	233668
170888	125269
160375	126983
171307	126973
7030860	18126
1368908	233697
164254	134596
167396	134595
164474	134593
1002666	124843
134662	134515
1354621	134517
1374017	3650
1370604	125542
1374656	125555
1361974	307458
291697	10950
459994	146240
982967	126694
7197677	149427
7197676	149429
945921	124204
7203786	146242
611349	146245
1014238	38100
193024	125253
199825	125257
199826	125260
1007474	126140
101091	44031
123356	124890
123354	124894
123355	124888
1012202	124908
1012203	124909
1012201	124910
1012211	124919
1004280	124914
1021035	124915
1016410	124904
7308431	124496
1005077	3048
1005076	125944
923301	3120
203536	3275
224030	124277
274116	124269
203556	31720
203535	3783
203532	124119
263689	6233
922941	123735
261559	123875
202745	123820
4001383	9575
7267902	124543
267403	127170
1014970	48814
165526	127138
4008107	8865
957905	221869
4008031	3208
1000513	28149
4003109	126323
921953	134565
1017051	7516
1017050	7732
1019317	27799
102306	233736
103156	233746
103154	175841
186957	170120
7275364	126944
299393	56077
216940	125108
285329	3497
285428	125140
277560	125109
1375636	124446
7284834	126475
770660	139493
7290291	130880
7108966	130878
7221518	130879
7259476	126871
7259440	126872
7259477	126873
7187140	130912
7295616	141225
170123	124628
170101	127242
164498	139440
162159	140990
1357792	125439
177553	20293
177528	22901
1360392	126405
1360378	126404
1356220	233673
249144	13882
1350740	125470
7031400	133848
930541	126584
169235	125995
191958	126350
135352	133
135796	127313
100242	127315
138395	130830
134280	149352
7270618	65137
7258537	126908
7270617	19038
1367836	126263
7096822	20028
7150644	149425
260027	124134
260026	10361
179068	130849
190940	125770
176322	125771
194896	125776
158376	2790
101029	3552
168805	18028
940127	221835
273394	54601
205642	124219
905415	2673
202051	123727
202594	124319
919198	2213
904668	123744
200794	123744
996823	4740
205258	123881
968273	5000
1350928	307460
258382	125963
931998	125017
153369	126244
165298	126538
153353	127184
153352	127187
153367	127194
153341	127195
115829	125374
176441	143015
1355392	307563
1351880	152350
299167	3343
298217	169
7267293	38469
1350164	471
106392	149
916778	126856
916800	126857
919402	1215
7259421	2046
1350294	207
1350165	471
923076	11732
1365296	126268
1372565	126420
1350168	125454
1357600	125450
1352483	125454
1375334	307315
1374094	307319
1371456	2045
179335	124127
140862	126112
195663	136
109264	54027
169598	139481
1021472	20253
1019474	7124
181674	139521
133667	133803
100119	139519
128672	3972
126278	126450
123665	3365
7151465	125593
1017040	3816
136097	146261
185990	43413
940257	38385
164252	134554
1010411	134574
4003169	170038
1365387	233741
1367110	126414
1367096	126413
105200	307420
140209	146265
155315	123832
987181	125739
987182	126009
119314	125119
100238	137858
1008745	170090
200840	3720
4000778	1891
4005041	4342
262727	4342
902205	4055
266352	3217
905246	34126
203207	8019
203115	8019
911467	53176
120848	124207
203113	7586
201640	8108
257883	1945
4007685	1891
274856	1762
902636	3854
202383	2716
1012586	1798
1012578	124517
176285	3752
176297	1572
181842	65505
176286	22809
155207	125164
164285	139453
135186	139496
183475	137862
183484	142991
992930	80500
4008026	8674
286666	1330
7286750	149332
165254	233670
165255	233721
165253	187944
129144	170088
154878	3905
100854	4210
7281332	18449
115834	124557
1006151	126751
142103	134557
157645	147930
156273	147932
977962	3749
201173	134585
1354409	126418
921751	9418
277897	125065
905598	9905
4007682	10172
4007678	9635
977123	9857
985422	12132
912843	62434
970804	52992
1366920	149365
1369094	40966
1350362	426
1372006	149362
1365735	149363
1373947	149364
1368213	124641
151810	24573
102834	126500
1368156	307482
1359650	124634
1351784	124633
1350086	124642
1373243	145504
1373241	145505
201845	124850
993200	221794
993201	221853
914861	125680
201844	4102
253033	23421
297436	3504
296505	127233
280796	54334
206455	1588
272582	10892
1017531	126062
970584	123740
901162	126571
200369	124278
1357112	39945
171401	124864
939941	10204
1355116	126657
949674	126807
4004087	3446
7146603	126825
768328	1531
