match_level,match_rule,ean_to_copy_to_vandra,ean_copy_reason,haapsalu_name,haapsalu_brand,haapsalu_size_text,haapsalu_price,haapsalu_image_url,haapsalu_url,haapsalu_ean_raw,vandra_name,vandra_brand,vandra_size_text,vandra_price,vandra_image_url,vandra_url,vandra_ean_raw,haapsalu_chain,haapsalu_channel,haapsalu_store_host,haapsalu_city_path,haapsalu_category_name,haapsalu_ext_id,haapsalu_manufacturer,haapsalu_currency,haapsalu_description,haapsalu_scraped_at,haapsalu_name_clean,haapsalu_brand_clean,haapsalu_size_norm,haapsalu_name_key,haapsalu_first2,haapsalu_first1,vandra_chain,vandra_channel,vandra_store_host,vandra_city_path,vandra_category_name,vandra_ext_id,vandra_manufacturer,vandra_currency,vandra_description,vandra_scraped_at,vandra_name_clean,vandra_brand_clean,vandra_size_norm,vandra_name_key,vandra_first2,vandra_first1
strong,ean_equal,,,7 Days midi croissant kakaokreemiga 60g,Mondelez Baltic UAB,60g,0.84999999999999997779553950749686919152736663818359375,,https://coophaapsalu.ee/toode/croissant-7days-60g/,5201360521210,7 Days midi croissant kakaokreemiga 60g,Mondelez Baltic UAB,60g,12.5,,https://vandra.ecoop.ee/et/toode/14086978-7-days-midi-croissant-kakaokreemiga-60g,5201360521210,,,coophaapsalu.ee,,,5201360521210,Mondelez Baltic UAB,EUR,,2025-09-17 22:55:23.651038+00,7 days midi croissant kakaokreemiga 60g,mondelez baltic uab,60g,60g 7 croissant days kakaokreemiga midi,7 days,7,,,vandra.ecoop.ee,,,14086978,Mondelez Baltic UAB,EUR,,2025-10-10 01:59:52.596483+00,7 days midi croissant kakaokreemiga 60g,mondelez baltic uab,60g,60g 7 croissant days kakaokreemiga midi,7 days,7
strong,ean_equal,,,Aasa Mannapuder maasikatega 200g,Aasa,200g,1.29000000000000003552713678800500929355621337890625,,https://coophaapsalu.ee/toode/mannapuder-maasikate200g/,4770265048067,Aasa Mannapuder maasikatega 200g,Aasa,200g,6.45000000000000017763568394002504646778106689453125,,https://vandra.ecoop.ee/et/toode/21114267-aasa-mannapuder-maasikatega-200g,4770265048067,,,coophaapsalu.ee,,,4770265048067,Pieno Zvaigzdes AB,EUR,,2025-09-18 00:16:04.752528+00,aasa mannapuder maasikatega 200g,aasa,200g,200g aasa maasikatega mannapuder,aasa mannapuder,aasa,,,vandra.ecoop.ee,,,21114267,Pieno Zvaigzdes AB,EUR,,2025-10-11 02:25:24.651765+00,aasa mannapuder maasikatega 200g,aasa,200g,200g aasa maasikatega mannapuder,aasa mannapuder,aasa
strong,ean_equal,,,Aasa Riisipuder aprikoosidega 200g,Aasa,200g,1.29000000000000003552713678800500929355621337890625,,https://coophaapsalu.ee/toode/riisipuder-aprikoos-200g/,4770265048043,Aasa Riisipuder aprikoosidega 200g,Aasa,200g,6.45000000000000017763568394002504646778106689453125,,https://vandra.ecoop.ee/et/toode/21114184-aasa-riisipuder-aprikoosidega-200g,4770265048043,,,coophaapsalu.ee,,,4770265048043,Pieno Zvaigzdes AB,EUR,,2025-09-18 00:16:04.752528+00,aasa riisipuder aprikoosidega 200g,aasa,200g,200g aasa aprikoosidega riisipuder,aasa riisipuder,aasa,,,vandra.ecoop.ee,,,21114184,Pieno Zvaigzdes AB,EUR,,2025-10-07 13:10:31.292384+00,aasa riisipuder aprikoosidega 200g,aasa,200g,200g aasa aprikoosidega riisipuder,aasa riisipuder,aasa
strong,ean_equal,,,Aasa Riisipuder kirssidega 200g,Aasa,200g,1.29000000000000003552713678800500929355621337890625,,https://coophaapsalu.ee/toode/riisipuder-kirsside-200g/,4770265048050,Aasa Riisipuder kirssidega 200g,Aasa,200g,6.45000000000000017763568394002504646778106689453125,,https://vandra.ecoop.ee/et/toode/21114050-aasa-riisipuder-kirssidega-200g,4770265048050,,,coophaapsalu.ee,,,4770265048050,Pieno Zvaigzdes AB,EUR,,2025-09-18 00:16:04.752528+00,aasa riisipuder kirssidega 200g,aasa,200g,200g aasa kirssidega riisipuder,aasa riisipuder,aasa,,,vandra.ecoop.ee,,,21114050,Pieno Zvaigzdes AB,EUR,,2025-10-09 09:03:54.430932+00,aasa riisipuder kirssidega 200g,aasa,200g,200g aasa kirssidega riisipuder,aasa riisipuder,aasa
strong,ean_equal,,,Ace Lemon pesuvalgendaja 1L,Ace,1L,2.390000000000000124344978758017532527446746826171875,,https://coophaapsalu.ee/toode/ace-lemon-1l/,4750100784619,Ace Lemon pesuvalgendaja 1L,Ace,1L,4.6500000000000003552713678800500929355621337890625,,https://vandra.ecoop.ee/et/toode/12594452-ace-lemon-pesuvalgendaja-1l,4750100784619,,,coophaapsalu.ee,,,4750100784619,Procter&Gamble,EUR,,2025-09-18 01:40:06.529333+00,ace lemon pesuvalgendaja 1l,ace,1l,1l ace lemon pesuvalgendaja,ace lemon,ace,,,vandra.ecoop.ee,,,12594452,Procter&Gamble,EUR,,2025-10-11 02:24:04.79287+00,ace lemon pesuvalgendaja 1l,ace,1l,1l ace lemon pesuvalgendaja,ace lemon,ace
strong,ean_equal,,,Ace Regular pesuvalgendaja 1L,Ace,1L,1.9899999999999999911182158029987476766109466552734375,,https://coophaapsalu.ee/toode/ace-regular-1l/,8001480022706,Ace Regular pesuvalgendaja 1L,Ace,1L,10.1899999999999995026200849679298698902130126953125,,https://vandra.ecoop.ee/et/toode/12848664-ace-regular-pesuvalgendaja-1l,8001480022706,,,coophaapsalu.ee,,,8001480022706,Procter&Gamble,EUR,,2025-09-18 01:40:06.529333+00,ace regular pesuvalgendaja 1l,ace,1l,1l ace pesuvalgendaja regular,ace regular,ace,,,vandra.ecoop.ee,,,12848664,Procter&Gamble,EUR,,2025-10-11 02:24:04.79287+00,ace regular pesuvalgendaja 1l,ace,1l,1l ace pesuvalgendaja regular,ace regular,ace
strong,ean_equal,,,Adventuros maius koerale 120g pühvel,Adventuros,120g ,1.850000000000000088817841970012523233890533447265625,,https://coophaapsalu.ee/toode/narimispulgad-puhvel120g/,7613035516335,Adventuros maius koerale 120g pühvel,Adventuros,120g ,15.4199999999999999289457264239899814128875732421875,,https://vandra.ecoop.ee/et/toode/22634689-adventuros-maius-koerale-120g-puhvel,7613035516335,,,coophaapsalu.ee,,,7613035516335,Nestle Purina,EUR,,2025-09-17 23:55:44.52269+00,adventuros maius koerale 120g pühvel,adventuros,120g,120g adventuros koerale maius pühvel,adventuros maius,adventuros,,,vandra.ecoop.ee,,,22634689,Nestle Purina,EUR,,2025-10-10 02:16:47.536821+00,adventuros maius koerale 120g pühvel,adventuros,120g,120g adventuros koerale maius pühvel,adventuros maius,adventuros
strong,ean_equal,,,Adventuros maius koerale 90g hirv,Adventuros,90g ,1.850000000000000088817841970012523233890533447265625,,https://coophaapsalu.ee/toode/narimispulgad-hirv-90g/,7613035516472,Adventuros maius koerale 90g hirv,Adventuros,90g ,20.559999999999998721023075631819665431976318359375,,https://vandra.ecoop.ee/et/toode/22634686-adventuros-maius-koerale-90g-hirv,7613035516472,,,coophaapsalu.ee,,,7613035516472,Nestle Purina,EUR,,2025-09-17 23:55:44.52269+00,adventuros maius koerale 90g hirv,adventuros,90g,90g adventuros hirv koerale maius,adventuros maius,adventuros,,,vandra.ecoop.ee,,,22634686,Nestle Purina,EUR,,2025-10-10 02:16:47.536821+00,adventuros maius koerale 90g hirv,adventuros,90g,90g adventuros hirv koerale maius,adventuros maius,adventuros
strong,ean_equal,,,Adventuros maius koerale 90g metssiga,Adventuros,90g ,1.850000000000000088817841970012523233890533447265625,,https://coophaapsalu.ee/toode/adventuros-maius-koerale-90g-metssiga/,7613035516458,Adventuros maius koerale 90g metssiga,Adventuros,90g ,20.559999999999998721023075631819665431976318359375,,https://vandra.ecoop.ee/et/toode/22634683-adventuros-maius-koerale-90g-metssiga,7613035516458,,,coophaapsalu.ee,,,7613035516458,Nestle Purina,EUR,,2025-09-17 23:55:44.52269+00,adventuros maius koerale 90g metssiga,adventuros,90g,90g adventuros koerale maius metssiga,adventuros maius,adventuros,,,vandra.ecoop.ee,,,22634683,Nestle Purina,EUR,,2025-10-10 02:16:47.536821+00,adventuros maius koerale 90g metssiga,adventuros,90g,90g adventuros koerale maius metssiga,adventuros maius,adventuros
strong,ean_equal,,,Ajax Lemon küürimispulber 450g,Ajax,450g,2.25,,https://coophaapsalu.ee/toode/ajax-lemon-kuurimispulber-450g/,8718951038912,Ajax Lemon küürimispulber 450g,Ajax,450g,5,,https://vandra.ecoop.ee/et/toode/21840356-ajax-lemon-kuurimispulber-450g,8718951038912,,,coophaapsalu.ee,,,8718951038912,Colgate&Palmolive SIA,EUR,,2025-09-18 01:40:06.529333+00,ajax lemon küürimispulber 450g,ajax,450g,450g ajax küürimispulber lemon,ajax lemon,ajax,,,vandra.ecoop.ee,,,21840356,Colgate&Palmolive SIA,EUR,,2025-10-11 02:34:49.222779+00,ajax lemon küürimispulber 450g,ajax,450g,450g ajax küürimispulber lemon,ajax lemon,ajax
