match_level,match_rule,name_similarity,ean_to_copy_to_vandra,ean_copy_reason,haapsalu_name,haapsalu_brand,haapsalu_size_text,haapsalu_price,haapsalu_image_url,haapsalu_url,haapsalu_ean_raw,vandra_name,vandra_brand,vandra_size_text,vandra_price,vandra_image_url,vandra_url,vandra_ean_raw,haapsalu_chain,haapsalu_channel,haapsalu_store_host,haapsalu_city_path,haapsalu_category_name,haapsalu_ext_id,haapsalu_manufacturer,haapsalu_currency,haapsalu_description,haapsalu_scraped_at,haapsalu_name_clean,haapsalu_brand_clean,haapsalu_size_norm,haapsalu_name_key,haapsalu_first2,haapsalu_first1,vandra_chain,vandra_channel,vandra_store_host,vandra_city_path,vandra_category_name,vandra_ext_id,vandra_manufacturer,vandra_currency,vandra_description,vandra_scraped_at,vandra_name_clean,vandra_brand_clean,vandra_size_norm,vandra_name_key,vandra_first2,vandra_first1
weak,"block(first1,size)+fuzzy>=0.85",0.9176470588235294,4770265214028,from_haapsalu_match,Aasa mahejogurt mustikatega 370g lakt.va,Aasa,370g ,1.79000000000000003552713678800500929355621337890625,,https://coophaapsalu.ee/toode/aasa-mahejogurt-mustikatega-370g-lakt-va/,4770265214028,Aasa Mahejogurt mustikatega 370g laktoosivaba,Aasa,370g ,4.839999999999999857891452847979962825775146484375,,https://vandra.ecoop.ee/et/toode/22959626-aasa-mahejogurt-mustikatega-370g-laktoosivaba,,,,coophaapsalu.ee,,,4770265214028,Pieno Zvaigzdes AB,EUR,,2025-09-18 00:16:04.752528+00,aasa mahejogurt mustikatega 370g lakt.va,aasa,370g,370g aasa lakt.va mahejogurt mustikatega,aasa mahejogurt,aasa,,,vandra.ecoop.ee,,,22959626,Pieno Zvaigzdes AB,EUR,,2025-10-11 02:25:24.651765+00,aasa mahejogurt mustikatega 370g laktoosivaba,aasa,370g,370g aasa laktoosivaba mahejogurt mustikatega,aasa mahejogurt,aasa
weak,"block(first1,size)+fuzzy>=0.85",0.8615384615384616,,,Aasa Riisipuder aprikoosidega 200g,Aasa,200g,1.29000000000000003552713678800500929355621337890625,,https://coophaapsalu.ee/toode/riisipuder-aprikoos-200g/,4770265048043,Aasa Riisipuder kirssidega 200g,Aasa,200g,6.45000000000000017763568394002504646778106689453125,,https://vandra.ecoop.ee/et/toode/21114050-aasa-riisipuder-kirssidega-200g,4770265048050,,,coophaapsalu.ee,,,4770265048043,Pieno Zvaigzdes AB,EUR,,2025-09-18 00:16:04.752528+00,aasa riisipuder aprikoosidega 200g,aasa,200g,200g aasa aprikoosidega riisipuder,aasa riisipuder,aasa,,,vandra.ecoop.ee,,,21114050,Pieno Zvaigzdes AB,EUR,,2025-10-09 09:03:54.430932+00,aasa riisipuder kirssidega 200g,aasa,200g,200g aasa kirssidega riisipuder,aasa riisipuder,aasa
weak,"block(first1,size)+fuzzy>=0.85",0.8615384615384616,,,Aasa Riisipuder kirssidega 200g,Aasa,200g,1.29000000000000003552713678800500929355621337890625,,https://coophaapsalu.ee/toode/riisipuder-kirsside-200g/,4770265048050,Aasa Riisipuder aprikoosidega 200g,Aasa,200g,6.45000000000000017763568394002504646778106689453125,,https://vandra.ecoop.ee/et/toode/21114184-aasa-riisipuder-aprikoosidega-200g,4770265048043,,,coophaapsalu.ee,,,4770265048050,Pieno Zvaigzdes AB,EUR,,2025-09-18 00:16:04.752528+00,aasa riisipuder kirssidega 200g,aasa,200g,200g aasa kirssidega riisipuder,aasa riisipuder,aasa,,,vandra.ecoop.ee,,,21114184,Pieno Zvaigzdes AB,EUR,,2025-10-07 13:10:31.292384+00,aasa riisipuder aprikoosidega 200g,aasa,200g,200g aasa aprikoosidega riisipuder,aasa riisipuder,aasa
weak,"block(first1,size)+fuzzy>=0.85",0.8732394366197183,47500884,from_haapsalu_match,Actimel maasika jogurtijook 4*100g,Actimel,100g,2.390000000000000124344978758017532527446746826171875,,https://coophaapsalu.ee/toode/jog-jook-maasika-4100g/,47500884,Actimel jogurtijook 4*100g metsamarja,Actimel,100g ,5.96999999999999975131004248396493494510650634765625,,https://vandra.ecoop.ee/et/toode/18415151-actimel-jogurtijook-4100g-metsamarja,,,,coophaapsalu.ee,,,47500884,Danone,EUR,,2025-09-18 00:16:04.752528+00,actimel maasika jogurtijook 4*100g,actimel,100g,100g 4 actimel jogurtijook maasika,actimel maasika,actimel,,,vandra.ecoop.ee,,,18415151,Danone,EUR,,2025-10-11 02:25:24.651765+00,actimel jogurtijook 4*100g metsamarja,actimel,100g,100g 4 actimel jogurtijook metsamarja,actimel jogurtijook,actimel
weak,"block(first1,size)+fuzzy>=0.85",0.8732394366197183,4751008971026,from_haapsalu_match,Actimel maasika jogurtijook 8*100g,Actimel,100g,4.29000000000000003552713678800500929355621337890625,,https://coophaapsalu.ee/toode/jog-jook-maasika-8100g/,4751008971026,Actimel jogurtijook 8*100g metsamarja,Actimel,100g ,5.36000000000000031974423109204508364200592041015625,,https://vandra.ecoop.ee/et/toode/18766940-actimel-jogurtijook-8100g-metsamarja,,,,coophaapsalu.ee,,,4751008971026,Danone,EUR,,2025-09-18 00:16:04.752528+00,actimel maasika jogurtijook 8*100g,actimel,100g,100g 8 actimel jogurtijook maasika,actimel maasika,actimel,,,vandra.ecoop.ee,,,18766940,Danone,EUR,,2025-10-08 21:06:35.095012+00,actimel jogurtijook 8*100g metsamarja,actimel,100g,100g 8 actimel jogurtijook metsamarja,actimel jogurtijook,actimel
weak,"block(first1,size)+fuzzy>=0.85",0.9310344827586207,4751008970500,from_haapsalu_match,Activia kirsi jogurt 4*120g,Activia,120g,2.79000000000000003552713678800500929355621337890625,,https://coophaapsalu.ee/toode/jog-activia-kirsi-4120g/,4751008970500,Activia Kirsi jogurt 2.6% 4*120g,Activia,120g,5.80999999999999960920149533194489777088165283203125,,https://vandra.ecoop.ee/et/toode/14480731-activia-kirsi-jogurt-26-4120g,,,,coophaapsalu.ee,,,4751008970500,Danone,EUR,,2025-09-18 00:16:04.752528+00,activia kirsi jogurt 4*120g,activia,120g,120g 4 activia jogurt kirsi,activia kirsi,activia,,,vandra.ecoop.ee,,,14480731,Danone,EUR,,2025-10-09 05:01:38.216885+00,activia kirsi jogurt 2.6% 4*120g,activia,120g,120g 2.6 4 activia jogurt kirsi,activia kirsi,activia
weak,"block(first1,size)+fuzzy>=0.85",0.9354838709677419,4751008970494,from_haapsalu_match,Activia maasika jogurt 4*120g,Activia,120g,2.79000000000000003552713678800500929355621337890625,,https://coophaapsalu.ee/toode/jog-activia-maasika4120/,4751008970494,Activia Maasika jogurt 2.6% 4*120g,Activia,120g,5.80999999999999960920149533194489777088165283203125,,https://vandra.ecoop.ee/et/toode/14480314-activia-maasika-jogurt-26-4120g,,,,coophaapsalu.ee,,,4751008970494,Danone,EUR,,2025-09-18 00:16:04.752528+00,activia maasika jogurt 4*120g,activia,120g,120g 4 activia jogurt maasika,activia maasika,activia,,,vandra.ecoop.ee,,,14480314,Danone,EUR,,2025-10-09 09:03:54.430932+00,activia maasika jogurt 2.6% 4*120g,activia,120g,120g 2.6 4 activia jogurt maasika,activia maasika,activia
weak,"block(first1,size)+fuzzy>=0.85",0.9285714285714286,5900643029831,from_haapsalu_match,Activia joogijogurt vaarika-gr.õuna 300g,Activia,300g,1.4499999999999999555910790149937383830547332763671875,,https://coophaapsalu.ee/toode/joogijogurt-vaarika-300g/,5900643029831,Activia joogijogurt 300g vaarika-granaatõuna,Activia,300g ,4.8300000000000000710542735760100185871124267578125,,https://vandra.ecoop.ee/et/toode/18978296-activia-joogijogurt-300g-vaarika-granaatouna,,,,coophaapsalu.ee,,,5900643029831,Danone,EUR,,2025-09-18 00:16:04.752528+00,activia joogijogurt vaarika-gr.õuna 300g,activia,300g,300g activia joogijogurt vaarika-gr.õuna,activia joogijogurt,activia,,,vandra.ecoop.ee,,,18978296,Danone,EUR,,2025-10-11 02:25:24.651765+00,activia joogijogurt 300g vaarika-granaatõuna,activia,300g,300g activia joogijogurt vaarika-granaatõuna,activia joogijogurt,activia
weak,"block(first1,size)+fuzzy>=0.85",0.8571428571428571,7613032596668,from_haapsalu_match,After Eight k.karp 200g piparmündi maits,After,200g ,6.089999999999999857891452847979962825775146484375,,https://coophaapsalu.ee/toode/k-k-after-eight-200g/,7613032596668,After Eight kommikarp 200g piparmündi,After,200g ,30.449999999999999289457264239899814128875732421875,,https://vandra.ecoop.ee/et/toode/12112310-after-eight-kommikarp-200g-piparmundi,,,,coophaapsalu.ee,,,7613032596668,Nestle Deutchland S.A.,EUR,,2025-09-18 01:11:19.155924+00,after eight k.karp 200g piparmündi maits,after,200g,200g after eight k.karp maits piparmündi,after eight,after,,,vandra.ecoop.ee,,,12112310,Nestle Deutchland S.A.,EUR,,2025-10-11 03:14:29.655608+00,after eight kommikarp 200g piparmündi,after,200g,200g after eight kommikarp piparmündi,after eight,after
weak,"block(first1,size)+fuzzy>=0.85",0.8533333333333334,8714789576688,from_haapsalu_match,Ajax Flora Fiesta klaasipuh.vahend 500ml,Ajax,500ml,3.149999999999999911182158029987476766109466552734375,,https://coophaapsalu.ee/toode/ajax-lily-of-valley500ml/,8714789576688,Ajax Crystal klaasipuh.vahend 500ml,Ajax,500ml,3.979999999999999982236431605997495353221893310546875,,https://vandra.ecoop.ee/et/toode/17255916-ajax-crystal-klaasipuhvahend-500ml,,,,coophaapsalu.ee,,,8714789576688,Colgate&Palmolive SIA,EUR,,2025-09-18 01:40:06.529333+00,ajax flora fiesta klaasipuh.vahend 500ml,ajax,500ml,500ml ajax fiesta flora klaasipuh.vahend,ajax flora,ajax,,,vandra.ecoop.ee,,,17255916,Colgate&Palmolive SIA,EUR,,2025-10-11 02:34:49.222779+00,ajax crystal klaasipuh.vahend 500ml,ajax,500ml,500ml ajax crystal klaasipuh.vahend,ajax crystal,ajax
