left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-klassik-pesto-vegan-filippo-berio-190-g,Klassik.pesto vegan FILIPPO BERIO 190g,FILIPPO BERIO,,Prisma,https://prismamarket.ee/en/toode/filippo-berio-vegan-klassikaline-pesto-190g/8002210132962,Filippo Berio Vegan klassikaline pesto 190g,Filippo Berio,190 g,medium,0.7143
Barbora,https-barbora-ee-toode-puding-alma-vanilli-230-g,"Puding ALMA vanilli, 230g",ALMA,,Prisma,https://prismamarket.ee/toode/puding-vanilli-230g/4740125534177,"Puding vanilli, 230g",Puding,230 g,medium,0.75
Barbora,000000000000149322,Brandy BEEHIVE VSOP 40% 500ml,BEEHIVE,,Prisma,https://prismamarket.ee/en/toode/beehive-vsop-brandy-40vol-500ml/3012993048898,Beehive VSOP Brandy 40%vol 500ml,Beehive VSOP,500 ml,medium,0.8
Barbora,https-barbora-ee-toode-kohvioad-lavazza-crema-e-aroma-1-kg,"Kohvioad LAVAZZA Crema e Aroma,1kg",LAVAZZA,,Prisma,https://prismamarket.ee/en/toode/kohvioad-crema-e-aroma-1-kg/8000070024441,Lavazza kohvioad Crema E Aroma 1 kg,Lavazza,1 kg,medium,0.8333
Barbora,https-barbora-ee-toode-majonees-lemmik-provansaal-210-g,"Majonees LEMMIK Provansaal, 210g",LEMMIK,,Prisma,https://prismamarket.ee/en/toode/lemmik-majonees-provansaal-210-g/4740502021221,"Lemmik Majonees Provansaal, 210 g",Lemmik Majonees,210 g,medium,0.75
Barbora,https-barbora-ee-toode-tallinna-peenleib-leibur-490-g,Tallinna peenleib LEIBUR 490g,LEIBUR,,Prisma,https://prismamarket.ee/toode/leibur-tallinna-peenleib-490-g/4740072116358,Leibur Tallinna Peenleib 490 G,Leibur Tallinna,490 G,medium,0.75
Barbora,https-barbora-ee-toode-pozarski-kotlet-tallegg-350-g,"PoÅ¾arski kotlet TALLEGG, 350g",TALLEGG,,Prisma,https://prismamarket.ee/en/toode/tallegg-pozarski-kotlet-350-g/4740046005435,"PoÅ¾arski kotlet, TALLEGG, 350 g",TALLEGG Pozarski,350 g,medium,0.75
Barbora,https-barbora-ee-toode-sepik-seemnetega-fazer-250-g,Sepik seemnetega FAZER 250g,FAZER,,Prisma,https://prismamarket.ee/en/toode/fazer-seemnetega-sepik-250-g/4740103012406,Fazer Seemnetega Sepik 250 G,Fazer Seemnetega,250 G,medium,0.75
Barbora,https-barbora-ee-toode-skyr-farmi-kirssidega-150-g,"Skyr FARMI kirssidega, 150g",SKYR,,Prisma,https://prismamarket.ee/en/toode/kirssidega-skyr-150-g/4740113091453,"Farmi Kirssidega skyr, 150 g",Farmi Kirssidega,150 g,medium,0.75
Barbora,https-barbora-ee-toode-kuldne-klassikaline-rostsai-leibur-500-g,Kuldne klassikaline rÃ¶stsai LEIBUR 500g,LEIBUR,,Prisma,https://prismamarket.ee/en/toode/leibur-rostsai-kuldne-klassikaline-500-g/4740072251554,Leibur RÃ¶stsai Kuldne Klassikaline 500 G,Leibur RÃ¶stsai,500 g,medium,0.8
Barbora,https-barbora-ee-toode-keefir-gefilus-ouna-banaani-laimi-1-kg,"Keefir GEFILUS Ãµuna-banaani-laimi,1kg",VALIO GEFILUS,,Prisma,https://prismamarket.ee/toode/gefilus-keefir-ouna-banaani-laimi-puuviljadest-suhkrutega-1kg/4740125321210,Gefilus keefir Ãµuna-banaani-laimi puuviljadest suhkrutega 1kg,Gefilus,1 kg,medium,0.75
Barbora,000000000000139477,Viin LAUA  40% 1L,LAUA VIIN,,Prisma,126165,Laua viin 40%vol 1L,Laua,1 l,medium,0.75
Barbora,https-barbora-ee-toode-majonees-salvest-kerge-430-g,"Majonees SALVEST Kerge, 430g",SALVEST,,Prisma,https://prismamarket.ee/en/toode/salvest-kerge-majonees-430-g/4740073074770,"Salvest Kerge majonees, 430 g",Salvest Kerge,430 g,medium,0.75
Barbora,https-barbora-ee-toode-maasika-banaani-smuuti-pai-280-ml,"Maasika-banaani smuuti PAI, 280ml",PAI,,Prisma,https://prismamarket.ee/en/toode/pai-maasika-banaani-smuuti-280ml/4740029052739,"Maasika-banaani smuuti, PAI, 280 ml",Pai,280 ml,medium,0.8
Barbora,https-barbora-ee-toode-rumm-caribba-negro-37-5-proc-1-l,"Rumm CARIBBA Negro 37,5% 1l",CARIBBA,,Prisma,https://prismamarket.ee/en/toode/caribba-negro-rumm-37-5vol-1l/4740050006039,"Caribba Negro rumm 37,5%vol 1l",Caribba Negro,1 l,medium,0.8
Barbora,https-barbora-ee-toode-veiseliha-omas-mahlas-rannarootsi-240-g,"Veiseliha omas mahlas RANNAROOTSI, 240g",RANNAROOTSI,,Prisma,https://prismamarket.ee/toode/rannarootsi-veiseliha-omas-mahlas-240-g/4740296002642,"Veiseliha omas mahlas, RANNAROOTSI, 240 g",Rannarootsi,240 g,medium,0.8
Barbora,https-barbora-ee-toode-alkoholivaba-olu-clausthaler-lemon-500-ml,Alkoholivaba Ãµlu CLAUSTHALER Lemon 500ml,CLAUSTHALER,,Prisma,https://prismamarket.ee/toode/clausthaler-lemon-alkoholivaba-olu-330-ml/4053400268545,Clausthaler Lemon alkoholivaba Ãµlu 330 ml,Clausthaler Lemon,330 ml,medium,0.8
Barbora,https-barbora-ee-toode-juust-cheddar-atleet-250-g,"Juust Cheddar ATLEET, 250g",VALIO ATLEET,,Prisma,https://prismamarket.ee/en/toode/atleet-cheddar-juust-250-g/4740553690902,"Atleet Cheddar juust, 250 g",Atleet Cheddar,250 g,medium,0.75
Barbora,https-barbora-ee-toode-panna-cotta-nopri-fitlap-kohvi-150-g,"Panna Cotta NOPRI Fitlap kohvi, 150g",NOPRI,,Prisma,https://prismamarket.ee/toode/panna-cotta-kohvi-150g-fitlap/4740218004303,Panna Cotta Kohvi 150g FITLAP,Panna Cotta,150 g,medium,0.8333
Barbora,000000000000025788,Looduslik mineraalvesi EVIAN 1.5L,EVIAN,,Prisma,https://prismamarket.ee/en/toode/evian-looduslik-mineraalvesi-1-5-l/3068320085005,"Evian looduslik mineraalvesi 1,5 L",Evian,"1,5 L",medium,0.75
Barbora,https-barbora-ee-toode-mustika-grill-ribi-rakvere-kg,"Mustika grill-ribi RAKVERE,kg",RAKVERE,,Prisma,https://prismamarket.ee/toode/mustika-grill-ribi-kg/2360364500003,"Mustika grill-ribi, RAKVERE LK, kg",Mustika,,medium,0.8
Barbora,https-barbora-ee-toode-taissuitsuvorst-pepperoni-oskar-210-g,"TÃ¤issuitsuvorst Pepperoni OSKAR, 210g",OSKAR,,Prisma,https://prismamarket.ee/en/toode/pepperoni-taissuitsuvorst-80-g/4740569009132,"TÃ¤issuitsuvorst Pepperoni, OSKAR, 80 g",Pepperoni,80 g,medium,0.75
Barbora,https-barbora-ee-toode-kova-juust-dziugas-mild-12-kuud-100-g,"KÃµva juust DÅ½IUGAS Mild 12 kuud, 100g",DÅ½IUGAS,,Prisma,https://prismamarket.ee/toode/kova-juust-mild-12-kuud-180-g/4770299047890,"DÅ¾iugas KÃµva juust Mild, 12 kuud, 180 g",DÅ¾iugas KÃµva,180 g,medium,0.8333
Barbora,https-barbora-ee-toode-pagari-kaerarost-eesti-pagar-430-g,Pagari kaerarÃ¶st EESTI PAGAR 430g,EESTI PAGAR,,Prisma,https://prismamarket.ee/toode/eesti-pagar-pagari-kaerarost-430-g/4740086020900,Eesti Pagar Pagari KaerarÃ¶st 430 G,Eesti Pagar,430 G,medium,0.8
Barbora,https-barbora-ee-toode-gaseeritud-vesi-saaremaa-1-5-l,"Gaseeritud vesi SAAREMAA 1,5L",SAAREMAA VESI,,Prisma,https://prismamarket.ee/toode/saaremaa-vesi-norgalt-gaseeritud-1-5l/4741122000085,"SAAREMAA VESI NÃ•RGALT GASEERITUD 1,5L",SAAREMAA VESI,1.5 L,medium,0.8
Barbora,https-barbora-ee-toode-energiajook-battery-400-ml,Energiajook BATTERY 400ml,BATTERY,,Prisma,https://prismamarket.ee/en/toode/battery-original-energiajook-400ml/6415600512831,Battery original energiajook 400ml,Battery,400 ml,medium,0.75
Barbora,https-barbora-ee-toode-maksapasteet-delikatess-noo-200-g,"Maksapasteet Delikatess NÃ•O, 200g",NÃ•O,,Prisma,https://prismamarket.ee/toode/delikatess-maksapasteet-200-g/4740574009318,"Delikatess maksapasteet, NÃ•O, 200 g",Delikatess,200 g,medium,0.75
Barbora,https-barbora-ee-toode-gin-kingsmill-38-proc-500-ml,Gin KINGSMILL 38% 500ml,KINGSMILL,,Prisma,https://prismamarket.ee/toode/kingsmill-gin-38vol-500ml/4740050006442,Kingsmill Gin 38%vol 500ml,Kingsmill Gin,500 ml,medium,0.75
Barbora,https-barbora-ee-toode-alkoholivaba-olu-clausthaler-330-ml,Alkoholivaba Ãµlu CLAUSTHALER 330ml,CLAUSTHALER,,Prisma,https://prismamarket.ee/en/toode/clausthaler-grapefruit-alkoholivaba-olu-330ml/4053400206806,Clausthaler Grapefruit alkoholivaba Ãµlu 330ml,Clausthaler Grapefruit,330 ml,medium,0.8
Barbora,https-barbora-ee-toode-rost-seemnetega-fazer-500-g,RÃ¶st seemnetega FAZER 500g,FAZER,,Prisma,https://prismamarket.ee/en/toode/fazer-seemnetega-rost-500-g/4740103011300,Fazer Seemnetega RÃ¶st 500 G,Fazer Seemnetega,500 G,medium,0.75
Barbora,https-barbora-ee-toode-joogijogurt-tere-metsmaasika-900-g,"Joogijogurt TERE metsmaasika, 900g",TERE,,Prisma,https://prismamarket.ee/en/toode/tere-joogijogurt-metsmaasika-900-g/4740036014218,"Joogijogurt metsmaasika, TERE, 900 g",Tere,900 g,medium,0.75
Barbora,https-barbora-ee-toode-juust-taispiimast-eesti-viilutatud-180-g,"Juust tÃ¤ispiimast EESTI viilutatud, 180g",ESTOVER,,Prisma,https://prismamarket.ee/en/toode/eesti-juust-taispiimast-viilutatud-180-g/4740572005251,"Eesti juust tÃ¤ispiimast, viilutatud, 180 g",Eesti,180 g,medium,0.8
Barbora,https-barbora-ee-toode-pozarski-kotlet-kikas-300-g,"PoÅ¾arski kotlet KIKAS, 300g",KIKAS,,Prisma,https://prismamarket.ee/en/toode/kikas-pozarski-kotlet-300-g/4740625000059,Kikas PoÅ¾arski Kotlet 300 G,Kikas PoÅ¾arski,300 g,medium,0.75
Barbora,https-barbora-ee-toode-kaerajook-deary-barista-1-l,"Kaerajook DEARY Barista, 1l",DEARY,,Prisma,https://prismamarket.ee/en/toode/tere-deary-barista-kaerajook-1l/4740036016229,Tere Deary barista kaerajook 1L,Tere Deary,1 L,medium,0.8
