left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-kaerajook-oatly-suhkruvaba-1-l,"Kaerajook OATLY suhkruvaba, 1L",OATLY,,Prisma,https://prismamarket.ee/en/toode/oatly-suhkruvaba-kaerajook-1l/7394376621017,Oatly suhkruvaba kaerajook 1L,Oatly,1 L,strong,1.0
Barbora,000000000000025059,Multinektar AURA 1L,AURA,,Prisma,https://prismamarket.ee/en/toode/aura-multinektar-1l/4740051004317,Aura multinektar 1L,Aura,1 L,strong,1.0
Barbora,https-barbora-ee-toode-voi-alma-82-proc-laktoosivaba-200-g,"Või ALMA 82% laktoosivaba, 200g",ALMA,,Prisma,https://prismamarket.ee/en/toode/alma-voi-laktoosivaba-82-200g/4740553699844,Alma või laktoosivaba 82% 200g,Alma,200 g,strong,1.0
Barbora,https-barbora-ee-toode-granaatounajook-aura-1-l,Granaatõunajook AURA 1L,AURA,,Prisma,https://prismamarket.ee/en/toode/aura-granaatounajook-1l/4740098072188,Aura granaatõunajook 1L,Aura,1 l,strong,1.0
Barbora,https-barbora-ee-toode-kuuslauk-kg,"Küüslauk, kg",,,Prisma,https://prismamarket.ee/en/toode/kuuslauk/2060523500003,Küüslauk,Küüslauk,,strong,1.0
Barbora,https-barbora-ee-toode-kohupiim-alma-4-proc-200-g,"Kohupiim ALMA 4%, 200g",ALMA,,Prisma,https://prismamarket.ee/en/toode/alma-kohupiim-4-200g/4740125638523,Alma kohupiim 4% 200g,Alma,200 g,strong,1.0
Barbora,https-barbora-ee-toode-hakklihapitsa-saarioinen-200-g,"Hakklihapitsa SAARIOINEN, 200g",MAMMA,,Prisma,https://prismamarket.ee/en/toode/saarioinen-hakklihapitsa-200-g/6412000034505,Saarioinen Hakklihapitsa 200G,Saarioinen Hakklihapitsa,200 g,strong,1.0
Barbora,https-barbora-ee-toode-taispiim-alma-3-8-4-2-proc-1-5-l,"Täispiim ALMA 3,8-4,2%, 1,5L",ALMA,,Prisma,https://prismamarket.ee/en/toode/alma-taispiim-3-8-4-2-0-5l/4740125120332,"Alma täispiim 3,8-4,2% 0,5l",Alma,0.5 l,strong,1.0
Barbora,https-barbora-ee-toode-ribitukid-punases-marinaadis-rakvere-kg,"Ribitükid punases marinaadis RAKVERE, kg",RAKVERE,,Prisma,https://prismamarket.ee/en/toode/rakvere-ribitukid-punases-marinaadis-kg/2313546900009,"Rakvere Ribitükid Punases Marinaadis, Kg",Rakvere Ribitükid,,strong,1.0
Barbora,https-barbora-ee-toode-ploominektar-poltsamaa-1-l,Ploominektar PÕLTSAMAA 1L,PÕLTSAMAA,,Prisma,https://prismamarket.ee/en/toode/poltsamaa-ploominektar-1l/4740029055099,Põltsamaa ploominektar 1L,Põltsamaa,1 L,strong,1.0
Barbora,https-barbora-ee-toode-pesto-basiilik-tartu-mill-190-g,Pesto basiilik TARTU MILL 190g,TARTU MILL,,Prisma,https://prismamarket.ee/en/toode/tartu-mill-pesto-basiilik-190g/4743303100997,Tartu mill pesto basiilik 190g,Tartu,190 g,strong,1.0
Barbora,https-barbora-ee-toode-majonees-felix-kerge-870-g,"Majonees FELIX Kerge, 870g",FELIX,,Prisma,https://prismamarket.ee/en/toode/felix-kerge-majonees-870g/4740029049999,Felix Kerge majonees 870g,Felix Kerge,870 g,strong,1.0
Barbora,https-barbora-ee-toode-sea-saslokk-armeenia-grill-kg,"Sea šašlõkk Armeenia grill, kg",ARMEENIA GRILL,,Prisma,https://prismamarket.ee/en/toode/sea-saslokk-kg/2323100600009,"Sea šašlõkk, ARMEENIA GRILL, kg",Sea,,strong,1.0
Barbora,https-barbora-ee-toode-taisterasepik-eesti-pagar-500-g,"Täisterasepik EESTI PAGAR, 500 g",EESTI PAGAR,,Prisma,https://prismamarket.ee/en/toode/eesti-pagar-taisterasepik-500-g/4740086016071,Eesti Pagar Täisterasepik 500 G,Eesti Pagar,500 g,strong,1.0
Barbora,https-barbora-ee-toode-hele-olu-premium-4-7-proc-500-ml-a-le-coq,Hele õlu PREMIUM 4.7% 500ml A.Le Coq,A. LE COQ,,Prisma,https://prismamarket.ee/en/toode/a-le-coq-premium-hele-olu-4-7vol-500ml/4740098076490,"A. Le Coq Premium hele õlu 4,7%vol 500ml",A. Le,500 ml,strong,0.8571
Barbora,https-barbora-ee-toode-sulatatud-juust-valio-forte-juustu-185-g,"Sulatatud juust VALIO Forte juustu,185g",VALIO,,Prisma,https://prismamarket.ee/en/toode/valio-sulatatud-juust-forte-juustu-185g/4740553692661,Valio sulatatud juust Forte juustu 185g,Valio,185 g,strong,1.0
Barbora,https-barbora-ee-toode-hernesupikogu-rakvere-800-g,"Hernesupikogu RAKVERE, 800g",RAKVERE,,Prisma,https://prismamarket.ee/en/toode/rakvere-hernesupikogu-800g/4740003013732,Rakvere Hernesupikogu 800G,Rakvere Hernesupikogu,800 g,strong,1.0
Barbora,000000000000181173,"Baklažaan,kg",,,Prisma,https://prismamarket.ee/en/toode/baklazaan/2060522100006,Baklažaan,Baklažaan,,strong,1.0
Barbora,https-barbora-ee-toode-seaguljass-kg,"Seaguljašš ,kg",MEISTRITE KVALITEET,,Prisma,https://prismamarket.ee/en/toode/seaguljass-380-g/4740003015880,Seaguljašš 380 g,Seaguljašš,380 g,strong,1.0
Barbora,000000000000678553,"Kartul pestud Solist, 2.5kg",TALUKARTUL,,Prisma,329338,Kartul pestud Solist 5kg,Kartul,5 kg,strong,1.0
