left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-tume-olu-budweiser-budvar-4-7-proc-500-ml,Tume Ãµlu BUDWEISER Budvar 4.7% 500ml,BUDWEISER,,Prisma,https://prismamarket.ee/en/toode/budweiser-budvar-dark-olu-4-7vol-500ml/8594403150827,"Budweiser Budvar Dark Ãµlu 4,7%vol 500ml",Budweiser Budvar,500 ml,weak,0.5714
Barbora,https-barbora-ee-toode-gin-crafters-london-dry-43-proc-0-7-l,Gin CRAFTERS London Dry 43% 0.7L,CRAFTERS GIN,,Prisma,https://prismamarket.ee/en/toode/crafters-london-dry-gin-43vol-700ml/4740050004899,Crafters London Dry Gin 43%vol 700ml,Crafters London,700 ml,weak,0.5714
Barbora,https-barbora-ee-toode-loomalihakonserv-minu-de-lux-525-g,"Loomalihakonserv MINU De Lux, 525g",MINU,,Prisma,https://prismamarket.ee/en/toode/minu-de-lux-kanaliha-525g/4743144005352,Minu de lux kanaliha 525g,Minu,525 g,weak,0.6667
Barbora,https-barbora-ee-toode-soolaheeringas-kg-lett,"Soolaheeringas,kg-lett",,,Prisma,https://prismamarket.ee/en/toode/soolaheeringas-kg/2060244700003,"Soolaheeringas, kg","Soolaheeringas,",,weak,0.5
Barbora,000000000000990014,"Ananass, kg",,,Prisma,https://prismamarket.ee/en/toode/coop-ananass/2060490800007,Coop Ananass,Coop Ananass,,weak,0.5
Barbora,https-barbora-ee-toode-sul-juust-merevaik-singiga-200-g,"Sul.juust MEREVAIK singiga, 200g",MEREVAIK,,Prisma,https://prismamarket.ee/en/toode/merevaik-sulatatud-juust-singiga-200g/4740036017516,Merevaik sulatatud juust singiga 200g,Merevaik,200 g,weak,0.6667
Barbora,000000000000144148,Brandy IBIS X.O 36% 500ml,IBIS,,Prisma,https://prismamarket.ee/en/toode/ibis-xo-brandy-36vol-500ml/3272519035508,Ibis XO Brandy 36%vol 500ml,Ibis XO,500 ml,weak,0.5
Barbora,000000000000983596,Viin ZUBROWKA Biala 40% 500 ml,ZUBROWKA,,Prisma,https://prismamarket.ee/en/toode/zubrowka-biala-viin-40vol-500ml/5900343001892,Zubrowka Biala viin 40%vol 500ml,Zubrowka Biala,500 ml,weak,0.6
Barbora,https-barbora-ee-toode-sea-ja-veisehakkliha-m-m-500-g,"Sea- ja veisehakkliha M&M, 500g",MAKS & MOORITS,,Prisma,https://prismamarket.ee/en/toode/maandorits-sea-ja-veisehakkliha-500g/4740171179018,Ma&orits Sea- Ja Veisehakkliha 500G,Ma&orits Sea-,500 g,weak,0.5714
Barbora,000000000000668648,"Till taldrikul, pakitud, kg",,,Prisma,https://prismamarket.ee/toode/till-pakitud-alusel/2060524000007,"Till, pakitud alusel","Till,",,weak,0.5
Barbora,https-barbora-ee-toode-kgt-vein-b-montalto-pinot-grigio-750-ml,KGT vein B.MONTALTO Pinot Grigio 750ml,BARONE MONTALTO,,Prisma,https://prismamarket.ee/en/toode/barone-montalto-pinot-grigio-kgt-vein-12vol-750ml/8030423000730,Barone Montalto Pinot Grigio KGT vein 12%vol 750ml,Barone Montalto,750 ml,weak,0.6667
Barbora,https-barbora-ee-toode-munavalged-orrekanade-munadest-1-kg,"Munavalged Ãµrrekanade munadest, 1kg",,,Prisma,https://prismamarket.ee/en/toode/whitepro-munavalged-orrekanade-munadest-1-kg/5701607585789,"Whitepro munavalged Ãµrrekanade munadest, 1 kg",Whitepro,1 kg,weak,0.6
Barbora,https-barbora-ee-toode-hummus-avokaadoga-noa-175-g,Hummus avokaadoga NOA 175g,,,Prisma,https://prismamarket.ee/en/toode/spread-avokaado-hummus-175g/4058094310099,"Noa Spread avokaado hummus, 175g",Noa Spread,175 g,weak,0.5
Barbora,000000000000144157,"Viin VIRU VALGE VÃ„GEV 80% 0,5 L",VIRU VALGE,,Prisma,https://prismamarket.ee/en/toode/viru-valge-vagev-viin-80vol-500ml/4740050002369,Viru Valge VÃ¤gev viin 80%vol 500ml,Viru Valge,500 ml,weak,0.6667
Barbora,https-barbora-ee-toode-kons-hautatud-sealiha-minu-250-g,Kons.hautatud sealiha MINU 250g,MINU,,Prisma,https://prismamarket.ee/en/toode/minu-hautatud-sealiha-250-g/4743144000647,Minu hautatud sealiha 250 g,Minu,250 g,weak,0.6
Barbora,000000000000697930,"Eesti kÃ¼Ã¼slaugu kÃ¼Ã¼ned pakitud, 100g",,,Prisma,https://prismamarket.ee/en/toode/kuuslaugu-kuuned-100g/4740270000404,"KÃ¼Ã¼slaugu kÃ¼Ã¼ned pakitud, 100 g",KÃ¼Ã¼slaugu,100 g,weak,0.6
Barbora,000000000000011161,Cognac HENNESSY VS 40% 700ml,HENNESSY,,Prisma,https://prismamarket.ee/en/toode/hennessy-vs-cognac-40vol-700ml-karbis/3245995960015,Hennessy VS Cognac 40%vol 700ml karbis,Hennessy VS,700 ml,weak,0.6667
Barbora,000000000000184820,Cognac HENNESSY XO 40% 350ml karp,HENNESSY,,Prisma,https://prismamarket.ee/en/toode/hennessy-xo-cognac-40vol-350ml-karbis/3245990013617,"Hennessy XO Cognac 40%vol 350ml, karbis",Hennessy XO,350 ml,weak,0.5714
Barbora,000000000001291761,"KÃ¼lm.pitsa Prosciutto RISTORANTE, 340g",DR.OETKER,,Prisma,https://prismamarket.ee/en/toode/kulmutatud-singipitsa-340-g/4001724037606,Ristorante Pitsa Prosciutto 340 g,Ristorante Pitsa,340 g,weak,0.6
Barbora,https-barbora-ee-toode-kodune-kotletisegu-m-m-500-g,"Kodune kotletisegu M&M, 500g",MAKS & MOORITS,,Prisma,https://prismamarket.ee/en/toode/maandorits-kodune-kotletisegu-500g/4740171170022,Ma&orits Kodune Kotletisegu 500G,Ma&orits Kodune,500 g,weak,0.5
Barbora,000000000000037449,Gin BEEFEATER 40% 700ml,BEEFEATER,,Prisma,https://prismamarket.ee/en/toode/beefeater-london-dry-gin-40vol-700ml/5000329002193,Beefeater London Dry Gin 40%vol 700ml,Beefeater London,700 ml,weak,0.5
Barbora,https-barbora-ee-toode-kgt-vein-j-p-chenet-cabernet-syrah-3-l,KGT vein J.P.CHENET Cabernet Syrah 3l,J.P CHENET,,Prisma,https://prismamarket.ee/en/toode/jp-chenet-cabernet-syrah-kgt-vein-13-5vol-3l/3500610027468,"JP. Chenet Cabernet Syrah KGT vein 13,5%vol 3L",JP. Chenet,3 l,weak,0.6
Barbora,https-barbora-ee-toode-mahlaj-dr-active-ouna-arbuusi-0-5-l,Mahlaj. DR. Active Ã•una-arbuusi 0.5l,DR. ACTIVE,,Prisma,https://prismamarket.ee/en/toode/dr-active-ouna-arbuusi-mahlajook-500ml/4740098092551,Dr. Active Ãµuna-arbuusi mahlajook 500ml,Dr. Active,500 ml,weak,0.5
Barbora,https-barbora-ee-toode-kohupiimakreem-alma-mangokisselliga-140-g,"Kohupiimakreem ALMA mangokisselliga,140g",ALMA,,Prisma,https://prismamarket.ee/en/toode/mangokisselliga-kohupiimakreem-140-g/4740125632255,"Mangokisselliga kohupiimakreem, 140 g",Mangokisselliga,140 g,weak,0.5
Barbora,000000000001207773,"Hapukurk PEIPSI, 400g",PEIPSI,,Prisma,https://prismamarket.ee/en/toode/peipsi-hapukurk-400g-germani-talu/4744664010017,Peipsi hapukurk 400g Germani talu,Peipsi,400 g,weak,0.6
Barbora,https-barbora-ee-toode-rukkipala-idandatud-teradega-240-g,Rukkipala idandatud teradega 240g,LEIBUR,,Prisma,https://prismamarket.ee/toode/leibur-rukkipala-idandatud-teradega-240-g/4740072132518,Leibur Rukkipala Idandatud Teradega 240 G,Leibur Rukkipala,240 G,weak,0.6
Barbora,https-barbora-ee-toode-margariin-voimix-soolane-60-proc-400-g,"Margariin VOIMIX soolane 60%, 400g",VOIMIX,,Prisma,https://prismamarket.ee/toode/soolane-margariin-60-400-g/6438207017004,"Voimix Soolane 60%, VOIMIX, 400 g",Soolane,400 g,weak,0.5
Barbora,https-barbora-ee-toode-alk-jook-cooler-green-apple-4-proc-275-ml,Alk.jook Cooler Green Apple 4% 275ml,COOLER,,Prisma,https://prismamarket.ee/en/toode/cooler-green-apple-4vol-muu-alkohoolne-jook-275ml/4740050004417,Cooler Green Apple 4%vol muu alkohoolne jook 275ml,Cooler Green,275 ml,weak,0.5556
Barbora,https-barbora-ee-toode-hummus-avokaadoga-gourmet-club-150-g,"Hummus avokaadoga GOURMET CLUB,150g",GOURMET CLUB,,Prisma,https://prismamarket.ee/en/toode/gourmet-club-avokaado-hummus-150g/4740670124816,Gourmet Club Avokaado hummus 150g,Gourmet Club,150 g,weak,0.6667
