left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-likoor-vana-tallinn-40-proc-eesti-100-500-ml,"LikÃ¶Ã¶r VANA TALLINN 40% Eesti 100, 500ml",VANA TALLINN,,Rimi,108837,Vana Tallinn Eesti 100 likÃ¶Ã¶r 40%vol 500ml,Vana Tallinn,500 ml,medium,0.8333
Barbora,https-barbora-ee-toode-kulm-parmi-lehttaigen-eesti-pagar-500-g,"KÃ¼lm.pÃ¤rmi-lehttaigen EESTI PAGAR, 500g",EESTI PAGAR,,Rimi,274745,PÃ¤rmi-lehttaigen Eesti Pagar 500g,Eesti Pagar,500g,medium,0.8333
Barbora,https-barbora-ee-toode-grilljuust-doner-kebab-kohvri-nopri-200-g,Grilljuust DÃ¶ner Kebab Kohvri NOPRI 200g,NOPRI,,Rimi,4007723,"Grilljuust Kohvri DÃ¶ner kebab, NOPRI, 200 g",NOPRI TALUMEIEREI OÃœ,,medium,0.8333
Barbora,https-barbora-ee-toode-kuumsuitsu-heik-vaakumis-m-v-wool-kg,"Kuumsuitsu heik vaakumis M.V.WOOL,kg",,,Rimi,945921,"Kuumsuitsu heik, M.V.WOOL, kg",M.V.WOOL AS,,medium,0.8333
Barbora,https-barbora-ee-toode-kulm-pitsa-suprema-calabrese-nduja-520-g,"KÃ¼lm.pitsa SUPREMA Calabrese&â€˜Nduja,520g",,,Rimi,4008115,Pitsa Suprema Calabrese Nduja 520g,Dr.Oetker,520g,medium,0.8333
Barbora,000000000000038342,LikÃ¶Ã¶r BAILEYS Irish Cream 17% 700ml,BAILEYS,,Rimi,709238,Baileys Irish Cream likÃ¶Ã¶r 17%vol 700ml,Baileys Irish,700 ml,medium,0.8333
Barbora,https-barbora-ee-toode-kulm-pitsa-suprema-salame-romano-487-g,"KÃ¼lm.pitsa SUPREMA Salame Romano, 487g",,,Rimi,4008116,Pitsa Suprema Salame Romano 487g,Dr.Oetker,487g,medium,0.8333
Barbora,000000000000014334,Lahustuv kohv Cronat Gold JACOBS 200g,JACOBS,,Rimi,100210,"Lahustuv kohv Cronat Gold, JACOBS, 200 g",SELVER AS,,medium,0.8333
Barbora,https-barbora-ee-toode-panna-cotta-nopri-fitlap-kohvi-150-g,"Panna Cotta NOPRI Fitlap kohvi, 150g",NOPRI,,Rimi,4003625,Panna Cotta Kohvi 150g FITLAP,Panna Cotta,150 g,medium,0.8333
Barbora,417782,"VÃ¤rske soolakurk Ã¤mbris PEIPSI, 500g",,,Rimi,292411,Soolakurk vÃ¤rske Ã¤mbris Peipsi 1150g/500g,Germani Talu,1150g,medium,0.8333
