left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-skyr-maasika-farmi-300-g,Skyr maasika FARMI 300g,FARMI,,Rimi,4006641,"Farmi skyr maasika, 300g",Farmi,300 g,strong,1.0
Barbora,000000000000013580,Karastusjook SPRITE 500ml,SPRITE,,Rimi,1367111,Sprite karastusjook 500ml,Sprite,500 ml,strong,1.0
Barbora,https-barbora-ee-toode-seahakkliha-rakvere-400-g,"Seahakkliha RAKVERE, 400g",RAKVERE,,Rimi,994444,Seahakkliha Rakvere 400g,Rakvere,400g,strong,1.0
Barbora,000000000000126807,"Jahvatatud kohv Fine Aroma DAVIDOFF,250g",DAVIDOFF,,Rimi,115029,Kohv jahvatatud Davidoff Fine Aroma 250g,Davidoff,250g,strong,1.0
Barbora,https-barbora-ee-toode-multimahlajook-poltsamaa-1-l,Multimahlajook PÕLTSAMAA 1L,PÕLTSAMAA,,Rimi,119549,Põltsamaa multimahlajook 1L,Põltsamaa,1 L,strong,1.0
Barbora,https-barbora-ee-toode-karastusjook-coca-cola-zero-500-ml,Karastusjook COCA-COLA Zero 500ml,COCA-COLA,,Rimi,1350156,Coca-Cola zero karastusjook 500ml,Coca-Cola,500 ml,strong,1.0
Barbora,https-barbora-ee-toode-hummus-klassikaline-gourmet-club-200-g,"Hummus klassikaline GOURMET CLUB,200g",GOURMET CLUB,,Rimi,999304,"Gourmet Club klassikaline hummus, 200g",Gourmet Club,200 g,strong,1.0
Barbora,000000000000139484,Ploominektar AURA 1L,AURA,,Rimi,103603,Aura ploominektar 1L,Aura,1 L,strong,1.0
Barbora,https-barbora-ee-toode-joogijogurt-alma-maasika-nektariini-900-g,"Joogijogurt ALMA maasika-nektariini,900g",ALMA,,Rimi,970389,Joogijogurt maasika-nektariini Alma 900g,Alma,900g,strong,1.0
Barbora,000000000000025059,Multinektar AURA 1L,AURA,,Rimi,101178,Aura multinektar 1L,Aura,1 L,strong,1.0
Barbora,https-barbora-ee-toode-mahetaispiim-mo-saaremaa-oko-3-8-4-4-proc-1-l,"Mahetäispiim MO SAAREMAA Öko 3,8-4,4%,1L",MO SAAREMAA,,Rimi,962042,"Mo Saaremaa Öko mahetäispiim 3,8 - 4,4% 1L",Mo Saaremaa,1 L,strong,1.0
Barbora,000000000000139486,Jõhvikajook AURA 1L,AURA,,Rimi,104406,Aura jõhvikajook 1L,Aura,1 l,strong,1.0
Barbora,https-barbora-ee-toode-johvika-mahlajook-poltsamaa-2-l,Jõhvika mahlajook PÕLTSAMAA 2L,PÕLTSAMAA,,Rimi,181344,Põltsamaa jõhvika mahlajook 2L,Põltsamaa,2 L,strong,1.0
Barbora,https-barbora-ee-toode-voi-alma-82-proc-200-g,"Või ALMA 82%, 200g",ALMA,,Rimi,993950,Alma või 82% 200g,Alma,200 g,strong,1.0
Barbora,https-barbora-ee-toode-energiajook-red-bull-355-ml,Energiajook RED BULL 355ml,RED BULL,,Rimi,1350925,Red Bull energiajook 355ml,Red Bull,355 ml,strong,1.0
Barbora,https-barbora-ee-toode-tomatimahl-poltsamaa-1-l,Tomatimahl PÕLTSAMAA 1L,PÕLTSAMAA,,Rimi,101257,Põltsamaa tomatimahl 100% 1L,Põltsamaa,1 l,strong,1.0
