left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-hele-olu-karl-friedrich-5-proc-568-ml,Hele Ãµlu KARL FRIEDRICH 5% 568ml,KARL FRIEDRICH,,Rimi,1356485,Karl Friedrich Ãµlu 5%vol 568ml,Karl Friedrich,568 ml,weak,0.6667
Barbora,https-barbora-ee-toode-maksapasteet-rannarootsi-240-g,Maksapasteet RANNAROOTSI 240g,RANNAROOTSI,,Rimi,265659,"Maksapasteet, RANNAROOTSI, 240 g",Rannarootsi,240 g,weak,0.6667
Barbora,https-barbora-ee-toode-mahe-rohumaaveise-hakkliha-liivimaa-300-g,"Mahe rohumaaveise hakkliha LIIVIMAA,300g",LIIVIMAA LIHAVEIS,,Rimi,4005161,Liivimaa Lihaveis Mahe Rohumaaveise Hakkliha 300 G,Liivimaa Lihaveis,300 g,weak,0.6667
Barbora,https-barbora-ee-toode-vahuvein-torley-charmant-rose-750-ml,Vahuvein TÃ–RLEY Charmant Rose 750ml,TÃ–RLEY,,Rimi,105431,"Vahuvein TÃ¶rley Charmant Rose 0,75l",TÃ¶rley,"0,75l",weak,0.6667
Barbora,https-barbora-ee-toode-kodusink-rakvere-kg,"Kodusink RAKVERE, kg",RAKVERE,,Rimi,274280,Kodusink Rakvere vaakumpakendis kg,Rakvere,0.55kg Lisa ostukorvi Eemalda Veel tooteid kaubamÃ¤rgilt Rakvere,weak,0.6667
Barbora,https-barbora-ee-toode-maasika-jaatisepallid-mini-melts-72-g,"Maasika jÃ¤Ã¤tisepallid MINI MELTS, 72g",MINI MELTS,,Rimi,998155,JÃ¤Ã¤tisepallid maasikamaitselised Mini Melts 72g,Mini Melts,72g,weak,0.6667
Barbora,https-barbora-ee-toode-juust-saaremaa-mo-saaremaa-viil-450-g,"Juust Saaremaa MO SAAREMAA viil., 450g",MO SAAREMAA,,Rimi,269554,Mo Saaremaa juust viilutatud 450g,Mo Saaremaa,450 g,weak,0.6667
Barbora,https-barbora-ee-toode-hallitusjuust-gorgonzola-igor-dolce-200-g,"Hallitusjuust Gorgonzola IGOR Dolce,200g",IGOR,,Rimi,926746,Sinihallitusjuust Gorgonzola Dolce Igor 200g,Igor,200g,weak,0.6667
Barbora,https-barbora-ee-toode-br-kintsuliha-saslokk-armeenia-grill-kg,"Br.kintsuliha Å¡aÅ¡lÃµkk Armeenia grill, kg",ARMEENIA GRILL,,Rimi,4007310,"Armeenia Grill Broileri Kintsuliha Å aÅ¡lÃµkk, Kg",Armeenia Grill,,weak,0.6667
Barbora,https-barbora-ee-toode-kohuke-tere-johvika-multipakk-5-x-40-g,"Kohuke TERE jÃµhvika multipakk, 5x40g",TERE,,Rimi,996329,Glasuurkohuke jÃµhvika multipakk Tere 5x40g,Tere,5x40g,weak,0.6667
Barbora,https-barbora-ee-toode-kookose-mandlijook-alpro-1-l,"Kookose-mandlijook ALPRO, 1L",ALPRO,,Rimi,297234,"Alpro kookose-mandlijook, laktoosivaba, vegan, 1l",Alpro,1 l,weak,0.6667
Barbora,https-barbora-ee-toode-kreeka-jogurt-alma-maasika-mustika-180-g,"Kreeka jogurt ALMA maasika-mustika, 180g",ALMA,,Rimi,996941,Kreeka stiilis jogurt maasika-mustika Alma puuviljadest suhkrutega 180g,Alma,180g,weak,0.6667
Barbora,https-barbora-ee-toode-kgt-vein-b-montalto-pinot-grigio-750-ml,KGT vein B.MONTALTO Pinot Grigio 750ml,BARONE MONTALTO,,Rimi,7219135,Barone Montalto Pinot Grigio KGT vein 12%vol 750ml,Barone Montalto,750 ml,weak,0.6667
Barbora,https-barbora-ee-toode-kuuslaugukaste-felix-275-g,KÃ¼Ã¼slaugukaste FELIX 275g,FELIX,,Rimi,135780,Felix kÃ¼Ã¼slaugukaste 365 g,Felix,365 g,weak,0.6667
Barbora,https-barbora-ee-toode-kreeka-jogurt-alma-maitsestamata-180-g,"Kreeka jogurt ALMA maitsestamata, 180g",ALMA,,Rimi,803341,Jogurt Kreeka maitsestamata Rimi 180g,Rimi,180g,weak,0.6667
Barbora,https-barbora-ee-toode-taimne-dessert-mango-deary-150-g,"Taimne dessert mango DEARY,150g",DEARY,,Rimi,994051,"Taimne dessert mango laktoosivaba, DEARY, 150 g",DEARY OÃœ,,weak,0.6667
Barbora,000000000000057744,Cognac LARSEN VSOP 40% 700ml,LARSEN,,Rimi,101765,Larsen VSOP Cognac karbis 40%vol 700ml,Larsen VSOP,700 ml,weak,0.6667
Barbora,https-barbora-ee-toode-cognac-hennessy-vsop-40-proc-700-ml-karp,Cognac HENNESSY VSOP 40% 700ml karp,HENNESSY,,Rimi,101996,Hennessy VSOP Cognac 40%vol 700ml,Hennessy VSOP,700 ml,weak,0.6667
Barbora,https-barbora-ee-toode-piim-well-done-3-2-proc-uht-laktoosivaba-1-l,"Piim WELL DONE 3,2% UHT,laktoosivaba,1L",WELL DONE,,Rimi,913705,"Piim laktoosivaba UHT 3,2% 1l",Mlekovita,1l,weak,0.6667
Barbora,https-barbora-ee-toode-sealihasult-oskar-330-g,"SealihasÃ¼lt OSKAR, 330g",OSKAR,,Rimi,288408,"SealihasÃ¼lt, OSKAR, 330 g",SealihasÃ¼lt,330 g,weak,0.6667
Barbora,https-barbora-ee-toode-jogurt-natural-johvikamusliga-tere-150-g,Jogurt Natural jÃµhvikamÃ¼sliga TERE 150g,TERE,,Rimi,4008027,"Jogurt Natural jÃµhvikamÃ¼sliga, laktoosivaba, TERE, 150 g",NORDIC MILK OÃœ,,weak,0.6667
Barbora,https-barbora-ee-toode-kanafileenagitsad-tallegg-300-g,"Kanafileenagitsad TALLEGG, 300g",TALLEGG,,Rimi,959179,Tallegg Kanafileenagitsad 300 G,Tallegg Kanafileenagitsad,300 g,weak,0.6667
Barbora,000000000000181248,"Punane paprika 1.kl.,kg",,,Rimi,269167,"Paprika punane, kg",MÃ¤Ã¤ramata,,weak,0.6667
Barbora,https-barbora-ee-toode-suitsujuust-tere-200-g,"Suitsujuust TERE, 200g",TERE,,Rimi,903943,"Tere Suitsujuust, 200 g","Tere Suitsujuust,",200 g,weak,0.6667
Barbora,https-barbora-ee-toode-caesari-salat-kanaga-kg,"Caesari salat kanaga, kg",MEISTRITE KVALITEET,,Rimi,296833,Caesari salat kg,Rimi,,weak,0.6667
Barbora,https-barbora-ee-toode-sealihasult-rannarootsi-330-g,"SealihasÃ¼lt RANNAROOTSI, 330g",RANNAROOTSI,,Rimi,203338,"SealihasÃ¼lt, RANNAROOTSI, 330 g",SÃ¼lt Rannarootsi,330 g,weak,0.6667
