left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-poolsuitsuvorst-kalevi-rannarootsi-330-g,"Poolsuitsuvorst Kalevi RANNAROOTSI,330g",RANNAROOTSI,,Selver,4.7403E+12,"Kalevi poolsuitsuvorst, RANNAROOTSI, 330 g",RANNAROOTSI LIHATÃ–Ã–STUS AS,,medium,0.75
Barbora,https-barbora-ee-toode-kamajook-farmi-mustika-vaarika-750-g,"Kamajook FARMI mustika-vaarika, 750g",FARMI,,Selver,125699,"Kamajook mustika-vaarika, FARMI, 750 g",,,medium,0.8
Barbora,https-barbora-ee-toode-kohvioad-lavazza-crema-e-aroma-1-kg,"Kohvioad LAVAZZA Crema e Aroma,1kg",LAVAZZA,,Selver,8.00007E+12,Lavazza kohvioad Crema E Aroma 1 kg,Lavazza,1 kg,medium,0.8333
Barbora,https-barbora-ee-toode-majonees-lemmik-provansaal-210-g,"Majonees LEMMIK Provansaal, 210g",LEMMIK,,Selver,4.7405E+12,"Lemmik Majonees Provansaal, 210 g",Lemmik Majonees,210 g,medium,0.75
Barbora,https-barbora-ee-toode-tallinna-peenleib-leibur-490-g,Tallinna peenleib LEIBUR 490g,LEIBUR,,Selver,4.74007E+12,Leibur Tallinna Peenleib 490 G,Leibur Tallinna,490 G,medium,0.75
Barbora,https-barbora-ee-toode-lapi-leib-street-food-fazer-140-g,Lapi leib Street Food FAZER 140g,FAZER,,Selver,4.75021E+12,"Lapi leib Street Food, FAZER, 140 g",FAZER EESTI OÃœ,,medium,0.8333
Barbora,https-barbora-ee-toode-vurtsikilufileed-viru-rand-100-g,"VÃ¼rtsikilufileed VIRU RAND, 100g",VIRU RAND,,Selver,4.74004E+12,"VÃ¼rtsikilufileed, VIRU RAND, 100 g",VIRU RAND OÃœ,,medium,0.75
Barbora,https-barbora-ee-toode-pozarski-kotlet-tallegg-350-g,"PoÅ¾arski kotlet TALLEGG, 350g",TALLEGG,,Selver,4.74005E+12,"PoÅ¾arski kotlet, TALLEGG, 350 g",TALLEGG Pozarski,350 g,medium,0.75
Barbora,https-barbora-ee-toode-premium-majonees-felix-445-g,Premium majonees FELIX 445g,FELIX,,Selver,4.74003E+12,"Premium Majonees, FELIX, 445 g",ORKLA EESTI AS,,medium,0.75
Barbora,000000000000014338,Lahustuv kohv KrÃ¶nung JACOBS 100g,JACOBS,,Selver,8.711E+12,"Lahustuv kohv KrÃ¶nung, JACOBS, 100 g",SELVER AS,,medium,0.8
Barbora,https-barbora-ee-toode-voi-alma-82-proc-laktoosivaba-200-g,"VÃµi ALMA 82% laktoosivaba, 200g",ALMA,,Selver,4.74055E+12,Alma vÃµi 82% 200g,Alma,200 g,medium,0.75
Barbora,https-barbora-ee-toode-sepik-seemnetega-fazer-250-g,Sepik seemnetega FAZER 250g,FAZER,,Selver,4.7401E+12,Fazer Seemnetega Sepik 250 G,Fazer Seemnetega,250 G,medium,0.75
Barbora,https-barbora-ee-toode-skyr-farmi-kirssidega-150-g,"Skyr FARMI kirssidega, 150g",SKYR,,Selver,4.74011E+12,"Farmi Kirssidega skyr, 150 g",Farmi Kirssidega,150 g,medium,0.75
