left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-gin-crafters-london-dry-43-proc-0-7-l,Gin CRAFTERS London Dry 43% 0.7L,CRAFTERS GIN,,Selver,4.74005E+12,Crafters London Dry Gin 43%vol 700ml,Crafters London,,weak,0.5714
Barbora,000000000000160559,Punase apelsininektar PFANNER 2L,PFANNER,,Selver,https://www.selver.ee/apelsininektar-50-pfanner-2-l,"Apelsininektar 50%, PFANNER, 2 l",SELVER AS,,weak,0.5
Barbora,000000000001177251,"KÃ¼lmutatud mini-frikadellid EHE, 350g",RANNAROOTSI,,Selver,4.7403E+12,"KÃ¼lmutatud EHE mini-frikadellid, RANNAROOTSI EHE, 350 g",RANNAROOTSI LIHATÃ–Ã–STUS AS,,weak,0.6667
Barbora,https-barbora-ee-toode-kirsi-ouna-aroon-mahlajook-poltsamaa-2-l,Kirsi-Ãµuna-aroon. mahlajook PÃ•LTSAMAA 2L,PÃ•LTSAMAA,,Selver,4.74003E+12,"Kirsi-Ãµuna-aroonia mahlajook, PÃ•LTSAMAA, 2 L",ORKLA EESTI AS,,weak,0.5714
Barbora,000000000001162505,"KÃ¼lm.pitsarull EESTI PAGAR,400g",EESTI PAGAR,,Selver,4.74009E+12,"Pitsarull, EESTI PAGAR, 400 g",EESTI PAGAR AS,,weak,0.6
Barbora,https-barbora-ee-toode-riivjuust-eesti-juust-200-g,"Riivjuust EESTI JUUST, 200g",ESTOVER,,Selver,4.74014E+12,"Eesti riivjuust, 250 g",Eesti,250 g,weak,0.5
Barbora,000000000001378188,Peakapsa Kimchi 300g,KADARBIKU,,Selver,4.74237E+12,"Peakapsa Kimchi, KADARBIKU KÃ–Ã–GIVILI, 300g",KADARBIKU KÃ–Ã–GIVILI OÃœ,,weak,0.6
Barbora,000000000000668648,"Till taldrikul, pakitud, kg",,,Selver,https://www.selver.ee/aedtill-pakitud-taldrikul-kg,"Aedtill pakitud taldrikul, kg",MÃ¤Ã¤ramata,,weak,0.5
Barbora,https-barbora-ee-toode-kanasult-fitlap-noo-300-g,"KanasÃ¼lt Fitlap NÃ•O, 300g",NÃ•O,,Selver,4.74057E+12,"KanasÃ¼lt Fitlap, NÃ•O LIHAVÃœRST, 300 g",NÃ•O LIHATÃ–Ã–STUS OÃœ,,weak,0.6
Barbora,000000000001291762,"KÃ¼lm.pitsa RISTORANTE Speciale, 345g",DR.OETKER,,Selver,4.00172E+12,"Pitsa Ristorante Speciale, DR.OETKER, 345g",JUNGENT ESTONIA OÃœ,,weak,0.5714
Barbora,https-barbora-ee-toode-tuunikala-oliiviolis-rio-mare-160-g,"Tuunikala oliiviÃµlis RIO MARE,160g",RIO MARE,,Selver,https://www.selver.ee/tuunikala-soolvees-rio-mare-160-g,"Tuunikala soolvees, RIO MARE, 160 g",INTERALTUS OÃœ,,weak,0.5
Barbora,https-barbora-ee-toode-suitsusardell-rakvere-500-g,"Suitsusardell RAKVERE, 500g",RAKVERE,,Selver,4.74E+12,"Suitsusardell, RAKVERE LK, 500 g",RAKVERE LIHAKOMBINAAT AS,,weak,0.5
Barbora,https-barbora-ee-toode-energiajook-starter-500-ml,Energiajook STARTER 500ml,STARTER,,Selver,4.74005E+12,"Energiajook, STARTER, 500 ml",LIVIKO AS,,weak,0.6667
Barbora,https-barbora-ee-toode-pehme-valge-juust-athena-classic-500-g,"Pehme valge juust ATHENA Classic, 500g",ATHENA,,Selver,4.74057E+12,"Pehme valge juust, ATHENA, 500 g",ESTOVER OÃœ,,weak,0.6667
Barbora,https-barbora-ee-toode-varska-naturaal-mulliga-1-5-l,"VÃ¤rska Naturaal Mulliga 1,5L",VÃ„RSKA ORIGINAAL,,Selver,4.74004E+12,"Joogivesi Naturaal mulliga, VÃ„RSKA, 1,5 l",SAKU Ã•LLETEHASE AS,,weak,0.6
Barbora,https-barbora-ee-toode-kaerajook-oatly-barista-edition-500-ml,"Kaerajook OATLY Barista Edition, 500ml",OATLY,,Selver,7.39438E+12,"Vahustatav kaerajook Barista Edition, OATLY, 1 l",CLUB-MATE EESTI OÃœ,,weak,0.6667
Barbora,https-barbora-ee-toode-jogurt-natural-maitsestamata-tere-380-g,Jogurt Natural maitsestamata TERE 380g,TERE,,Selver,125069,"Jogurt Natural maitsestamata laktoosivaba, TERE, 380 g",,,weak,0.6667
Barbora,https-barbora-ee-toode-kulm-merluus-esva-argentiina-peata-595-g,"KÃ¼lm.merluus ESVA Argentiina peata, 595g",ESVA,,Selver,4.77019E+12,"Argentiina merluus peata, 595 g",Argentiina,595 g,weak,0.5
Barbora,https-barbora-ee-toode-munavalged-orrekanade-munadest-1-kg,"Munavalged Ãµrrekanade munadest, 1kg",,,Selver,5.70161E+12,"Whitepro munavalged Ãµrrekanade munadest, 1 kg",Whitepro,1 kg,weak,0.6
Barbora,https-barbora-ee-toode-hummus-avokaadoga-noa-175-g,Hummus avokaadoga NOA 175g,,,Selver,4.05809E+12,"Noa Spread avokaado hummus, 175g",Noa Spread,175 g,weak,0.5
Barbora,000000000000296429,LikÃ¶Ã¶r BLUE CURACAO 20% 700ml,RETRO,,Selver,8.41477E+12,"LikÃ¶Ã¶r BEVELAND Blue Curacao, 70 cl",LIVIKO AS,,weak,0.5
Barbora,000000000000961820,"KÃ¼lm.pelmeenid seentega Gyoza, 400g",VICI,,Selver,4.77019E+12,"Pelmeenid seentega Gyoza, Vici, 400 g",VICIUNAI BALTIC OÃœ,,weak,0.5
Barbora,000000000000144157,"Viin VIRU VALGE VÃ„GEV 80% 0,5 L",VIRU VALGE,,Selver,4.74005E+12,Viru Valge VÃ¤gev viin 80%vol 500ml,Viru Valge,500 ml,weak,0.6667
Barbora,000000000000697930,"Eesti kÃ¼Ã¼slaugu kÃ¼Ã¼ned pakitud, 100g",,,Selver,4.74027E+12,"KÃ¼Ã¼slaugu kÃ¼Ã¼ned pakitud, 100 g",KÃ¼Ã¼slaugu,100 g,weak,0.6
Barbora,000000000000184820,Cognac HENNESSY XO 40% 350ml karp,HENNESSY,,Selver,3.24599E+12,"Hennessy XO Cognac 40%vol 350ml, karbis",Hennessy XO,,weak,0.5714
Barbora,000000000001291761,"KÃ¼lm.pitsa Prosciutto RISTORANTE, 340g",DR.OETKER,,Selver,4.00172E+12,Ristorante Pitsa Prosciutto 340 g,Ristorante Pitsa,340 g,weak,0.6
Barbora,https-barbora-ee-toode-suitsusardell-rannarootsi-500-g,"Suitsusardell RANNAROOTSI, 500g",RANNAROOTSI,,Selver,4.7403E+12,"Suitsusardell, RANNAROOTSI, 500 g",RANNAROOTSI LIHATÃ–Ã–STUS AS,,weak,0.6667
Barbora,https-barbora-ee-toode-kodune-kotletisegu-m-m-500-g,"Kodune kotletisegu M&M, 500g",MAKS & MOORITS,,Selver,4.74017E+12,Ma&orits Kodune Kotletisegu 500G,Ma&orits Kodune,500 g,weak,0.5
Barbora,https-barbora-ee-toode-energiajook-red-bull-473-ml-prk,"Energiajook RED BULL 473ml,prk",RED BULL,,Selver,9.00249E+12,"Energiajook, RED BULL, 473 ml",TRIDENS AS,,weak,0.6
Barbora,https-barbora-ee-toode-kulm-kentucky-broileriribad-250-g,KÃ¼lm. Kentucky broileriribad 250g,,,Selver,8.42032E+12,"VÃ¼rtsikad Kentucky broileriribad, FRIPOZO, 250g",JUNGENT ESTONIA OÃœ,,weak,0.5
Barbora,https-barbora-ee-toode-kohupiimakreem-tere-emma-kakao-150-g,"Kohupiimakreem TERE Emma kakao,150g",TERE,,Selver,4.74004E+12,"Kohupiimakreem kakao, EMMA, 150 g",TERE AS,,weak,0.6
Barbora,https-barbora-ee-toode-keefir-nopri-2-5-proc-1-l,"Keefir NOPRI 2,5%, 1L",NOPRI,,Selver,4.74022E+12,"Keefir 2,5%, NOPRI, 1 kg",NOPRI TALUMEIEREI OÃœ,,weak,0.6667
Barbora,000000000001378188,Peakapsa Kimchi 300g,KADARBIKU,,Selver,4.74237E+12,"Peakapsa Kimchi, KADARBIKU KÃ–Ã–GIVILI, 300g",KADARBIKU KÃ–Ã–GIVILI OÃœ,,weak,0.6
Barbora,https-barbora-ee-toode-kaerajook-oatly-barista-edition-1-l,"Kaerajook OATLY Barista Edition, 1l",OATLY,,Selver,7.39438E+12,"Vahustatav kaerajook Barista Edition, OATLY, 1 l",CLUB-MATE EESTI OÃœ,,weak,0.6667
Barbora,000000000001163659,Pestud porgand KADARBIKU 1kg,KADARBIKU,,Selver,2.70002E+12,"Porgand pestud, kg",MÃ¤Ã¤ramata,,weak,0.5
Barbora,https-barbora-ee-toode-toorjuust-farmi-originaal-29-8-proc-150-g,"Toorjuust FARMI originaal 29.8%,150g",FARMI,,Selver,4.74012E+12,"Toorjuust originaal, 150 g",Toorjuust,150 g,weak,0.5
Barbora,000000000000037449,Gin BEEFEATER 40% 700ml,BEEFEATER,,Selver,85652,Beefeater London Dry Gin 40%vol 700ml,Beefeater London,,weak,0.5
Barbora,https-barbora-ee-toode-hautatud-veiseliha-frank-pott-240-g,"Hautatud veiseliha Frank Pott, 240g",FRANK POTT,,Selver,4.74022E+12,"Hautatud sealiha, FRANK POTT, 240 g",RANNAROOTSI LIHATÃ–Ã–STUS AS,,weak,0.5
Barbora,000000000001378337,Punase peakapsa Kimchi 300g,KADARBIKU,,Selver,4.74237E+12,"Punase peakapsa Kimchi, KADARBIKU KÃ–Ã–GIVILI, 300g",KADARBIKU KÃ–Ã–GIVILI OÃœ,,weak,0.6667
Barbora,https-barbora-ee-toode-kohupiimakreem-alma-mangokisselliga-140-g,"Kohupiimakreem ALMA mangokisselliga,140g",ALMA,,Selver,4.74013E+12,"Mangokisselliga kohupiimakreem, 140 g",Mangokisselliga,140 g,weak,0.5
Barbora,000000000001207773,"Hapukurk PEIPSI, 400g",PEIPSI,,Selver,4.74466E+12,Peipsi hapukurk 400g Germani talu,Peipsi,400 g,weak,0.6
Barbora,https-barbora-ee-toode-rukkipala-idandatud-teradega-240-g,Rukkipala idandatud teradega 240g,LEIBUR,,Selver,4.74007E+12,Leibur Rukkipala Idandatud Teradega 240 G,Leibur Rukkipala,240 G,weak,0.6
Barbora,https-barbora-ee-toode-poolsuitsuvorst-tommu-juustuga-woro-350-g,"Poolsuitsuvorst TÃµmmu juustuga WÃ•RO,350g",WÃ•RO,,Selver,4.74056E+12,"Poolsuitsuvorst TÃµmmu, WÃ•RO, 350 g",Suitsuvorst TÃµmmu,,weak,0.6
Barbora,https-barbora-ee-toode-margariin-voimix-soolane-60-proc-400-g,"Margariin VOIMIX soolane 60%, 400g",VOIMIX,,Selver,6.43821E+12,"Voimix Soolane 60%, VOIMIX, 400 g",Soolane,400 g,weak,0.5
Barbora,000000000001204966,"KÃ¼lm.pitsataigen EESTI PAGAR,600g",EESTI PAGAR,,Selver,4.74009E+12,"Pitsataigen, EESTI PAGAR, 600 g",EESTI PAGAR AS,,weak,0.6
Barbora,000000000001168372,"Kimchi salat, 450g",DIMDIÅ…I,,Selver,4.751E+12,"Kimchi salat, DIMDINI, 450 g",MÃ¤Ã¤ramata,,weak,0.5
Barbora,https-barbora-ee-toode-viin-hobe-mahe-39-2-proc-700-ml,Viin HÃ•BE Mahe 39.2% 700ml,HÃ•BE,,Selver,4.74005E+12,"Viin HÃµbe mahe, 70cl",LIVIKO AS,,weak,0.6
Barbora,https-barbora-ee-toode-doktorivorst-lihakas-rakvere-170-g-viil,"Doktorivorst Lihakas RAKVERE, 170g viil",RAKVERE,,Selver,4.74E+12,"Lihakas doktorivorst, RAKVERE, 170 g",MAAG EESTI AS,,weak,0.6
Barbora,https-barbora-ee-toode-alk-jook-cooler-green-apple-4-proc-275-ml,Alk.jook Cooler Green Apple 4% 275ml,COOLER,,Selver,4.74005E+12,Cooler Green Apple 4%vol muu alkohoolne jook 275ml,Cooler Green,275 ml,weak,0.5556
Barbora,https-barbora-ee-toode-jogurt-gefilus-maitsestamata-2-5-proc-380-g,"Jogurt GEFILUS maitsestamata 2.5%, 380g",VALIO GEFILUS,,Selver,4.74013E+12,"Maitsestamata jogurt 2,5%, 380 g",Maitsestamata,380 g,weak,0.5
Barbora,https-barbora-ee-toode-bechamel-koorekaste-foodstudio-350-ml,"Bechamel koorekaste FOODSTUDIO, 350ml",FOODSTUDIO,,Selver,https://www.selver.ee/bechamel-valge-koorekaste-foodstudio-350-ml,"Bechamel valge koorekaste, FOODSTUDIO, 350 ml",ABESTOCK AS,,weak,0.6
Barbora,https-barbora-ee-toode-mineraalvesi-varska-0-5-l,"Mineraalvesi VÃ„RSKA 0,5 L",VÃ„RSKA,,Selver,4.74004E+12,"VÃ¤rska Originaal karboniseeritud mineraalvesi, 500 ml",VÃ¤rska Originaal,500 ml,weak,0.5
Barbora,https-barbora-ee-toode-viin-viru-valge-40-proc-700-ml,Viin VIRU VALGE 40% 700ml,VIRU VALGE,,Selver,4.74005E+12,"Viin VIRU VALGE , 70 cl",LIVIKO AS,,weak,0.6
Barbora,https-barbora-ee-toode-sojajook-alpro-sokolaadi-250-ml,"Sojajook ALPRO Å¡okolaadi, 250ml",ALPRO,,Selver,5.41119E+12,"Å okolaadi sojajook laktoosivaba, ALPRO, 250 ml",NUTRICIA SIA,,weak,0.6
Barbora,https-barbora-ee-toode-juust-hiirte-estover-viilutatud-500-g,"Juust Hiirte ESTOVER viilutatud, 500g",ESTOVER,,Selver,4.74057E+12,"Hiirte juust, viilutatud, 500 g",Hiirte,500 g,weak,0.6
Barbora,https-barbora-ee-toode-sulat-juust-old-saare-mo-saaremaa-185-g,"Sulat.juust Old Saare MO SAAREMAA,185g",MO SAAREMAA,,Selver,4.74015E+12,"Sulatatud juust Old Saare, MO SAAREMAA, 185 g",PINUS AS,,weak,0.625
Barbora,000000000000756274,Dattel 200g,,,Selver,https://www.selver.ee/dattel-200-g,"Dattel, 200 g",MÃ¤Ã¤ramata,,weak,0.5
Barbora,000000000000181718,"Virsik 1kl., kg",,,Selver,2.70004E+12,"Virsik, kg",MÃ¤Ã¤ramata,,weak,0.5
Barbora,https-barbora-ee-toode-juustumuhkel-fazer-200-g,Juustumuhkel FAZER 200g,FAZER,,Selver,4.7401E+12,Fazer Juustumuhkel 200 G,Fazer Juustumuhkel,200 G,weak,0.6667
