product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence,final_food_group,final_sub_code,final_confidence,change_reason
3130,Alma kohuke kakao kakaoglasuuris 40g,Alma,40 g,dairy_eggs_fats,"Barbora, Coop, Maxima, Prisma, Rimi",,dry_other,other,dairy_eggs_fats,dairy_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
3115,Alma kohuke vanilli kakaoglasuuris 40g,Alma,40 g,dairy_eggs_fats,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,dry_other,other,dairy_eggs_fats,dairy_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
11085,"Gouda Karulauguga, NOPRI, 250 g",Gouda,250 g,dairy_eggs_fats,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,dry_other,other,dairy_eggs_fats,dairy_cheese_slices,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
9051,"Laktoosivaba vanilli glasuurkohuke, 40 g",Laktoosivaba,40 g,dairy_eggs_fats,"Coop, Prisma, Rimi, Selver",,dry_other,other,dairy_eggs_fats,dairy_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
38386,"Magija karamelliga kohuke, 45g",Magija,45 g,dairy_eggs_fats,Prisma,,dry_other,other,sweets_snacks,sweets_candies,fallback,sweets_snacks,sweets_candies,high,proposed_group_invalid;override_with_name_rules
40184,"Magija shokolaadikohuke, 45 g",Magija,45 g,dairy_eggs_fats,Prisma,,dry_other,other,sweets_snacks,sweets_chocolate_bars,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
2227,Tere Kohuke vanilli laktoosivaba 40g,Tere Kohuke,40 g,dairy_eggs_fats,"Barbora, Maxima, Prisma",,dry_other,other,dairy_eggs_fats,dairy_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
16105,Juuksegeel Got2b Glued Water Res 150 ml,Juuksegeel Got2b,150 ml,drinks,Prisma,,dry_other,other,personal_care,pcare_other,fallback,drinks,drinks_water,high,proposed_group_invalid;override_with_name_rules
15422,Pesukaitse discreet waterlily 100tk,Pesukaitse,,drinks,Prisma,,hh_other,household,personal_care,pcare_feminine_hygiene,heuristic,personal_care,pcare_feminine_hygiene,high,override_with_name_rules
29962,Rainbow Blue Water wc-värskendaja 40 g,Rainbow Blue,40 g,drinks,Prisma,,dry_other,other,household,hh_candles_airfresh,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
1772,Balsnack kamapallid 150 g,Balsnack,150 g,dry_preserves,"Coop, Prisma, Rimi, Selver",,dry_other,other,dry_preserves,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
22246,Coop lasanjeplaadid ja kastmepulber 247g,Coop,247 g,dry_preserves,Prisma,,sauces_other,sauces_oils,dry_preserves,dry_other,heuristic,sauces_oils,sauces_other,heuristic,
20740,Coop suured hiidkrevetid kastmes 350/170g,Coop,170 g,dry_preserves,Prisma,,sauces_other,sauces_oils,dry_preserves,dry_other,heuristic,sauces_oils,sauces_other,heuristic,
19883,Il molino panna cotta karamellikastmega 90g,Il,90 g,dry_preserves,Prisma,,sauces_other,sauces_oils,sweets_snacks,sweets_candies,heuristic,sweets_snacks,sweets_candies,high,override_with_name_rules
26297,Knorr 3 pipra kuivkastme segu 3x32g,Knorr,3x32 g,dry_preserves,Prisma,,sauces_other,sauces_oils,sauces_oils,sauces_other,heuristic,sauces_oils,sauces_other,heuristic,
24205,"Knorr karrikastme pulber, 3x24 g",Knorr,3x24 g,dry_preserves,Prisma,,sauces_other,sauces_oils,sauces_oils,sauces_other,heuristic,drinks,drinks_spirits,high,override_with_name_rules
