product_id,name,brand,size_text,ean,current_food_group,current_sub_code,canonical_main_code,canonical_sub_code
614101,Varsseller (seller),,,2060353700000,dry_preserves,dry_other,produce,produce_root_veg
614102,Xtra rosinad 250g,Xtra,250g,7340191179448,dry_preserves,dry_other,sweets_snacks,sweets_nuts_driedfruit
614103,Jänks piparkoogikohuke glasuuriga 52g,Jänks,52g,0000047466142,world_spices,spices_basic_salt_pepper,dairy_eggs_fats,dairy_desserts
614104,Oral-B iO2 Kids Stitch lastelektr. hambahari,Oral-B,,8700216931564,personal_care,pcare_oral_care,personal_care,pcare_oral_care
614105,Coop kreemine šampinjonisupp 570ml,Coop,570ml,7340191165694,produce,produce_mushrooms,dry_preserves,dry_ready_meals_jars
614106,Kinder Maxi üllatusmuna 220g,Kinder,220g,8000500266564,dairy_eggs_fats,dairy_eggs,sweets_snacks,sweets_chocolate_bars
614107,Oral-B iO2 Duo elektriline hambahari must/roosa,Oral-B,,8700216612470,personal_care,pcare_oral_care,personal_care,pcare_oral_care
614108,Miele AA50 aktiivsöefilter,Miele,,4002515315590,dry_preserves,dry_other,household,hh_other
614109,Maks ja Moorits eelküpsetatud suur praetükk ~1.6kg,Maks ja Moorits,1.6kg,2317161300008,dry_preserves,dry_other,meat_fish,meat_pork
614110,Jim Beam & Cola alkohoolne jook 4.5% 330ml,Jim Beam,330ml,5060045581280,drinks,drinks_soft_soda,drinks,drinks_beer_cider
614111,Dals Kitchen Szechuan kana riisiga 350g,Dals Kitchen,350g,4745092030479,dry_preserves,dry_pasta_rice,frozen_food,frozen_ready_meals
614112,USIN vinigrett salat 300g,USIN,300g,4740584000015,dry_preserves,dry_other,produce,produce_herbs_salads_sprouts
614113,Mehukatti hea päevaalustus mahl viinamari-pirn-maasikas 1L,Mehukatti,1L,6415130107675,drinks,drinks_spirits,drinks,drinks_juices
614114,WC loputuskasti sinised tabletid Easy 8tk,,8tk,5000185114993,drinks,drinks_wine,household,hh_cleaners
614115,Xtra kodujuust 3.5% 300g,Xtra,300g,7340011427698,dairy_eggs_fats,dairy_cottage_quark,dairy_eggs_fats,dairy_cottage_quark
614116,Mayeri Color pesugeel täitepakk 3L,Mayeri,3L,4740060015380,household,hh_laundry,household,hh_laundry
614117,Nata sojalõigud tomati-palsamiäädikaga 300g,Nata,300g,4751037790186,sauces_oils,sauces_soy_worcester,dry_preserves,dry_groats_beans
614118,Xtra köögiviljasegu brokkoliga 1kg,Xtra,1kg,7340191174580,dry_preserves,dry_other,frozen_food,frozen_vegetables
614119,Hulten FavoritMix jõulumaiused 450g,Hulten,450g,7350101196045,dry_preserves,dry_other,sweets_snacks,sweets_candies
614120,Rivani Pinot Rose Extra Dry vahuvein 11% 750ml,Rivani,750ml,8009620835513,drinks,drinks_wine,drinks,drinks_wine
614121,JBL Quantum 350 mänguri kõrvaklapid,JBL,,6925281986499,dry_preserves,dry_other,household,hh_other
614122,Pixiem LED Hollywood meigipeegel HM37T,Pixiem,,6418959033576,dry_preserves,dry_other,household,hh_other
614123,Kaluri praetud kilud koduses marinaadis 500g,Kaluri,500g,4740590030112,dry_preserves,dry_canned_meat_fish,dry_preserves,dry_canned_meat_fish
614124,Huawei Band 10 nutikell roosa,Huawei,,6942103149030,dry_preserves,dry_other,household,hh_other
614125,Donkey Kong Bananza NSW2 mäng,,,0045496312831,dry_preserves,dry_other,household,hh_other
614126,PlayStation 5 Standard 1TB konsool,,,0711719021308,world_spices,spices_basic_salt_pepper,household,hh_other
614127,2026 aastalant Helmi-Tundra BLU-G,,,6417635058469,dry_preserves,dry_other,household,hh_other
614128,Mati krõbe kanaloog taimne filee 170g,Mati,170g,4745011041319,meat_fish,meat_poultry,dry_preserves,dry_groats_beans
614129,PS5 NHL 26 EA Sports mäng,,,5035226125331,dry_preserves,dry_other,household,hh_other
614130,PS5 Ghost of Yotei mäng,,,0711719020271,dry_preserves,dry_other,household,hh_other
614131,PS5 DualSense Chroma Teal pult,,,0711719590477,dry_preserves,dry_other,household,hh_other
614132,NSW Pokemon Legendid Z-A mäng,,,0045496513054,dry_preserves,dry_other,household,hh_other
614133,PS5 FC 26 EA Sports mäng,,,5030934125321,dry_preserves,dry_other,household,hh_other
614134,2026 aastalant Helmi-Tundra Pink-G,,,6417635058452,dry_preserves,dry_other,household,hh_other
614135,Törley Talisman Demi-Sec vahuvein 11% 750ml,Törley,750ml,5998815750614,drinks,drinks_wine,drinks,drinks_wine
614136,NSW2 konsool + Mario Kart World,,,0045496321529,world_spices,spices_basic_salt_pepper,household,hh_other
614137,Mamma seentega sealihakaste 400g,Mamma,400g,4740184006349,meat_fish,meat_pork,sauces_oils,sauces_other
614138,Philips OneBlade 360 trimmer QP2834/23,Philips,,8720689029100,dry_preserves,dry_other,personal_care,pcare_shaving
614139,Muumi Party Time kruus 0.3L,,0.3L,6411801022544,dry_preserves,dry_other,household,hh_kitchenware
614140,Iittala Taika kruus 0.4L öö kinkekarp,Iittala,0.4L,6411923686860,dry_preserves,dry_other,household,hh_kitchenware
614141,HIIUMAA KÖÖK pohla-kamakreem 130g,HIIUMAA KÖÖK,130g,4740541004094,produce,produce_berries,dairy_eggs_fats,dairy_desserts
614142,Iittala Krouvi õllekruus 50cl,Iittala,50cl,6411801025910,dry_preserves,dry_other,household,hh_kitchenware
614143,Huawei Band 10 nutikell must,Huawei,,6942103149047,dry_preserves,dry_other,household,hh_other
614144,JBL Quantum 200 mänguri kõrvaklapid,JBL,,6925281969546,dry_preserves,dry_other,household,hh_other
614145,Pixiem IR850 valgusteraapiamask,Pixiem,,6418959033590,dry_preserves,dry_other,household,hh_other
614146,Kotimaista kanakintsufilee maitsestamata 600g,Kotimaista,600g,6414891801051,dry_preserves,dry_canned_veg,meat_fish,meat_poultry
614147,Kucharek veiselihapuljong 60g,Kucharek,60g,5901135011044,world_spices,spices_broth_stock,world_spices,spices_broth_stock
614148,Iittala Taika kruus 0.4L uni kirss kinkekarp,Iittala,0.4L,6411923686891,dry_preserves,dry_other,household,hh_kitchenware
614149,Minikartul pestud Koorti Kartul 1kg,,1kg,4740243477004,dairy_eggs_fats,dairy_cream_sourcream,produce,produce_root_veg
614150,Kotimaista kanafileeribad kergelt soolatud 700g,Kotimaista,700g,6414893501003,dry_preserves,dry_canned_veg,meat_fish,meat_poultry
