product_id,name,brand,size_text,ean,current_food_group,current_sub_code,canonical_main_code,canonical_sub_code
417042,Terad Wilkinson Intuition Complete 3 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417043,Varuterad Bic Hybrid Flex 3 4 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417044,Varuterad Bic Hybrid Flex 5 4 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417045,Varuterad Bic Soleil Click 5 4 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417046,Varuterad Bic Soleil Click Sensitive 4 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417047,Varuterad Gillette Mach 3 Charcoal 8 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417048,Varuterad Philips Oneblade Qp 420 50 2 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417049,Varuterad Philips Oneblade Qp 440 50 4 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417050,Varuterad Venus Smooth Sensitive 4 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417051,Varuterad Venus Spa Breeze 4 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417052,Ziletiterad Gillette King C 10 Tk,,,,dry_preserves,dry_other,personal_care,pcare_shaving
417053,Kulm Koogiv Maitseain Ja Papr Hortex 400 G,,,,dry_preserves,dry_other,frozen_food,frozen_veg
417054,Cognac HENNESSY XO 40% 700ml,,,,drinks,drinks_spirits,drinks,drinks_spirits
417055,Kulm Koogivil Praadimiseks Hortex 400 G,,,,dry_preserves,dry_other,frozen_food,frozen_veg
417056,"Pirn GUYOT 1kl., kg",,,,produce,produce_apples_pears,produce,produce_apples_pears
417057,"Marineeritud kukeseen, 500g",,,,produce,produce_mushrooms,dry_preserves,dry_canned_veg
417058,Viin Absolut Vodka 40 Proc 500 Ml,,,,drinks,drinks_spirits,drinks,drinks_spirits
417059,"Kanafilee hakkšnitsel TALLEGG, 340g",,,,meat_fish,meat_poultry,meat_fish,meat_poultry
417060,Kons.turistieine sealihast MINU 250g,,,,meat_fish,meat_pork,dry_preserves,dry_canned_meat_fish
417061,"Koorejäätis laktoosivaba BALBIINO, 480g",,,,dairy_eggs_fats,dairy_cream_sourcream,frozen_food,frozen_desserts_icecream
417062,"Külm.pelmeenid Sib.Col.veiselihaga,350g",,,,meat_fish,meat_beef_lamb_game,frozen_food,frozen_ready_meals
417063,Kulm Koogiviljasegu Kevad Hortex 400 G,,,,dry_preserves,dry_other,frozen_food,frozen_veg
417064,Kulm Krevetid Keedetud Koorega 700 G,,,,dairy_eggs_fats,dairy_cream_sourcream,frozen_food,frozen_fish
417065,Kulm Maasikad Bauer 400 G,,,,produce,produce_berries,frozen_food,frozen_berries_fruit
417066,Hele õlu BUDWEISER Budvar 5% 500ml,,,,drinks,drinks_beer_cider,drinks,drinks_beer_cider
417067,Jahvatatud kohv Presidentti PAULIG 500g,,,,drinks,drinks_tea_coffee,drinks,drinks_tea_coffee
417068,Cognac LARSEN VS 40% 500ml,,,,drinks,drinks_spirits,drinks,drinks_spirits
417069,Kulm Paneeritud Fileepala Esva 285 G,,,,dry_preserves,dry_other,frozen_food,frozen_fish
417070,Cognac MEUKOW VSOP Super. 40% 700ml karp,,,,drinks,drinks_spirits,drinks,drinks_spirits
417071,"Fenkol, kg",,,,dry_preserves,dry_other,produce,produce_root_veg
417072,Kulm Pelmeenid Uvic Hiina 1 Kg,,,,dry_preserves,dry_other,frozen_food,frozen_ready_meals
417073,"Külm. hakkliha-juustu pitsa PREMIA,375g",,,,dairy_eggs_fats,dairy_cheese_slices,frozen_food,frozen_pizza
417074,"Külm.kartuli-sibulasegu MAAHÄRRA,1kg",,,,produce,produce_root_veg,frozen_food,frozen_potato_products
417075,"Külm.põdraliha pelmeenid,350g",,,,meat_fish,meat_other,frozen_food,frozen_ready_meals
417076,KGT vein B&G Bordeaux Chardonnay 750ml,,,,drinks,drinks_wine,drinks,drinks_wine
417077,"Külm.rannakarbiliha 200/300,300g",,,,meat_fish,meat_other,meat_fish,fish_other
417078,"Külm.vaarikad, mustikad HÄRMAVILI, 300g",,,,produce,produce_berries,frozen_food,frozen_berries_fruit
417079,"Külm.vareen. UVIC Vanaema kohupiim.,400g",,,,dairy_eggs_fats,dairy_cottage_quark,frozen_food,frozen_desserts_icecream
