product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
4040,"Activus koorene, mahe porgandisupp kookospiimaga 400g",Activus,400 g,bakery,Prisma,,dairy_cream_sourcream,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
50544,Almondy Daimi juustukook 85 g,Almondy Daimi,85 g,bakery,Prisma,,dairy_other,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
53692,"Almondy mandlikook daim, 400 g",Almondy,400 g,bakery,"Prisma, Selver",,dairy_plant_drinks,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
78258,Aloe Vera jook kookose mahlaga 500ml,Aloe Vera,500 ml,bakery,Prisma,,drinks_juices,drinks,bakery,bakery_cakes_pastries,medium
9521,Alpro Absolutely Coconut maitsestamata kookostoode 350g,Alpro Absolutely,350 g,bakery,Prisma,,drinks_beer_cider,drinks,dairy_eggs_fats,dairy_desserts,high
8814,Alpro fermenteeritud sojatoode kookosega 400 g,Alpro,400 g,bakery,Prisma,,drinks_tea_coffee,drinks,dairy_eggs_fats,dairy_desserts,high
77545,"Alpro hapendatud kookosetoode soolase karamelliga, 120 g",Alpro,120 g,bakery,Prisma,,spices_basic_salt_pepper,world_spices,bakery,bakery_cakes_pastries,high
76359,"Alpro hapendatud kookosetoode vaarikaga, 120 g",Alpro,120 g,bakery,Prisma,,dairy_plant_drinks,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
8679,"Alpro kookose-mandlijook, laktoosivaba, vegan, 1l",Alpro,1 l,bakery,"Barbora, Maxima, Prisma, Rimi, Selver",,dairy_plant_drinks,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
12207,"Alpro kookosjook riisiga, laktoosivaba, vegan, 1l",Alpro,1 l,bakery,"Coop, Prisma, Rimi, Selver",,dairy_plant_drinks,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
52295,Änglamark neutraalne ökoloogiline kookosõli 450 ml,Änglamark,450 ml,bakery,Prisma,,dairy_plant_drinks,dairy_eggs_fats,sauces_oils,oils_other,high
7042,Änglamark ökoloogiline neitsikookosõli 200 ml,Änglamark,200 ml,bakery,Prisma,,dairy_plant_drinks,dairy_eggs_fats,sauces_oils,oils_other,high
22741,Änglamark ökoloogilised kookoshelbed 200g,Änglamark,200 g,bakery,Prisma,,dairy_plant_drinks,dairy_eggs_fats,dry_preserves,dry_cereals_muesli,high
25350,"Aprikoosikook, EESTI PAGAR, 310 g",Eesti Pagar,310 g,bakery,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,bakery_cakes_pastries,bakery,bakery,bakery_cakes_pastries,medium
557427,Astri Köök Mango-Kookose Dessert 130 G,Astri Köök,130 g,bakery,Prisma,,dairy_plant_drinks,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
8826,ATRIA Spinatipannkook 400 g,ATRIA Spinatipannkook,400 g,bakery,Prisma,,bakery_cakes_pastries,bakery,bakery,bakery_cakes_pastries,medium
48018,Balconi Kakaotäidisega Shokolaadikook 400 G,Balconi Kakaotäidisega,400 g,bakery,Prisma,,bakery_cakes_pastries,bakery,sweets_snacks,sweets_chocolate_bars,medium
30111,"Ballerina nugatitäidisega küpsised, 205 g",Ballerina,205 g,bakery,Prisma,,sweets_biscuits_cookies,sweets_snacks,bakery,bakery_other,high
46730,Balsnack juustu-sibulamaitselised leivad 80 g,Balsnack,80 g,bakery,"Coop, Prisma",,dairy_other,dairy_eggs_fats,bakery,bakery_other,high
94408,Balsnack küüslauguleivad 80 g,Balsnack,80 g,bakery,"Coop, Prisma, Rimi, Selver",,other,other,bakery,bakery_other,low
53846,"Beldessert külmutatud Šokolaadi Laavakook, 2x90g",Beldessert,2x90 g,bakery,"Coop, Prisma, Rimi",,sweets_chocolate_bars,sweets_snacks,sweets_snacks,sweets_chocolate_bars,high
30070,Belvita metsamarja küpsised 300 g,Belvita,300 g,bakery,"Prisma, Rimi, Selver",,sweets_biscuits_cookies,sweets_snacks,bakery,bakery_other,high
48982,Belvita pähklite ja meega küpsised 300 g,Belvita,300 g,bakery,"Prisma, Rimi, Selver",,sweets_biscuits_cookies,sweets_snacks,bakery,bakery_other,high
46286,Belvita šokolaadiküpsised 300 g,Belvita,300 g,bakery,"Coop, Prisma, Rimi, Selver",,sweets_chocolate_bars,sweets_snacks,bakery,bakery_other,high
29356,Biscotti küpsised wow domenico maapähklite ja risiipallidega 140g,Biscotti,140 g,bakery,Prisma,,sweets_biscuits_cookies,sweets_snacks,bakery,bakery_other,high
29255,Biscotti küpsis kookoshelvestega 170g,Biscotti,170 g,bakery,Prisma,,sweets_biscuits_cookies,sweets_snacks,bakery,bakery_cakes_pastries,high
575909,Biscuit chocolate pakitud küpsis 33 korovõ kondenspiima 180g,Biscuit,180 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks,bakery,bakery_other,high
29420,Carr´s võileivaküpsised 125 g,Carr´s,125 g,bakery,"Coop, Prisma, Selver",,sweets_biscuits_cookies,sweets_snacks,bakery,bakery_other,high
2516,Coop digestive küpsised 400g,Coop,400 g,bakery,Prisma,,sweets_biscuits_cookies,sweets_snacks,bakery,bakery_other,high
3594,"Coop Hamburgeri Saiad 6 Tk, 330 G",Coop Hamburgeri,330 g,bakery,Prisma,,bakery_buns_croissants,bakery,bakery,bakery_other,high
49850,"Coop Hot Dogi Saiad 4 Tk, 250 G",Coop Hot,250 g,bakery,Prisma,,pet_other,pet,bakery,bakery_other,medium
70760,Coop kookose viljaliha tõmmis 17-19% 400ml,Coop,400 ml,bakery,Prisma,,dairy_plant_drinks,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
20963,Coop kookoshelbed 200g,Coop,200 g,bakery,Prisma,,dairy_plant_drinks,dairy_eggs_fats,dry_preserves,dry_cereals_muesli,high
30954,Coop kookoskreem 22-24% 250ml,Coop,250 ml,bakery,Prisma,,dairy_plant_drinks,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
30009,Coop küpsised 12% vaniljemaitselise ja 8% vaarikamaitselise täidisega 175g,Coop,175 g,bakery,Prisma,,sweets_biscuits_cookies,sweets_snacks,bakery,bakery_other,high
2757,"Coop küpsised piima-, tumeda ja valge šokolaadiga 180g",Coop,180 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks,bakery,bakery_other,high
345879,Coop küpsised sarapuupähklikreemi ja tumeda šokolaadiga 150g,Coop,150 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks,bakery,bakery_other,high
1599,Coop küpsised tumeda ja piimašokolaadiga 150g,Coop,150 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks,bakery,bakery_other,high
29445,Coop küpsised valge šokolaadi ja sidruniga 150 g,Coop,150 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks,bakery,bakery_other,high
29426,Coop maasika-toorjuustu saiake,Coop,,bakery,Prisma,,dairy_other,dairy_eggs_fats,bakery,bakery_buns_croissants,high
20907,Coop magus granola rosinatega 7% ja kookosega 5% 750g,Coop,750 g,bakery,Prisma,,dairy_plant_drinks,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
20514,"Coop müsli täisterahelvestest, rosinatest 25%, viigimarjadest 8%, sarapuupähklid 4%, banaanilaastudest 2% ja kookoslaastud 2% 750g",Coop,750 g,bakery,Prisma,,sweets_nuts_driedfruit,sweets_snacks,bakery,bakery_cakes_pastries,high
1351,Coop pehme karamelli ja piimašokolaadiga küpsised 170g,Coop,170 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks,bakery,bakery_other,high
