product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected
4040,"Activus koorene, mahe porgandisupp kookospiimaga 400g",Activus,400 g,bakery,Prisma,,bakery_cakes_pastries,bakery
50544,Almondy Daimi juustukook 85 g,Almondy Daimi,85 g,bakery,Prisma,,bakery_cakes_pastries,bakery
53692,"Almondy mandlikook daim, 400 g",Almondy,400 g,bakery,"Prisma, Selver",,bakery_cakes_pastries,bakery
78258,Aloe Vera jook kookose mahlaga 500ml,Aloe Vera,500 ml,bakery,Prisma,,bakery_cakes_pastries,bakery
9521,Alpro Absolutely Coconut maitsestamata kookostoode 350g,Alpro Absolutely,350 g,bakery,Prisma,,dairy_desserts,dairy_eggs_fats
8814,Alpro fermenteeritud sojatoode kookosega 400 g,Alpro,400 g,bakery,Prisma,,dairy_desserts,dairy_eggs_fats
77545,"Alpro hapendatud kookosetoode soolase karamelliga, 120 g",Alpro,120 g,bakery,Prisma,,bakery_cakes_pastries,bakery
76359,"Alpro hapendatud kookosetoode vaarikaga, 120 g",Alpro,120 g,bakery,Prisma,,bakery_cakes_pastries,bakery
8679,"Alpro kookose-mandlijook, laktoosivaba, vegan, 1l",Alpro,1 l,bakery,"Barbora, Maxima, Prisma, Rimi, Selver",,bakery_cakes_pastries,bakery
12207,"Alpro kookosjook riisiga, laktoosivaba, vegan, 1l",Alpro,1 l,bakery,"Coop, Prisma, Rimi, Selver",,bakery_cakes_pastries,bakery
52295,Änglamark neutraalne ökoloogiline kookosõli 450 ml,Änglamark,450 ml,bakery,Prisma,,oils_other,sauces_oils
7042,Änglamark ökoloogiline neitsikookosõli 200 ml,Änglamark,200 ml,bakery,Prisma,,oils_other,sauces_oils
22741,Änglamark ökoloogilised kookoshelbed 200g,Änglamark,200 g,bakery,Prisma,,dry_cereals_muesli,dry_preserves
25350,"Aprikoosikook, EESTI PAGAR, 310 g",Eesti Pagar,310 g,bakery,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,bakery_cakes_pastries,bakery
557427,Astri Köök Mango-Kookose Dessert 130 G,Astri Köök,130 g,bakery,Prisma,,bakery_cakes_pastries,bakery
8826,ATRIA Spinatipannkook 400 g,ATRIA Spinatipannkook,400 g,bakery,Prisma,,bakery_cakes_pastries,bakery
48018,Balconi Kakaotäidisega Shokolaadikook 400 G,Balconi Kakaotäidisega,400 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks
30111,"Ballerina nugatitäidisega küpsised, 205 g",Ballerina,205 g,bakery,Prisma,,bakery_other,bakery
46730,Balsnack juustu-sibulamaitselised leivad 80 g,Balsnack,80 g,bakery,"Coop, Prisma",,bakery_other,bakery
94408,Balsnack küüslauguleivad 80 g,Balsnack,80 g,bakery,"Coop, Prisma, Rimi, Selver",,bakery_other,bakery
53846,"Beldessert külmutatud Šokolaadi Laavakook, 2x90g",Beldessert,2x90 g,bakery,"Coop, Prisma, Rimi",,sweets_chocolate_bars,sweets_snacks
30070,Belvita metsamarja küpsised 300 g,Belvita,300 g,bakery,"Prisma, Rimi, Selver",,bakery_other,bakery
48982,Belvita pähklite ja meega küpsised 300 g,Belvita,300 g,bakery,"Prisma, Rimi, Selver",,bakery_other,bakery
46286,Belvita šokolaadiküpsised 300 g,Belvita,300 g,bakery,"Coop, Prisma, Rimi, Selver",,bakery_other,bakery
29356,Biscotti küpsised wow domenico maapähklite ja risiipallidega 140g,Biscotti,140 g,bakery,Prisma,,bakery_other,bakery
29255,Biscotti küpsis kookoshelvestega 170g,Biscotti,170 g,bakery,Prisma,,bakery_cakes_pastries,bakery
575909,Biscuit chocolate pakitud küpsis 33 korovõ kondenspiima 180g,Biscuit,180 g,bakery,Prisma,,bakery_other,bakery
29420,Carr´s võileivaküpsised 125 g,Carr´s,125 g,bakery,"Coop, Prisma, Selver",,bakery_other,bakery
2516,Coop digestive küpsised 400g,Coop,400 g,bakery,Prisma,,bakery_other,bakery
3594,"Coop Hamburgeri Saiad 6 Tk, 330 G",Coop Hamburgeri,330 g,bakery,Prisma,,bakery_other,bakery
49850,"Coop Hot Dogi Saiad 4 Tk, 250 G",Coop Hot,250 g,bakery,Prisma,,bakery_other,bakery
70760,Coop kookose viljaliha tõmmis 17-19% 400ml,Coop,400 ml,bakery,Prisma,,bakery_cakes_pastries,bakery
20963,Coop kookoshelbed 200g,Coop,200 g,bakery,Prisma,,dry_cereals_muesli,dry_preserves
30954,Coop kookoskreem 22-24% 250ml,Coop,250 ml,bakery,Prisma,,bakery_cakes_pastries,bakery
30009,Coop küpsised 12% vaniljemaitselise ja 8% vaarikamaitselise täidisega 175g,Coop,175 g,bakery,Prisma,,bakery_other,bakery
2757,"Coop küpsised piima-, tumeda ja valge šokolaadiga 180g",Coop,180 g,bakery,Prisma,,bakery_other,bakery
345879,Coop küpsised sarapuupähklikreemi ja tumeda šokolaadiga 150g,Coop,150 g,bakery,Prisma,,bakery_other,bakery
1599,Coop küpsised tumeda ja piimašokolaadiga 150g,Coop,150 g,bakery,Prisma,,bakery_other,bakery
29445,Coop küpsised valge šokolaadi ja sidruniga 150 g,Coop,150 g,bakery,Prisma,,bakery_other,bakery
29426,Coop maasika-toorjuustu saiake,Coop,,bakery,Prisma,,bakery_buns_croissants,bakery
20907,Coop magus granola rosinatega 7% ja kookosega 5% 750g,Coop,750 g,bakery,Prisma,,bakery_cakes_pastries,bakery
20514,"Coop müsli täisterahelvestest, rosinatest 25%, viigimarjadest 8%, sarapuupähklid 4%, banaanilaastudest 2% ja kookoslaastud 2% 750g",Coop,750 g,bakery,Prisma,,bakery_cakes_pastries,bakery
1351,Coop pehme karamelli ja piimašokolaadiga küpsised 170g,Coop,170 g,bakery,Prisma,,bakery_other,bakery
2811,"Coop puuviljabatoon datlite, kookose ja passionviljaga 35g",Coop,35 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks
53456,"Coop sarvesaiad, 330 g",Coop,330 g,bakery,Prisma,,bakery_other,bakery
4396,Coop šokolaaditäidise ja tumeda šokolaadiga küpsised 150g,Coop,150 g,bakery,Prisma,,bakery_other,bakery
4377,Coop soolased küpsised 200g,Coop,200 g,bakery,Prisma,,bakery_other,bakery
1435,Coop täisteranisuküpsised digestive 400g,Coop,400 g,bakery,Prisma,,bakery_other,bakery
50325,Coop valge šokolaadi ja jõhvikatega küpsised 150g,Coop,150 g,bakery,Prisma,,bakery_other,bakery
51611,"Coppenrath küpsised šokolaadi vaniljetäidisega gluteenivaba, laktoosivaba, 300 g",Coppenrath,300 g,bakery,Prisma,,bakery_gluten_free,bakery
3241,Corny Big Kookose-piimašokolaadi batoon 50 g,Corny Big,50 g,bakery,"Prisma, Selver",,sweets_chocolate_bars,sweets_snacks
3624,Corny classic 6-pakk piimašokolaadi-kookose 150g,Corny,150 g,bakery,"Coop, Prisma",,sweets_chocolate_bars,sweets_snacks
28407,Dan cake mini shokolaadikoogid 150 g,Dan,150 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks
30505,"Delisana küpsised apelsinitäidise ja šokolaadiga, 150 g",Delisana,150 g,bakery,Prisma,,bakery_other,bakery
1134,DOMINO VANILJEVAHUKOOK 2 TK 160 G,DOMINO VANILJEVAHUKOOK,160 g,bakery,Prisma,,bakery_cakes_pastries,bakery
49312,Eesti Leivatööstus Teekook 300 G,Eesti Leivatööstus,300 g,bakery,Prisma,,bakery_cakes_pastries,bakery
3981,Eesti Pagar maasika-toorjuustusaiake 425 g,Eesti Pagar,425 g,bakery,"Prisma, Rimi, Selver",,bakery_buns_croissants,bakery
30432,Eesti Pagar Maasika-Vahukoorekook 300 G,Eesti Pagar,300 g,bakery,Prisma,,bakery_cakes_pastries,bakery
110775,Eesti Pagar Marmor-Kohupiimakook 350 G,Eesti Pagar,350 g,bakery,"Barbora, Maxima, Prisma, Rimi, Selver",,bakery_cakes_pastries,bakery
51926,Eesti Pagar Meekook 1 KG,Eesti Pagar,1 kg,bakery,"Coop, Prisma",,bakery_cakes_pastries,bakery
29666,Eesti Pagar Meekook 350 G,Eesti Pagar,350 g,bakery,"Coop, Prisma",,bakery_cakes_pastries,bakery
28286,"Eesti Pagar Pealinna Kook 1,1 KG",Eesti Pagar,1.1 kg,bakery,"Coop, Prisma",,bakery_cakes_pastries,bakery
46900,Eesti Pagar Pealinna Kook 350 G,Eesti Pagar,350 g,bakery,"Coop, Prisma",,bakery_cakes_pastries,bakery
29948,Eesti Pagar Prantsuse Kohupiimakook 320 G,Eesti Pagar,320 g,bakery,"Coop, Prisma",,bakery_cakes_pastries,bakery
1488,Eesti Pagar XL Kaneelisaiake 800g,Eesti Pagar,800 g,bakery,Prisma,,bakery_buns_croissants,bakery
52611,"Eesti Pagar XL Mini šokolaadisaiake võiga, 900g",Eesti Pagar,900 g,bakery,"Prisma, Selver",,sweets_chocolate_bars,sweets_snacks
46628,Elonen Puuviljamaitseline saiake 240 g,Elonen Puuviljamaitseline,240 g,bakery,Prisma,,bakery_buns_croissants,bakery
48046,Elonen Toffee täidisega saiake 250 g,Elonen Toffee,250 g,bakery,Prisma,,bakery_buns_croissants,bakery
29265,"Elovena gluteenivabad vahepalakaeraküpsised, 9 × 18 g",Elovena,9x18 g,bakery,Prisma,,bakery_gluten_free,bakery
49241,Erlandia Aleksandri Kook 300 G,Erlandia Aleksandri,300 g,bakery,Prisma,,bakery_cakes_pastries,bakery
2720,"Fazer dallase saiake 6 tk, 582g",Fazer,582 g,bakery,Prisma,,bakery_buns_croissants,bakery
31058,Fazer Domino fun avec küpsised 120g,Fazer Domino,120 g,bakery,"Coop, Prisma, Rimi, Selver",,bakery_other,bakery
49095,Fazer Domino fun dumle küpsised 120g,Fazer Domino,120 g,bakery,"Coop, Prisma, Rimi, Selver",,bakery_other,bakery
29289,Fazer Domino Marianne küpsised 350 g vegan,Fazer Domino,350 g,bakery,"Coop, Prisma, Rimi, Selver",,bakery_other,bakery
46195,Fazer Domino Original kakaoküpsised 525 g vegan,Fazer Domino,525 g,bakery,Prisma,,bakery_other,bakery
46666,"Fazer Dumle Cookies, gluteenivabad toffee-maitselised kaeraküpsised toffee- (12%) ja šokolaaditükkidega (4%), 140 g",Fazer Dumle,140 g,bakery,Prisma,,bakery_gluten_free,bakery
4140,Fazer Fazerina apelsiniküpsised 140g gluteenivaba,Fazer Fazerina,140 g,bakery,Prisma,,bakery_gluten_free,bakery
47918,Fazer geisha küpsised 100 g,Fazer,100 g,bakery,Prisma,,bakery_other,bakery
30961,Fazer jaffa šokolaadiga kaetud sidrunmaitselise täidisega küpsised 300 g,Fazer,300 g,bakery,Prisma,,bakery_other,bakery
29908,"Fazer Jyväshyvä kaeraküpsised 350 g, vegan",Fazer Jyväshyvä,350 g,bakery,"Coop, Prisma, Rimi, Selver",,bakery_other,bakery
295610,Fazer kaneelirullimaitselised küpsised 270g,Fazer,270 g,bakery,Prisma,,bakery_other,bakery
28715,"Fazer küpsised karamellitükkide (6%) ja meresoolaga (0,6%), 270g, u. 58tk",Fazer,270 g,bakery,Prisma,,bakery_other,bakery
29692,"Fazer küpsised muumi, 175 g",Fazer,175 g,bakery,"Prisma, Rimi",,bakery_other,bakery
48848,Fazer Minisaiakesed karamelliga 220 g,Fazer Minisaiakesed,220 g,bakery,Prisma,,bakery_buns_croissants,bakery
563985,Fazer muumi šokolaadiküpsised 200 g,Fazer,200 g,bakery,Prisma,,bakery_other,bakery
45838,Fazer Street Food Lapi leivad kuklid 330 g,Fazer Street,330 g,bakery,Prisma,,bakery_buns_croissants,bakery
54622,Filosophy saiakesed feta-mee-seesami 450g,Filosophy,450 g,bakery,Prisma,,bakery_buns_croissants,bakery
55279,"Findus oreo kook, 400 g",Findus,400 g,bakery,Prisma,,bakery_cakes_pastries,bakery
3143,Finn Crisp Multigrain õhukesed näkileivad 175 g,Finn Crisp,175 g,bakery,"Prisma, Rimi",,bakery_bread_loaves,bakery
2952,Finn Crisp Original Taste õhukesed näkileivad 400 g,Finn Crisp,400 g,bakery,"Prisma, Selver",,bakery_bread_loaves,bakery
48361,Finn Crisp Traditional näkileivad 200 g,Finn Crisp,200 g,bakery,"Barbora, Maxima, Prisma, Selver",,bakery_bread_loaves,bakery
584650,Finn crisp tšiiaseemnete ja meresoolaga õhukesed näkileivad 195g,Finn,195 g,bakery,Prisma,,bakery_bread_loaves,bakery
29706,Flint bruschetta rolls juustumaitselised saiakrõpsud 65g,Flint,65 g,bakery,Prisma,,bakery_other,bakery
49964,Flint bruschetta rolls toorjuustu- ja küüslaugumaitselised saiakrõpsud 65g,Flint,65 g,bakery,Prisma,,bakery_other,bakery
72621,Foodin kookosjook mahe 330ml,Foodin,330 ml,bakery,Prisma,,bakery_cakes_pastries,bakery
2043,Foodin kookosvesi luomu 330 ml,Foodin,330 ml,bakery,Prisma,,bakery_cakes_pastries,bakery
53010,"Fria kaneelisaiad, 280 g",Fria,280 g,bakery,Prisma,,bakery_sweet_buns_donuts,bakery
105286,"Funcakes söödavad karikakrakujulised kaunistused, valged, 16 tk",Funcakes,16 pcs,bakery,Prisma,,bakery_other,bakery
1111,"Geisha šokolaadivahukook, sulatatud 2 tk, 160 g",Geisha,160 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks
67014,Germund kookoshelbed 100 g,Germund,100 g,bakery,"Prisma, Selver",,dry_cereals_muesli,dry_preserves
1137,Gluteenivaba karamellikook,Gluteenivaba,,bakery,Prisma,,bakery_cakes_pastries,bakery
47780,Gourmet Club Dubai stiilis tumeda šokolaadi kook 180 g,Gourmet Club,180 g,bakery,Prisma,,sweets_chocolate_bars,sweets_snacks
49419,Gullon Digestive küpsised 400 g,Gullon Digestive,400 g,bakery,"Prisma, Rimi, Selver",,bakery_other,bakery
29020,Gullon maria küpsised 200g,Gullon,200 g,bakery,"Coop, Prisma, Selver",,bakery_other,bakery
46153,GUSTAV BRITA KOOK 600 G,GUSTAV BRITA,600 g,bakery,Prisma,,bakery_cakes_pastries,bakery
