product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
1124,3-juustu suitsukanapirukas 84 g,3-juustu,84 g,dairy_eggs_fats,Prisma,,dairy_other,dairy_eggs_fats,bakery,bakery_cakes_pastries,high
101046,"Aasa Kirssidega kodujuust, 150 g",Aasa Kirssidega,150 g,dairy_eggs_fats,Prisma,,pcare_feminine_hygiene,personal_care,dairy_eggs_fats,dairy_cottage_quark,high
17648,"AB-jogurt banaani Laktoosivaba, TERE, 150 g",AB-jogurt,150 g,dairy_eggs_fats,"Coop, Selver",,dairy_yogurt_kefir,dairy_eggs_fats,dairy_eggs_fats,dairy_yogurt_kefir,high
11913,Actimel jogurtijook banaani-maasika 8x100g,Actimel,8x100 g,dairy_eggs_fats,Prisma,,dairy_yogurt_kefir,dairy_eggs_fats,dairy_eggs_fats,dairy_yogurt_kefir,high
41190,Aitäh valik piimašokolaadikomme 226g,Aitäh,226 g,dairy_eggs_fats,"Coop, Prisma",,sweets_chocolate_bars,sweets_snacks,sweets_snacks,sweets_chocolate_bars,high
10025,Alentaja lisatud kaaliumiga taimerasvavõie 400g,Alentaja,400 g,dairy_eggs_fats,Prisma,,dairy_butter_margarine,dairy_eggs_fats,dairy_eggs_fats,dairy_butter_margarine,high
100456,"Alma Brownie kohupiimakreem, 380 g",Alma Brownie,380 g,dairy_eggs_fats,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,sweets_waffles_cakes,sweets_snacks,dairy_eggs_fats,dairy_cottage_quark,medium
12170,"Alma Hapukoorega kodujuust, 380 g",Alma Hapukoorega,380 g,dairy_eggs_fats,"Coop, Prisma",,dairy_cottage_quark,dairy_eggs_fats,dairy_eggs_fats,dairy_cottage_quark,high
10229,Alma jogurt maasikas-banaan puuviljadest suhkrutega laktoosivaba 900g,Alma,900 g,dairy_eggs_fats,"Prisma, Rimi, Selver",,dairy_yogurt_kefir,dairy_eggs_fats,dairy_eggs_fats,dairy_yogurt_kefir,high
8806,Alma jogurt mango-virsik puuviljadest suhkrutega laktoosivaba 900g,Alma,900 g,dairy_eggs_fats,"Barbora, Maxima, Prisma",,dairy_yogurt_kefir,dairy_eggs_fats,dairy_eggs_fats,dairy_yogurt_kefir,high
11250,Alma jogurt vaarika-rabarberi 1kg,Alma,1 kg,dairy_eggs_fats,Prisma,,dairy_yogurt_kefir,dairy_eggs_fats,dairy_eggs_fats,dairy_yogurt_kefir,high
1489,"Alma Klassikaline kodujuust 5%, 200 g",Alma Klassikaline,200 g,dairy_eggs_fats,"Coop, Prisma, Rimi, Selver",,dairy_cottage_quark,dairy_eggs_fats,dairy_eggs_fats,dairy_cottage_quark,high
1829,"Alma Klassikaline kodujuust 5%, 380 g",Alma Klassikaline,380 g,dairy_eggs_fats,"Coop, Prisma, Rimi, Selver",,dairy_cottage_quark,dairy_eggs_fats,dairy_eggs_fats,dairy_cottage_quark,high
2143,Alma Kodujuust 5% 500g,Alma Kodujuust,500 g,dairy_eggs_fats,"Prisma, Rimi, Selver",,dairy_cottage_quark,dairy_eggs_fats,dairy_eggs_fats,dairy_cottage_quark,high
11331,"Alma Kodujuust crème brûlée maitseline, 200 g",Alma Kodujuust,200 g,dairy_eggs_fats,"Prisma, Rimi, Selver",,dairy_cottage_quark,dairy_eggs_fats,dairy_eggs_fats,dairy_cottage_quark,high
3130,Alma kohuke kakao kakaoglasuuris 40g,Alma,40 g,dairy_eggs_fats,"Barbora, Coop, Maxima, Prisma, Rimi",,dairy_desserts,dairy_eggs_fats,dairy_eggs_fats,dairy_other,medium
2623,Alma kohuke mango kakaoglasuuris 40g,Alma,40 g,dairy_eggs_fats,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,dairy_desserts,dairy_eggs_fats,dairy_eggs_fats,dairy_other,medium
