product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected
1124,3-juustu suitsukanapirukas 84 g,3-juustu,84 g,dairy_eggs_fats,Prisma,,bakery_cakes_pastries,bakery
101046,"Aasa Kirssidega kodujuust, 150 g",Aasa Kirssidega,150 g,dairy_eggs_fats,Prisma,,dairy_cottage_quark,dairy_eggs_fats
17648,"AB-jogurt banaani Laktoosivaba, TERE, 150 g",AB-jogurt,150 g,dairy_eggs_fats,"Coop, Selver",,dairy_yogurt_kefir,dairy_eggs_fats
11913,Actimel jogurtijook banaani-maasika 8x100g,Actimel,8x100 g,dairy_eggs_fats,Prisma,,dairy_yogurt_kefir,dairy_eggs_fats
41190,Aitäh valik piimašokolaadikomme 226g,Aitäh,226 g,dairy_eggs_fats,"Coop, Prisma",,sweets_chocolate_bars,sweets_snacks
10025,Alentaja lisatud kaaliumiga taimerasvavõie 400g,Alentaja,400 g,dairy_eggs_fats,Prisma,,dairy_butter_margarine,dairy_eggs_fats
100456,"Alma Brownie kohupiimakreem, 380 g",Alma Brownie,380 g,dairy_eggs_fats,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,dairy_cottage_quark,dairy_eggs_fats
12170,"Alma Hapukoorega kodujuust, 380 g",Alma Hapukoorega,380 g,dairy_eggs_fats,"Coop, Prisma",,dairy_cottage_quark,dairy_eggs_fats
10229,Alma jogurt maasikas-banaan puuviljadest suhkrutega laktoosivaba 900g,Alma,900 g,dairy_eggs_fats,"Prisma, Rimi, Selver",,dairy_yogurt_kefir,dairy_eggs_fats
8806,Alma jogurt mango-virsik puuviljadest suhkrutega laktoosivaba 900g,Alma,900 g,dairy_eggs_fats,"Barbora, Maxima, Prisma",,dairy_yogurt_kefir,dairy_eggs_fats
11250,Alma jogurt vaarika-rabarberi 1kg,Alma,1 kg,dairy_eggs_fats,Prisma,,dairy_yogurt_kefir,dairy_eggs_fats
