product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
4150,A. Le Coq g:n long drink grapefruit 500ml,A. Le,500 ml,drinks,"Coop, Prisma",,produce_tropical,produce,drinks,drinks_beer_cider,high
1151,A. Le Coq g:n long drink grapefruit 500ml purk,A. Le,500 ml,drinks,"Coop, Prisma, Selver",,produce_tropical,produce,drinks,drinks_beer_cider,high
3907,"A. Le Coq g:n long drink grapefruit 5,5%vol 330ml",A. Le,330 ml,drinks,"Coop, Prisma",,produce_tropical,produce,drinks,drinks_beer_cider,high
5355,"A. Le Coq G:N long drink grapefruit muu alkohoolne jook 5,5%vol 1,5L",A. Le,1.5 l,drinks,"Coop, Prisma, Rimi, Selver",,produce_tropical,produce,drinks,drinks_beer_cider,high
2025,"A. Le Coq g:n long drink mohhiito 1,5L",A. Le,1.5 l,drinks,"Coop, Prisma, Selver",,drinks_beer_cider,drinks,drinks,drinks_beer_cider,high
83790,"A. Le Coq G:N Long Drink Turbo muu alkohoolne jook 5,5%vol 500ml",A. Le,500 ml,drinks,"Coop, Prisma, Rimi, Selver",,drinks_beer_cider,drinks,drinks,drinks_beer_cider,high
38977,"A. Le Coq Long Drink Citrus 5,5%vol muu alkohoolne jook 330ml",A. Le,330 ml,drinks,"Coop, Prisma, Rimi, Selver",,drinks_beer_cider,drinks,drinks,drinks_beer_cider,high
1812,"A. Le Coq Long Drink Grapefruit 5,5%vol muu alkohoolne jook 330ml",A. Le,330 ml,drinks,"Coop, Prisma, Rimi, Selver",,produce_tropical,produce,drinks,drinks_beer_cider,high
360958,"A. Le Coq Long Drink Grapefruit muu alkohoolne jook 5,5%vol 500 ml",A. Le,500 ml,drinks,"Coop, Prisma",,produce_tropical,produce,drinks,drinks_beer_cider,high
2421,"A. Le Coq Long Drink Passion Fruit muu alkohoolne jook 5,5%vol 330 ml",A. Le,330 ml,drinks,"Coop, Prisma",,produce_tropical,produce,drinks,drinks_beer_cider,high
2409,"A. Le Coq Long Drink Tropical 5,5%vol muu alkohoolne jook 330ml",A. Le,330 ml,drinks,"Coop, Prisma, Rimi, Selver",,drinks_beer_cider,drinks,drinks,drinks_beer_cider,high
3320,"A. Le Coq Watermelon Margarita kokteil 4,7%vol 330ml",A. Le,330 ml,drinks,"Coop, Prisma, Selver",,produce_tropical,produce,drinks,drinks_spirits,high
