product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected
4150,A. Le Coq g:n long drink grapefruit 500ml,A. Le,500 ml,drinks,"Coop, Prisma",,drinks_beer_cider,drinks
1151,A. Le Coq g:n long drink grapefruit 500ml purk,A. Le,500 ml,drinks,"Coop, Prisma, Selver",,drinks_beer_cider,drinks
3907,"A. Le Coq g:n long drink grapefruit 5,5%vol 330ml",A. Le,330 ml,drinks,"Coop, Prisma",,drinks_beer_cider,drinks
5355,"A. Le Coq G:N long drink grapefruit muu alkohoolne jook 5,5%vol 1,5L",A. Le,1.5 l,drinks,"Coop, Prisma, Rimi, Selver",,drinks_beer_cider,drinks
2025,"A. Le Coq g:n long drink mohhiito 1,5L",A. Le,1.5 l,drinks,"Coop, Prisma, Selver",,drinks_beer_cider,drinks
83790,"A. Le Coq G:N Long Drink Turbo muu alkohoolne jook 5,5%vol 500ml",A. Le,500 ml,drinks,"Coop, Prisma, Rimi, Selver",,drinks_beer_cider,drinks
38977,"A. Le Coq Long Drink Citrus 5,5%vol muu alkohoolne jook 330ml",A. Le,330 ml,drinks,"Coop, Prisma, Rimi, Selver",,drinks_beer_cider,drinks
1812,"A. Le Coq Long Drink Grapefruit 5,5%vol muu alkohoolne jook 330ml",A. Le,330 ml,drinks,"Coop, Prisma, Rimi, Selver",,drinks_beer_cider,drinks
360958,"A. Le Coq Long Drink Grapefruit muu alkohoolne jook 5,5%vol 500 ml",A. Le,500 ml,drinks,"Coop, Prisma",,drinks_beer_cider,drinks
2421,"A. Le Coq Long Drink Passion Fruit muu alkohoolne jook 5,5%vol 330 ml",A. Le,330 ml,drinks,"Coop, Prisma",,drinks_beer_cider,drinks
2409,"A. Le Coq Long Drink Tropical 5,5%vol muu alkohoolne jook 330ml",A. Le,330 ml,drinks,"Coop, Prisma, Rimi, Selver",,drinks_beer_cider,drinks
3320,"A. Le Coq Watermelon Margarita kokteil 4,7%vol 330ml",A. Le,330 ml,drinks,"Coop, Prisma, Selver",,drinks_spirits,drinks
427335,"Anthon Berg Strawberry in Sparkling Wine, martsipanitäidisega šokolaad 220g",Anthon Berg,220 g,drinks,Prisma,,sweets_chocolate_bars,sweets_snacks
4000,"Beer Mail Kriek ale õlu 4,5%vol 330ml",Beer Mail,330 ml,drinks,"Prisma, Selver",,drinks_beer_cider,drinks
