product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
1205,94042 lillhernes old spice mix,94042,,dry_preserves,Prisma,,spices_herbs_spice_mix,world_spices,dry_preserves,dry_other,high
21329,Agnesi pasta Spaghetti no3 500g,Agnesi,500 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves,dry_preserves,dry_pasta_rice,high
154,"Ahven, roogitud, jahutatud, kg","Ahven,",,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves,meat_fish,fish_other,high
2691,Aito suhkur 1kg,Aito,1 kg,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves,dry_preserves,dry_flour_sugar_baking,high
21862,Ajinomoto kiirnuudliroog vürtsika kastmega 93 g vegan,Ajinomoto,93 g,dry_preserves,"Coop, Prisma, Rimi, Selver",,dry_pasta_rice,dry_preserves,world_spices,spices_herbs_spice_mix,high
73736,Al dente fusilli pasta 400g gluteenivaba,Al,400 g,dry_preserves,Prisma,,bakery_gluten_free,bakery,dry_preserves,dry_pasta_rice,high
23981,Al dente penne pasta 400g gluteenivaba,Al,400 g,dry_preserves,Prisma,,bakery_gluten_free,bakery,dry_preserves,dry_pasta_rice,high
12320,"Alpro No Sugars suhkruvaba fermenteeritud sojatoode, maitsestamata 400 g",Alpro No,400 g,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves,dry_preserves,dry_other,high
9879,ALPRO riisijook magustamata 1L,ALPRO,1 l,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves,dry_preserves,dry_pasta_rice,high
23081,Amina pooleldi jämedateraline nisujahu 1 kg,Amina,1 kg,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves,dry_preserves,dry_flour_sugar_baking,high
69539,Ananassikuubikud 85 g Pähklinäpp,Ananassikuubikud,85 g,dry_preserves,Prisma,,produce_tropical,produce,dry_preserves,dry_other,high
23443,Änglamark jasmiiniriis 1 kg,Änglamark,1 kg,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves,dry_preserves,dry_pasta_rice,high
5608,"Änglamark Kreeka esimese külmpressi oliiviõli 500 ml, mahe",Änglamark Kreeka,500 ml,dry_preserves,Prisma,,oils_olive,sauces_oils,sauces_oils,oils_olive,high
22357,Änglamark mahebasmatiriis 1 kg,Änglamark,1 kg,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves,dry_preserves,dry_pasta_rice,high
4103,"Änglamark mahe külmpressitud oliiviõli (Hispaania) 0,5 l",Änglamark,0.5 l,dry_preserves,Prisma,,oils_olive,sauces_oils,sauces_oils,oils_olive,high
21440,Änglamark mandlijahu 200g,Änglamark,200 g,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves,dry_preserves,dry_flour_sugar_baking,high
598303,Änglamark merisoolaga maitsestatud ökoloogilised riisigaletid 100g,Änglamark,100 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves,drinks,drinks_beer_cider,high
