product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected
1205,94042 lillhernes old spice mix,94042,,dry_preserves,Prisma,,dry_other,dry_preserves
21329,Agnesi pasta Spaghetti no3 500g,Agnesi,500 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
154,"Ahven, roogitud, jahutatud, kg","Ahven,",,dry_preserves,Prisma,,fish_other,meat_fish
2691,Aito suhkur 1kg,Aito,1 kg,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves
21862,Ajinomoto kiirnuudliroog vürtsika kastmega 93 g vegan,Ajinomoto,93 g,dry_preserves,"Coop, Prisma, Rimi, Selver",,spices_herbs_spice_mix,world_spices
73736,Al dente fusilli pasta 400g gluteenivaba,Al,400 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
23981,Al dente penne pasta 400g gluteenivaba,Al,400 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
12320,"Alpro No Sugars suhkruvaba fermenteeritud sojatoode, maitsestamata 400 g",Alpro No,400 g,dry_preserves,Prisma,,dry_other,dry_preserves
9879,ALPRO riisijook magustamata 1L,ALPRO,1 l,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
23081,Amina pooleldi jämedateraline nisujahu 1 kg,Amina,1 kg,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves
69539,Ananassikuubikud 85 g Pähklinäpp,Ananassikuubikud,85 g,dry_preserves,Prisma,,dry_other,dry_preserves
23443,Änglamark jasmiiniriis 1 kg,Änglamark,1 kg,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
5608,"Änglamark Kreeka esimese külmpressi oliiviõli 500 ml, mahe",Änglamark Kreeka,500 ml,dry_preserves,Prisma,,oils_olive,sauces_oils
22357,Änglamark mahebasmatiriis 1 kg,Änglamark,1 kg,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
4103,"Änglamark mahe külmpressitud oliiviõli (Hispaania) 0,5 l",Änglamark,0.5 l,dry_preserves,Prisma,,oils_olive,sauces_oils
21440,Änglamark mandlijahu 200g,Änglamark,200 g,dry_preserves,Prisma,,dry_flour_sugar_baking,dry_preserves
598303,Änglamark merisoolaga maitsestatud ökoloogilised riisigaletid 100g,Änglamark,100 g,dry_preserves,Prisma,,drinks_beer_cider,drinks
2845,Änglamark orgaaniline teraline maapähklivõ 350g mahe,Änglamark,350 g,dry_preserves,Prisma,,dry_other,dry_preserves
25077,Apelsiniõliga kontsentreeritud puhastusvahend 500ml,Apelsiniõliga,500 ml,dry_preserves,Prisma,,hh_cleaners,household
3347,Ardo lillkapsariis 450g,Ardo,450 g,dry_preserves,"Prisma, Selver",,dry_pasta_rice,dry_preserves
64946,ARIMEX Everyday mix pähklite ja marjade segu 300g,ARIMEX Everyday,300 g,dry_preserves,Prisma,,dry_other,dry_preserves
20424,ARIMEX Premium pistaatsiapähklid 250G,ARIMEX Premium,250 g,dry_preserves,"Coop, Prisma, Rimi, Selver",,sweets_nuts_driedfruit,sweets_snacks
3714,"Arvid Nordquist Classic GRAN DIA KAFFE 500G Kesk.röst. Iiriselõhn. Täidlane, pähkl.mõrkj.100% Araabika: Bra/Kesk- Am/Col/Ida-Aafrika",Arvid Nordquist,500 g,dry_preserves,Prisma,,dry_other,dry_preserves
18514,Astelpajuõli 150 ml,Astelpajuõli,150 ml,dry_preserves,"Coop, Prisma",,oils_other,sauces_oils
4307,Astelpajusalv mesilasvaha ja astelpajuõliga,Astelpajusalv,,dry_preserves,Prisma,,oils_other,sauces_oils
7125,"Baby back searibi, jahutatud, kg",Baby,,dry_preserves,"Prisma, Rimi",,dry_flour_sugar_baking,dry_preserves
39713,"Bacardi Oakheart Original Spiced piiritusjook 32,5%vol 700ml",Bacardi Oakheart,700 ml,dry_preserves,"Coop, Prisma, Rimi, Selver",,drinks_spirits,drinks
138817,"Bacardi Oakheart Original Spiced Rum piiritujook 32,5%vol 1l",Bacardi Oakheart,1 l,dry_preserves,"Coop, Prisma",,drinks_spirits,drinks
