product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
1738,Astelpaju külmutatud 350 g,Astelpaju,350 g,frozen_food,Prisma,,frozen_other,frozen_food,frozen_food,frozen_berries_fruit,medium
54747,"Belgia vahvlid vanillikreemi täidisega, külmutatud, 4 x 80g",Belgia,4x80 g,frozen_food,Prisma,,frozen_other,frozen_food,frozen_food,frozen_desserts_icecream,medium
52653,Coop kartuliviilud külmutatud 750g,Coop,750 g,frozen_food,Prisma,,frozen_veg,frozen_food,frozen_food,frozen_potato_products,medium
512792,"Coop külmveekrevetid keedetud ja kooritud, sügavkülmutatud, 180g",Coop,180 g,frozen_food,Prisma,,dairy_cream_sourcream,dairy_eggs_fats,frozen_food,frozen_fish,high
148588,"Coop külmveekrevetid keedetud ja kooritud, sügavkülmutatud, 400g",Coop,400 g,frozen_food,Prisma,,dairy_cream_sourcream,dairy_eggs_fats,frozen_food,frozen_fish,high
67429,"Coop magus mais blanšeeritud, külmutatud 450g",Coop,450 g,frozen_food,Prisma,,frozen_other,frozen_food,frozen_food,frozen_veg,medium
3908,"Coop peenikesed terved rohelised oad, külmutatud 500g",Coop,500 g,frozen_food,Prisma,,frozen_other,frozen_food,frozen_food,frozen_veg,medium
219126,"Dr.Oetker külmutatud singipitsa hawaii, 355 g",Dr.Oetker,355 g,frozen_food,Prisma,,frozen_other,frozen_food,frozen_food,frozen_pizza,medium
3883,"Forelliburger 200g, külmutatud",Forelliburger,200 g,frozen_food,Prisma,,fish_fresh,meat_fish,frozen_food,frozen_meat,high
20273,Hortex marjasegu vaarikatega külmutatud 300g,Hortex,300 g,frozen_food,"Barbora, Coop, Maxima, Prisma, Selver",,frozen_berries_fruit,frozen_food,frozen_food,frozen_berries_fruit,high
2356,Hortex mexico segu 400g külmutatud,Hortex,400 g,frozen_food,"Prisma, Rimi, Selver",,frozen_other,frozen_food,frozen_food,frozen_veg,medium
53057,Hortex must sõstar külmutatud 300g,Hortex,300 g,frozen_food,Prisma,,frozen_berries_fruit,frozen_food,frozen_food,frozen_berries_fruit,high
1462,Istmekõrgendus Frozen R129,Istmekõrgendus Frozen,,frozen_food,Prisma,,frozen_other,frozen_food,household,hh_other,medium
68067,Külmutatud broilerikael 500g,Külmutatud,500 g,frozen_food,"Barbora, Maxima, Prisma",,meat_poultry,meat_fish,frozen_food,frozen_meat,high
54868,"Külmutatud hakitud küüslauk, 100 g",Külmutatud,100 g,frozen_food,Prisma,,frozen_veg,frozen_food,frozen_food,frozen_other,medium
54647,"Külmutatud hakitud till, 100 g",Külmutatud,100 g,frozen_food,Prisma,,frozen_other,frozen_food,frozen_food,frozen_other,medium
2612,Külmutatud mustikas 350 g,Külmutatud,350 g,frozen_food,Prisma,,frozen_berries_fruit,frozen_food,frozen_food,frozen_berries_fruit,high
130797,Külmutatud pohlad 350 g,Külmutatud,350 g,frozen_food,"Prisma, Selver",,frozen_berries_fruit,frozen_food,frozen_food,frozen_berries_fruit,high
54583,"Mademoiselle Desserts külmutatud Mini Tartlett Sidruniga, 8x20g",Mademoiselle Desserts,8x20 g,frozen_food,Prisma,,dairy_desserts,dairy_eggs_fats,frozen_food,frozen_desserts_icecream,medium
3074,Pannkoogid õhukesed 500g külmutatud,Pannkoogid,500 g,frozen_food,"Coop, Prisma, Selver",,frozen_other,frozen_food,frozen_food,frozen_bakery,medium
588300,"Xtra külmutatud surimi pulgad, 250 g",Xtra,250 g,frozen_food,Prisma,,frozen_other,frozen_food,frozen_food,frozen_fish,medium
159,Xtra maasikad sügavkülmutatud 500g,Xtra,500 g,frozen_food,Prisma,,frozen_berries_fruit,frozen_food,frozen_food,frozen_berries_fruit,high
2308,Xtra marjasegu sügavkülmutatud 500g,Xtra,500 g,frozen_food,Prisma,,frozen_other,frozen_food,frozen_food,frozen_berries_fruit,medium
