product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
315367,Abba Heeringas Sinepikastmes 230 G,Abba Heeringas,230 g,meat_fish,"Coop, Prisma, Rimi",,fish_fresh,meat_fish,meat_fish,fish_fresh,high
34862,Ajinomoto oyakata ramen sealihamaitseline kiirnuudlisupp 63g,Ajinomoto,63 g,meat_fish,"Prisma, Selver",,meat_hams,meat_fish,dry_preserves,dry_soups_noodles,high
7023,"Ameerikapärane grill-liha, MAKS&MOORITS, 500 g",Ameerikapärane,500 g,meat_fish,"Prisma, Rimi, Selver",,meat_grill_blood_sausages,meat_fish,meat_fish,meat_grill_blood_sausages,medium
83432,"Apelsinimahl viljalihaga, DON SIMON, 1 L",Don Simon,1 l,meat_fish,"Coop, Prisma, Rimi, Selver",,drinks_juices,drinks,drinks,drinks_other,medium
58376,"Apetit lõhesupp, 400 g",Apetit,400 g,meat_fish,Prisma,,pet_other,pet,meat_fish,fish_processed,medium
32370,"Armeenia Grill Broileri Kintsuliha Šašlõkk, Kg",Armeenia Grill,,meat_fish,"Barbora, Maxima, Prisma, Rimi, Selver",,meat_poultry,meat_fish,meat_fish,meat_grill_blood_sausages,high
3546,"Armeenia grill-Liha, kg",Armeenia,,meat_fish,Prisma,,meat_grill_blood_sausages,meat_fish,meat_fish,meat_grill_blood_sausages,medium
9675,ATRIA BBQ kanapitsa 200 g,ATRIA BBQ,200 g,meat_fish,Prisma,,sauces_marinades,sauces_oils,meat_fish,meat_grill_blood_sausages,medium
6030,Atria Hornet kananagitsad 600 g,Atria Hornet,600 g,meat_fish,Prisma,,meat_poultry,meat_fish,meat_fish,meat_poultry,high
271,Atria Hornet krõbedad kanatiivad 650 g,Atria Hornet,650 g,meat_fish,Prisma,,meat_poultry,meat_fish,meat_fish,meat_poultry,high
160,Atria Hornet marineeritud kanatiivad 900 g,Atria Hornet,900 g,meat_fish,Prisma,,meat_poultry,meat_fish,meat_fish,meat_poultry,high
38730,"Beefeater Blood Orange Gin piiritusjook 37,5%vol 700ml",Beefeater Blood,700 ml,meat_fish,"Prisma, Rimi, Selver",,drinks_spirits,drinks,drinks,drinks_spirits,high
2729,Beefeater London Dry Gin 40%vol 1L,Beefeater London,1 l,meat_fish,"Prisma, Rimi, Selver",,drinks_spirits,drinks,drinks,drinks_spirits,high
85652,Beefeater London Dry Gin 40%vol 700ml,Beefeater London,700 ml,meat_fish,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,drinks_spirits,drinks,drinks,drinks_spirits,high
5927,"Blå Band, väikese laktoosisisaldusega kalakastme koostisained, 3 × 26 g","Blå Band,",3x26 g,meat_fish,Prisma,,bakery_buns_croissants,bakery,sauces_oils,sauces_other,high
67134,"Black Angus konserv, LINNAMÄE, 240 g",Linnamäe,240 g,meat_fish,"Prisma, Rimi, Selver",,dry_canned_veg,dry_preserves,meat_fish,meat_gourmet,high
54101,Bong touch of taste kanaleem 180 ml,Bong,180 ml,meat_fish,"Prisma, Selver",,meat_poultry,meat_fish,drinks,drinks_beer_cider,high
2604,Bong touch of taste msc kalaleem 180 ml,Bong,180 ml,meat_fish,Prisma,,fish_fresh,meat_fish,drinks,drinks_beer_cider,high
6784,"Broilerikintsuliha Caesari kastmes, LINNAMÄE LIHATÖÖSTUS, 600 g",Caesari,600 g,meat_fish,"Prisma, Selver",,meat_poultry,meat_fish,meat_fish,meat_poultry,high
21755,Calvo tuunikala filee soolvees 160 g,Calvo,160 g,meat_fish,"Prisma, Selver",,spices_basic_salt_pepper,world_spices,meat_fish,fish_fresh,high
