product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected
315367,Abba Heeringas Sinepikastmes 230 G,Abba Heeringas,230 g,meat_fish,"Coop, Prisma, Rimi",,fish_fresh,meat_fish
34862,Ajinomoto oyakata ramen sealihamaitseline kiirnuudlisupp 63g,Ajinomoto,63 g,meat_fish,"Prisma, Selver",,dry_soups_noodles,dry_preserves
7023,"Ameerikapärane grill-liha, MAKS&MOORITS, 500 g",Ameerikapärane,500 g,meat_fish,"Prisma, Rimi, Selver",,meat_grill_blood_sausages,meat_fish
83432,"Apelsinimahl viljalihaga, DON SIMON, 1 L",Don Simon,1 l,meat_fish,"Coop, Prisma, Rimi, Selver",,drinks_other,drinks
58376,"Apetit lõhesupp, 400 g",Apetit,400 g,meat_fish,Prisma,,fish_processed,meat_fish
32370,"Armeenia Grill Broileri Kintsuliha Šašlõkk, Kg",Armeenia Grill,,meat_fish,"Barbora, Maxima, Prisma, Rimi, Selver",,meat_grill_blood_sausages,meat_fish
3546,"Armeenia grill-Liha, kg",Armeenia,,meat_fish,Prisma,,meat_grill_blood_sausages,meat_fish
9675,ATRIA BBQ kanapitsa 200 g,ATRIA BBQ,200 g,meat_fish,Prisma,,meat_grill_blood_sausages,meat_fish
6030,Atria Hornet kananagitsad 600 g,Atria Hornet,600 g,meat_fish,Prisma,,meat_poultry,meat_fish
271,Atria Hornet krõbedad kanatiivad 650 g,Atria Hornet,650 g,meat_fish,Prisma,,meat_poultry,meat_fish
160,Atria Hornet marineeritud kanatiivad 900 g,Atria Hornet,900 g,meat_fish,Prisma,,meat_poultry,meat_fish
38730,"Beefeater Blood Orange Gin piiritusjook 37,5%vol 700ml",Beefeater Blood,700 ml,meat_fish,"Prisma, Rimi, Selver",,drinks_spirits,drinks
2729,Beefeater London Dry Gin 40%vol 1L,Beefeater London,1 l,meat_fish,"Prisma, Rimi, Selver",,drinks_spirits,drinks
85652,Beefeater London Dry Gin 40%vol 700ml,Beefeater London,700 ml,meat_fish,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,drinks_spirits,drinks
5927,"Blå Band, väikese laktoosisisaldusega kalakastme koostisained, 3 × 26 g","Blå Band,",3x26 g,meat_fish,Prisma,,sauces_other,sauces_oils
67134,"Black Angus konserv, LINNAMÄE, 240 g",Linnamäe,240 g,meat_fish,"Prisma, Rimi, Selver",,meat_gourmet,meat_fish
54101,Bong touch of taste kanaleem 180 ml,Bong,180 ml,meat_fish,"Prisma, Selver",,drinks_beer_cider,drinks
2604,Bong touch of taste msc kalaleem 180 ml,Bong,180 ml,meat_fish,Prisma,,drinks_beer_cider,drinks
6784,"Broilerikintsuliha Caesari kastmes, LINNAMÄE LIHATÖÖSTUS, 600 g",Caesari,600 g,meat_fish,"Prisma, Selver",,meat_poultry,meat_fish
21755,Calvo tuunikala filee soolvees 160 g,Calvo,160 g,meat_fish,"Prisma, Selver",,fish_fresh,meat_fish
65087,Calvo tuunikala vees 3x 80/56 g,Calvo,56 g,meat_fish,Prisma,,fish_fresh,meat_fish
1239,CESAR einekausike veiseliha/maks 150g,CESAR,150 g,meat_fish,Coop,,meat_beef_lamb_game,meat_fish
78157,Charles Vincent Champagne Brut KPN kvaliteetvahuvein 750ml,Charles Vincent,750 ml,meat_fish,Prisma,,drinks_wine,drinks
10863,CHEF LUNDEN Grillkauss kanaga 275 g,CHEF LUNDEN,275 g,meat_fish,Prisma,,meat_poultry,meat_fish
2862,Chef Lunden Kana Caesari Ciabatta 200 G,Chef Lunden,200 g,meat_fish,"Barbora, Coop, Maxima, Prisma",,meat_poultry,meat_fish
12587,CHEF LUNDEN Kanakebabi burrito 240 g,CHEF LUNDEN,240 g,meat_fish,Prisma,,meat_poultry,meat_fish
11078,CHEF LUNDEN Kana peekoni wrap 200 g,CHEF LUNDEN,200 g,meat_fish,Prisma,,meat_hams,meat_fish
3227,Chicken chips kanasnäkk 45 g,Chicken,45 g,meat_fish,"Coop, Prisma, Selver",,sweets_snacks_salty,sweets_snacks
6832,Chill-Dill grill-liha 450 g,Chill-Dill,450 g,meat_fish,Prisma,,meat_grill_blood_sausages,meat_fish
40739,Coop apelsinimahl viljalihaga 900ml,Coop,900 ml,meat_fish,Prisma,,drinks_other,drinks
7993,Coop crispy chicken vürtsi- ja paneerimissegu 50g,Coop,50 g,meat_fish,Prisma,,meat_other,meat_fish
611883,"Coop hambavahepuhasti 0,6mm 6tk",Coop,6 pcs,meat_fish,Prisma,,meat_other,meat_fish
137187,Coop Kalapulgad 450 g,Coop Kalapulgad,450 g,meat_fish,Prisma,,fish_processed,meat_fish
3940,"Coop kalatükid tempura taignas, 220g",Coop,220 g,meat_fish,Prisma,,fish_fresh,meat_fish
1367,Coop Kananagitsad 200 G,Coop Kananagitsad,200 g,meat_fish,Prisma,,meat_poultry,meat_fish
30141,"Coop kanapuljongikuubik 12 tk (10 g), 120 g",Coop,10 g,meat_fish,Prisma,,spices_broth_stock,world_spices
10462,Coop Kana Punases Karri Kastmes 400 G,Coop Kana,400 g,meat_fish,Prisma,,meat_poultry,meat_fish
64437,Coop Kana Püreesupp 300 G,Coop Kana,300 g,meat_fish,Prisma,,meat_poultry,meat_fish
11045,Coop Kana Tikka Masala 400 G,Coop Kana,400 g,meat_fish,Prisma,,meat_poultry,meat_fish
30813,Coop Kanawrap Texmex 200g,Coop Kanawrap,200 g,meat_fish,Prisma,,meat_poultry,meat_fish
8221,Coop kontsentreeritud veiselihafond 96g (4x24g),Coop,4x24 g,meat_fish,Prisma,,meat_beef_lamb_game,meat_fish
1990,Coop krõbedad kalapalad 480g,Coop,480 g,meat_fish,Prisma,,fish_fresh,meat_fish
601376,Coop kulduim-tuunikala tükid vees 160/112g,Coop,112 g,meat_fish,Prisma,,fish_fresh,meat_fish
50381,Coop Lihapirukas 150 g,Coop Lihapirukas,150 g,meat_fish,Prisma,,meat_other,meat_fish
3022,Coop Lõhefilee 2X150 G,Coop Lõhefilee,2x150 g,meat_fish,Prisma,,fish_fresh,meat_fish
493260,Coop Lõhemedaljonid 300G,Coop Lõhemedaljonid,300 g,meat_fish,Prisma,,fish_fresh,meat_fish
6190,"Coop loomalihapuljongikuubik 12 tk (10 g), 120 g",Coop,10 g,meat_fish,Prisma,,spices_broth_stock,world_spices
3514,"Coop magus-hapu kana jasmiiniriisiga, 350 g",Coop,350 g,meat_fish,Prisma,,meat_poultry,meat_fish
372572,"Coop magus tšilli-teriyaki kana, 320 g",Coop,320 g,meat_fish,Prisma,,meat_poultry,meat_fish
20131,Coop Matjes-heeringafileed 150g,Coop Matjes-heeringafileed,150 g,meat_fish,Prisma,,fish_fresh,meat_fish
20596,Coop nuudlid (91%) vürtsisegu ja kana maitsega (9%) 65g,Coop,65 g,meat_fish,Prisma,,dry_pasta_rice,dry_preserves
1853,"Coop panang karrikana jasmiiniriisiga, 350 g",Coop,350 g,meat_fish,Prisma,,meat_poultry,meat_fish
65937,Coop pasta bolognese tomati ja veiselihaga 68 g,Coop,68 g,meat_fish,Prisma,,meat_beef_lamb_game,meat_fish
2378,Coop pitsa amerikana 340G,Coop,340 g,meat_fish,Prisma,,meat_poultry,meat_fish
410522,Coop Punane Karrikana Riisiga 350 G,Coop Punane,350 g,meat_fish,Prisma,,meat_poultry,meat_fish
3357,Coop suured tuunikalatükid karrikastmes msc 185g,Coop,185 g,meat_fish,Prisma,,fish_fresh,meat_fish
3759,Coop suured tuunikalatükid magusas tšillikastmes msc 185g,Coop,185 g,meat_fish,Prisma,,fish_fresh,meat_fish
2546,"Coop suured tuunikalatükid maisi, punaste kidney ubade ja sibulaga 185g",Coop,185 g,meat_fish,Prisma,,fish_fresh,meat_fish
238,Coop suured tuunikalatükid tomatikastmes msc 185g,Coop,185 g,meat_fish,Prisma,,fish_fresh,meat_fish
