product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
306,"Aura Spring Gaasiga vesi, 500 ml",Aura Spring,500 ml,Prisma,,,drinks,drinks_water,high
308,"Evian mineraalvesi 6x1,5L",Evian,1.5L,Prisma,,,drinks,drinks_water,high
316,"Borjomi karboniseeritud looduslik mineraalvesi 1,25L",Borjomi,1.25L,"Coop, Prisma, Rimi, Selver",,,drinks,drinks_water,high
326,"Borjomi karboniseeritud looduslik mineraalvesi 6x1,25L",Borjomi,1.25L,Prisma,,,drinks,drinks_water,high
327,Karboniseerimata mineraalvesi,Karboniseerimata,,"Prisma, Selver",,,drinks,drinks_water,high
382,"Borjomi Mineraalvesi 0,5L",Borjomi Mineraalvesi,0.5L,"Coop, Prisma, Selver",,,drinks,drinks_water,high
392,Kotimaista Vichy mineraalvesi 12x330ml,Kotimaista Vichy,12x330ml,Prisma,,,drinks,drinks_water,high
427,"Vichy Still vesi, 1,5l",Vichy Still,1.5l,Prisma,,,drinks,drinks_water,high
458,"Värska Mineraal 6-pakk, 9l",Värska Mineraal,9l,"Coop, Prisma, Selver",,,other,dry_other,fallback
480,Aura gaseeritud Mg vesi 750ml,Aura,750ml,"Coop, Prisma, Rimi, Selver",,,drinks,drinks_water,high
490,"Värska mineraal 1,5L",Värska,1.5L,"Coop, Prisma, Selver",,,other,dry_other,fallback
501,VYTAUTAS MINERAALVESI 500 ML KARBONISEERITUD,VYTAUTAS MINERAALVESI,500 ML,"Coop, Prisma",,,drinks,drinks_water,high
507,Värska Orginaal mineraalvesi 12x350 ml,Värska Orginaal,12x350 ml,Prisma,,,drinks,drinks_spirits,high
123725,"Ämber 10l, KEEEPER, 1 tk",,,Selver,,,other,dry_other,fallback
123726,"Ämber 5l, KEEEPER, 1 tk",ETC KODU OÜ,,Selver,,,other,dry_other,fallback
123727,"Sea kaelakarbonaad, RAKVERE LK, kg",MAAG EESTI AS,,"Rimi, Selver",,,other,dry_other,fallback
123728,"Funktsionaalne jook ""Ramonade"" magusainetega, NOCCO, 330 ml",GKR TRADE OÜ,,"Coop, Selver",,,bakery,bakery_buns_croissants,high
123729,"Ananassikuubikud, TAKE1 REGULAR, 150 g",JUNGENT ESTONIA OÜ,,"Coop, Selver",,,produce,produce_tropical,high
123730,"Füsioloogiline lahus (nina, silmad), BEL BABY, 30 tk",URSUS OÜ,,Selver,,,other,dry_other,fallback
123731,Gato Blanco Sauvignon Blanc 75 cl,MEDIATO AS,,Selver,,,other,dry_other,fallback
123732,"Mugulsibul, kg",Määramata,,Selver,,,produce,produce_root_veg,high
123733,"Hiina kapsas, kg",Määramata,,"Barbora, Maxima, Rimi, Selver",,,produce,produce_root_veg,high
123734,"Spargelkapsas ehk brokoli, kg",Määramata,,Selver,,,produce,produce_root_veg,high
123735,"Soolapeekon, NÕO, kg",,,Selver,,,world_spices,spices_basic_salt_pepper,high
123736,"Õun Kanzi, kg",Määramata,,Selver,,,produce,produce_apples_pears,high
123737,"Kuldne grillribi eelküpsetatud, RANNAROOTSI, 900 g",RANNAROOTSI LIHATÖÖSTUS AS,,"Rimi, Selver",,,meat_fish,meat_pork,high
123738,"Porgandi-astelpajumahl, KADARBIKU KÖÖGIVILI, 500 ml",KADARBIKU KÖÖGIVILI OÜ,,"Coop, Selver",,,drinks,drinks_juices,high
123739,"Peekon, RAKVERE LK, kg",MAAG EESTI AS,,Selver,,,meat_fish,meat_pork,high
123740,"Keedupeet vaakumis, VIIBERGI, 400 g",Määramata,,"Coop, Rimi, Selver",,,produce,produce_root_veg,high
123741,Gato Negro Cabernet Sauvignon 75 cl,MEDIATO AS,,Selver,,,drinks,drinks_wine,high
123742,"Sea välisfilee kamaraga, RAKVERE LK, kg",RAKVERE LIHAKOMBINAAT AS,,Selver,,,meat_fish,meat_other,heuristic
123743,"Grill-liha BBQ mureli kaelakarbonaadist, RANNAROOTSI, 500 g",,,Selver,,,meat_fish,meat_other,heuristic
123744,"Sea välisfilee, RAKVERE, kg",MAAG EESTI AS,,"Rimi, Selver",,,other,dry_other,fallback
123745,Gato Negro Chardonnay 75 cl,MEDIATO AS,,Selver,,,drinks,drinks_wine,high
123746,"HULGI Kaerajook 6tk, DEARY, 6 x 1l",,,Selver,,,dairy_eggs_fats,dairy_plant_drinks,high
123747,"Jogurt kirsi-ploomi, HELLUS, 350 g",TERE AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
123748,"Jogurt leiva-pähkli laktoosivaba, FARMI, 400 g",FARMI PIIMATÖÖSTUS AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_yogurt_kefir,high
123749,"Sea välisfilee karulaugumarinaadis, SELVER, kg",SELVER AS,,Selver,,,sauces_oils,sauces_marinades,high
123750,"Juustupikuke singiga, MAMMA, 135 g",SAARIOINEN EESTI OÜ,,"Coop, Selver",,,dairy_eggs_fats,dairy_cheese_slices,high
123751,Gato Negro Pinot Grigio 75 cl,MEDIATO AS,,Selver,,,drinks,drinks_wine,high
123752,"Lühike kurk pakitud, PEIPSIÄÄRE, kg",Määramata,,Selver,,,produce,produce_root_veg,high
123753,"Õuna, sidruni, piparmündi värskelt pressitud mahl, KADARBIKU KÖÖGIVILI, 250 ml",KADARBIKU KÖÖGIVILI OÜ,,"Coop, Selver",,,drinks,drinks_juices,high
123754,Gato Negro Sweet Moscato 75cl,MEDIATO AS,,Selver,,,drinks,drinks_wine,high
123755,"Šašlõkk Kodune, SELVER, kg",SELVER AS,,Selver,,,meat_fish,meat_pork,high
123756,"Sea välisfileest minutipihvid, SELVER, kg",SELVER AS,,Selver,,,other,dry_other,fallback
123757,"Minikoot küüslaugu-ürdimarinaadis, SELVER, kg",SELVER AS,,Selver,,,sauces_oils,sauces_marinades,high
123758,Geargian Valleys Saperavi 75 cl,PRIKE AS,,Selver,,,other,dry_other,fallback
123759,"Kohviuba Qualita Oro Gran Riserva, LAVAZZA, 1 kg",SELVER AS,,Selver,,,drinks,drinks_coffee_beans_capsules,high
123760,"Kõrvitsakuubid, PÕLTSAMAA, 3,1 kg, ettetellimisel",ORKLA EESTI AS,,Selver,,,other,dry_other,fallback
123761,"Suvikõrvits roheline, kg",Määramata,,"Barbora, Maxima, Rimi, Selver",,,other,dry_other,fallback
123762,"Kobartomat, kg",Määramata,,Selver,,,produce,produce_root_veg,high
123763,"Rebitud sealiha argentiina marinaadis, RAKVERE, 300 g",MAAG EESTI AS,,Selver,,,sauces_oils,sauces_marinades,high
123764,Georgian Valleys Alazani Valley red 75 cl,PRIKE AS,,Selver,,,other,dry_other,fallback
123765,"Külmutatud EHE mini-pelmeenid, RANNAROOTSI EHE, 350 g",RANNAROOTSI LIHATÖÖSTUS AS,,"Barbora, Coop, Maxima, Rimi, Selver",,,meat_fish,meat_other,heuristic
123766,"Külmutatud kanaliha kotletid kaerakliidega, UVIC/FITLAP, 390 g",ECOTRADE OÜ,,"Coop, Selver",,,meat_fish,meat_poultry,high
123767,"Küpsise ja kakaoga pallikesed, SELVERI KÖÖK, 200 g",KULINAARIA OÜ,,Selver,,,sweets_snacks,sweets_biscuits_cookies,high
123768,Laugel Alsace Riesling 75 cl,SVENSKY KAUBANDUSE AS,,Selver,,,drinks,drinks_wine,high
123769,"Peekonilõigud, SELVER, kg",SELVER AS,,Selver,,,meat_fish,meat_pork,high
123770,"Magus muretainas, EESTI PAGAR, 500 g",EESTI PAGAR AS,,Selver,,,other,dry_other,fallback
123771,"Macaroni makaronid, PANZANI, 3 kg",ABESTOCK AS,,Selver,,,dry_preserves,dry_pasta_rice,high
