product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
124640,"Gaseeritud joogivesi, SELVER, 500 ml",SELVER AS,,Selver,,,drinks,drinks_water,high
124641,"Gaseeritud mineraalvesi Granaatõuna, VÄRSKA, 1,5 L",SAKU ÕLLETEHASE AS,,"Coop, Rimi, Selver",,,drinks,drinks_water,high
124642,"Gaseeritud sidrunimaitseline vesi, VICHY CLASSIQUE, 1,5 L",SAKU ÕLLETEHASE AS,,"Coop, Rimi, Selver",,,drinks,drinks_water,high
124643,"Gaseeritud sidrunimaitseline vesi, VICHY CLASSIQUE, 500 ml",SAKU ÕLLETEHASE AS,,"Rimi, Selver",,,drinks,drinks_water,high
124644,"Gaseeritud sidrunimaitseline vesi, VICHY FRESH BUBBLES, 1,5 L",SAKU ÕLLETEHASE AS,,"Coop, Selver",,,drinks,drinks_water,high
124645,"Gaseeritud vesi pohlamaitseline, AURA, 1,5 L",,,"Rimi, Selver",,,drinks,drinks_water,high
124646,"Gaseeritud vesi pohlamaitseline, AURA, 500 ml",A. LE COQ AS,,Selver,,,drinks,drinks_water,high
124647,"Gaseeritud vesi sidruni, AURA FRUIT, 1,5 L",,,"Rimi, Selver",,,drinks,drinks_water,high
124648,"Gaseeritud vesi sidrunimaitseline, AURA, 1,5 L",A. LE COQ AS,,"Coop, Selver",,,drinks,drinks_water,high
124649,"Gaseeritud vesi Spring, AURA, 1,5 L",A. LE COQ AS,,Selver,,,drinks,drinks_water,high
124650,"Geeltoiduvärv kollane, DR.OETKER, 10 g",JUNGENT ESTONIA OÜ,,"Coop, Selver",,,other,other,low
124651,"Geeltoiduvärv punane, DR.OETKER, 10 g",JUNGENT ESTONIA OÜ,,"Coop, Selver",,,other,other,low
124652,"Geeltoiduvärv roheline, DR.OETKER, 10 g",JUNGENT ESTONIA OÜ,,Selver,,,other,other,low
124653,"Geeltoiduvärv sinine, DR.OETKER, 10 g",JUNGENT ESTONIA OÜ,,"Coop, Selver",,,other,other,low
124654,"Glasuur - valge šokolaadi maitseline, DR.OETKER, 100 g",JUNGENT ESTONIA OÜ,,Selver,,,sweets_snacks,sweets_chocolate_bars,high
124655,"Glükoosisiirup, DAN SUKKER, 400 ml",SELVER AS,,Selver,,,drinks,drinks_syrups_powders,medium
124656,"Glut.vaba pizzapõhja segu, BAUCKHOF, 350 g",ALBERO VERDE OÜ,,Selver,,,other,other,low
124657,"Gluteenivaba maisijahust fusilli, SAM MILLS, 500 g",LEMONTREE OÜ,,"Coop, Selver",,,drinks,drinks_tea_coffee,high
124658,"Gluteenivaba maisijahust penne rigate, SAM MILLS, 500 g",LEMONTREE OÜ,,"Coop, Selver",,,drinks,drinks_tea_coffee,high
124659,"Gluteenivabad kaerakliid, BAUCKHOF, 300 g",ALBERO VERDE OÜ,,Selver,,,drinks,drinks_tea_coffee,high
124660,"Gochujang ehk Korea tšillipasta, BIBIGO, 200 g",UMAMI OÜ,,Selver,,,dry_preserves,dry_pasta_rice,high
124662,"Gorgonzola DOP, FORMAGIA, 100 g",SELVER AS,,Selver,,,dairy_eggs_fats,dairy_other,high
124663,"Gouda juust lambaläätsedega, NOPRI, 250 g",NOPRI TALUMEIEREI OÜ,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_other,high
124664,"Gouda Kukeseene, NOPRI, 250 g",NOPRI TALUMEIEREI OÜ,,"Coop, Selver",,,dairy_eggs_fats,dairy_other,high
124665,"Gouda musta küüslaugu, NOPRI, 250 g",NOPRI TALUMEIEREI OÜ,,"Barbora, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_other,high
124666,"Gouda Rohelise Pipra laktoosivaba, NOPRI, 250 g",NOPRI TALUMEIEREI OÜ,,Selver,,,dairy_eggs_fats,dairy_other,high
124667,"Gouda Talujuust küps (klassika) 3 kuud, NOPRI, 250 g",NOPRI TALUMEIEREI OÜ,,Selver,,,dairy_eggs_fats,dairy_other,high
124668,"Gourmet sinihallitusjuust, BERGADER, 100 g",ESTOVER OÜ,,Selver,,,dairy_eggs_fats,dairy_other,high
124669,"Granaatõuna kaste ehk naršarab, CEREN, 340 g",UMAMI OÜ,,Selver,,,produce,produce_apples_pears,high
124670,"Granaatõunakaste Narsharab, REYNAR, 330 g",MAADLEX OÜ,,Selver,,,produce,produce_apples_pears,high
124671,"Granadilli mahlajook, PFANNER, 1 L",SELVER AS,,Selver,,,drinks,drinks_juices,medium
124672,"Granola Karamelli ja Pähkli, KELLOGG'S, 400 g",SANITEX OÜ,,Selver,,,sweets_snacks,sweets_nuts_driedfruit,high
124673,"Granola maasikate ja kookosega, EMCO, 340 g",VILANDRA UAB,,Selver,,,dairy_eggs_fats,dairy_plant_drinks,high
124674,"Granola müsli 3 šokolaadi, HERKULESS, 350 g",SELVER AS,,"Rimi, Selver",,,sweets_snacks,sweets_chocolate_bars,high
124675,"Granola müsli pähklite ja meega, HERKULESS, 350 g",SELVER AS,,Selver,,,sweets_snacks,sweets_nuts_driedfruit,high
124676,"Granola müsli šokolaadi, maasikate ja banaanidega, ACTIVUS, 60 g",,,Selver,,,sweets_snacks,sweets_chocolate_bars,high
124677,"Granola müsli valge šokolaadi, vaarikate ja mustikatega, ACTIVUS, 60 g",,,Selver,,,sweets_snacks,sweets_chocolate_bars,high
124678,"Granola pähklitega, BONAVITA, 500 g",MOBEC AS,,Selver,,,sweets_snacks,sweets_nuts_driedfruit,high
124679,"Granola puuviljadega, BONAVITA, 500 g",MOBEC AS,,Selver,,,other,other,low
124680,"Granola sarapuupähklite ja meega, EMCO, 340 g",VILANDRA UAB,,Selver,,,sweets_snacks,sweets_nuts_driedfruit,high
