product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence,final_food_group,final_sub_code,final_confidence,change_reason
130861,"Püksmähkmed 5 12-17kg, GOO.N, 24 tk",ISTERA TRADE GROUP OÜ,,Selver,,,baby,baby_diapers,high,baby,baby_diapers,high,
130862,"Püksmähkmed 6 15-25kg, GOO.N, 20 tk",ISTERA TRADE GROUP OÜ,,Selver,,,baby,baby_diapers,high,baby,baby_diapers,high,
130863,"Püksmähkmed Dry Nites poistele 30-48 kg, HUGGIES, 9 tk",EUGESTA EESTI AS,,Selver,,,baby,baby_diapers,high,baby,baby_diapers,high,
130864,"Püksmähkmed Dry Nites poistele, 4-7 aastat, HUGGIES, 17-30 kg/10 tk",EUGESTA EESTI AS,,Selver,,,baby,baby_diapers,high,baby,baby_diapers,high,
130865,"Püksmähkmed Dry Nites tüdrukutele, HUGGIES, 17-30 kg/10 tk",EUGESTA EESTI AS,,Selver,,,baby,baby_diapers,high,baby,baby_diapers,high,
130866,"Püksmähkmed Dry Nites tüdrukutele, HUGGIES, 30-48kg/9 tk",EUGESTA EESTI AS,,Selver,,,baby,baby_diapers,high,baby,baby_diapers,high,
130867,"Püksmähkmed Extra Care 3, HUGGIES, 6-11kg/48tk",EUGESTA EESTI OÜ,,"Coop, Rimi, Selver",,,baby,baby_diapers,high,baby,baby_diapers,high,
130868,"Püksmähkmed Extra Care 5, HUGGIES, 12-17kg/34tk",EUGESTA EESTI OÜ,,"Coop, Rimi, Selver",,,baby,baby_diapers,high,baby,baby_diapers,high,
130869,"Püksmähkmed Extra Care 6, HUGGIES, 15-25kg/30tk",EUGESTA EESTI OÜ,,"Coop, Rimi, Selver",,,baby,baby_diapers,high,baby,baby_diapers,high,
130870,"Püksmähkmed Giant Pack S7, PAMPERS, 42 tk",SANITEX OÜ,,Selver,,,baby,baby_diapers,high,baby,baby_diapers,high,
130871,"Püksmähkmed GP S3, PAMPERS, 76 tk",SANITEX OÜ,,Selver,,,baby,baby_diapers,high,baby,baby_diapers,high,
130872,"Püksmähkmed GP S4, PAMPERS, 66 tk",SANITEX OÜ,,Selver,,,baby,baby_diapers,high,baby,baby_diapers,high,
