product_id,name,brand,size_text,current_food_group,current_sub_code,category_1,category_2,category_3,source_url,image_url,last_seen_utc,food_group_corrected,new_sub_code,confidence,reason,food_group_corrected_prev,new_sub_code_prev,confidence_prev,reason_prev,food_group_corrected_prev_v3,new_sub_code_prev_v3,confidence_prev_v3,reason_prev_v3,food_group_corrected_prev_v4,new_sub_code_prev_v4,confidence_prev_v4,reason_prev_v4
123,"Kartul pestud kollane 2,5 kg",Kartul,2.5 kg,other,,,,,https://prismamarket.ee/toode/kartul-pestud-kollane-2-5-kg/4742050000109,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4742050000109.webp,2025-11-03 02:07:44.835825+00,produce,produce_root_veg,high,potato,,,low,no rule match,produce,produce_root_veg,high,potato,produce,produce_root_veg,high,potato
124,Kartul kollane Colomba Laheotsa 2kg,Kartul,2 kg,other,,,,,https://prismamarket.ee/toode/kartul-kollane-colomba-laheotsa-2kg/4743116000163,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4743116000163.webp,2025-11-03 02:07:46.439323+00,produce,produce_root_veg,high,potato,,,low,no rule match,produce,produce_root_veg,high,potato,produce,produce_root_veg,high,potato
125,"Twister Green sidruni-maasika mahlajää, vegan 71g",Twister Green,71 g,other,,,,,https://prismamarket.ee/en/toode/twister-green-sidruni-maasika-mahlajaa-vegan-71g/8711327575646,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/8711327575646.jpg,2025-08-24 15:15:09.010385+00,produce,produce_berries,high,berries,,,low,no rule match,frozen_food,frozen_desserts_icecream,high,popsicle,frozen_food,frozen_desserts_icecream,high,popsicle
126,"NORDIC SPRINGS 1,5 L KARBONISEERIMATA",NORDIC SPRINGS,1.5 l,other,,,,,https://prismamarket.ee/en/toode/nordic-springs-1-5-l-karboniseerimata/4740042100783,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740042100783.webp,2025-11-03 02:07:48.324755+00,other,dry_other,low,kept previous suggestion,,,low,no rule match,,,low,kept previous suggestion,other,dry_other,low,kept previous suggestion
127,Leibur Rukkipala Idandatud Teradega 240 G,Leibur Rukkipala,240 g,other,,,,,https://prismamarket.ee/toode/leibur-rukkipala-idandatud-teradega-240-g/4740072132518,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740072132518.webp,2025-11-03 02:07:49.691438+00,bakery,bakery_bread_loaves,high,bread keyword,,,low,no rule match,bakery,bakery_bread_loaves,high,estonian bread,bakery,bakery_bread_loaves,high,estonian bread
129,Eesti Pagar Pealinna Teraleib 390 G,Eesti Pagar,390 g,other,,,,,https://prismamarket.ee/en/toode/eesti-pagar-pealinna-teraleib-390-g/4740086020009,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740086020009.jpg,2025-10-28 01:53:36.733729+00,bakery,bakery_bread_loaves,high,bread keyword,,,low,no rule match,bakery,bakery_bread_loaves,high,estonian bread,bakery,bakery_bread_loaves,high,estonian bread
131,Varajane pestud kartul Solist 1 kg,Varajane,1 kg,other,,,,,https://prismamarket.ee/toode/varajane-pestud-kartul-solist-1-kg/4740243474805,https://prismamarket.ee/icons/missing-product-image.svg,2025-09-01 20:42:49.886452+00,produce,produce_root_veg,high,potato,,,low,no rule match,produce,produce_root_veg,high,potato,produce,produce_root_veg,high,potato
132,Pikk kurk kg,Pikk,,other,,,,,https://prismamarket.ee/en/toode/pikk-kurk-kg/2060604700001,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/2060604700001.jpg,2025-08-28 01:10:18.711916+00,produce,produce_root_veg,high,cucumber,,,low,no rule match,produce,produce_root_veg,high,cucumber,produce,produce_root_veg,high,cucumber
133,Perekurk terved 680/360 g,Perekurk,360 g,other,,,,,https://prismamarket.ee/toode/perekurk-terved-680360-g/4740029040101,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740029040101.jpg,2025-08-16 03:34:03.670675+00,produce,produce_root_veg,high,cucumber,,,low,no rule match,produce,produce_root_veg,high,cucumber,produce,produce_root_veg,high,cucumber
134,"Koorejäätis Regatt, 120 ml","Koorejäätis Regatt,",120 ml,other,,,,,https://prismamarket.ee/toode/koorejaatis-regatt-120-ml/4740093161818,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740093161818.webp,2025-11-02 02:03:27.513588+00,frozen_food,frozen_desserts_icecream,high,ice cream,frozen_food,frozen_desserts_icecream,low,ice cream; prefix mismatch,frozen_food,frozen_desserts_icecream,high,ice cream,frozen_food,frozen_desserts_icecream,high,ice cream
