product_id,name,brand,size_text,current_food_group,current_sub_code,category_1,category_2,category_3,source_url,image_url,last_seen_utc,food_group,sub_code,food_group_corrected,new_sub_code,confidence,reason,food_group_corrected_prev_v4,new_sub_code_prev_v4,confidence_prev_v4,reason_prev_v4
15056,Rulldeodorant floral 50ml,Rulldeodorant,50 ml,other,,,,,https://prismamarket.ee/en/toode/rulldeodorant-floral-50ml/3560070925087,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/3560070925087.jpg,2025-08-27 15:43:21.235719+00,other,,personal_care,pcare_deo,high,block+deodorant,,,,
15058,Pulkdeodorant 48h aloe vera 50ml,Pulkdeodorant,50 ml,other,,,,,https://prismamarket.ee/en/toode/pulkdeodorant-48h-aloe-vera-50ml/0000059099772,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/0000059099772.jpg,2025-08-27 15:43:23.780544+00,other,,personal_care,pcare_deo,high,block+deodorant,,,,
15059,Ibero juuksekumm lastele,Ibero,,other,,,,,https://prismamarket.ee/en/toode/ibero-juuksekumm-lastele/6413890042144,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6413890042144.jpg,2025-08-27 15:43:25.900661+00,other,,personal_care,pcare_shampoo_cond,high,hair care,,,,
15080,Mavala küünelakk natural,Mavala,,other,,,,,https://prismamarket.ee/en/toode/mavala-kuunelakk-natural/7618900910447,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7618900910447.jpg,2025-08-27 15:43:28.45922+00,other,,other,dry_other,low,no hard rule match,,,,
15104,Hügieeniside normal 20tk,Hügieeniside,,other,,,,,https://prismamarket.ee/en/toode/hugieeniside-normal-20tk/7340191144248,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7340191144248.jpg,2025-08-27 15:43:32.056044+00,other,,other,dry_other,low,no hard rule match,,,,
15105,Juuksevaha power 75ml,Juuksevaha,75 ml,other,,,,,https://prismamarket.ee/en/toode/juuksevaha-power-75ml/7332531119269,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7332531119269.jpg,2025-08-27 15:43:34.044579+00,other,,personal_care,pcare_shampoo_cond,high,hair care,,,,
15113,Puhastustabletid proteesidele 36 tk,Puhastustabletid,,other,,,,,https://prismamarket.ee/en/toode/puhastustabletid-proteesidele-36-tk/8710464120276,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/8710464120276.jpg,2025-08-27 15:43:40.408259+00,other,,household,hh_cleaners,high,cleaning block,,,,
15122,"Lumene CC peitekreem 1,75 8,5ml",Lumene CC,8.5 ml,other,,,,,https://prismamarket.ee/en/toode/lumene-cc-peitekreem-1-75-8-5ml/6412600859584,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6412600859584.jpg,2025-08-27 15:43:44.9491+00,other,,personal_care,pcare_cosmetics,high,cosmetics,,,,
15186,Raseerija+2 varutera Smooth3 3-teraline,Raseerija+2,,other,,,,,https://prismamarket.ee/en/toode/raseerija2-varutera-smooth3-3-teraline/8001090585752,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/8001090585752.jpg,2025-08-27 15:43:49.69688+00,other,,personal_care,pcare_shaving,high,block+shaving,,,,
15200,Rim butter me up huulepalsam red velvet,Rim,,other,,,,,https://prismamarket.ee/en/toode/rim-butter-me-up-huulepalsam-red-velvet/3616305729392,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/3616305729392.jpg,2025-08-27 15:43:52.372948+00,other,,personal_care,pcare_shampoo_cond,high,block+hair care,,,,
