product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
5207,"Coop sushi nori, röstitud punavetika lehed 5 tk/14 g",Coop,14 g,other,Prisma,,dry_other,other,other,,fallback
5208,Meira muskaatpähkel jahvatatud 23 g,Meira,23 g,other,Prisma,,dry_other,other,sweets_snacks,sweets_nuts_driedfruit,fallback
5210,Loco Taco kollane maisitortilla 250 g,Loco Taco,250 g,other,Prisma,,produce_herbs_salads_sprouts,produce,bakery,bakery_cakes_pastries,high
5212,"Snäkk pro Õllesigar, RAKVERE LK, 120 g",Õllesigar,120 g,other,"Coop, Prisma, Rimi, Selver",,dry_other,other,other,,fallback
5215,"Toorvorstikesed Pühajärve, MAKS&MOORITS, 400 g",Pühajärve,400 g,other,"Coop, Prisma, Selver",,meat_sausages,meat_fish,meat_fish,meat_sausages,high
5247,Santa Maria küüslaugusool 77 g,Santa Maria,77 g,other,"Prisma, Rimi, Selver",,spices_basic_salt_pepper,world_spices,world_spices,spices_herbs_spice_mix,high
5251,"Mamma Frikadellisupp, Supipõhi 500 G","Mamma Frikadellisupp,",500 g,other,Prisma,,dry_other,other,dry_preserves,dry_soups_noodles,fallback
5261,TUTTI FRUTTI BEARS 15G,TUTTI FRUTTI,15 g,other,"Coop, Prisma",,dry_other,other,other,,fallback
5262,Santa Maria üldmarinaad 75 g,Santa Maria,75 g,other,"Coop, Prisma",,sauces_marinades,sauces_oils,sauces_oils,sauces_marinades,high
5287,"Bong bong touch of taste pruunistatud sibulafondant, 180 ml",Bong,180 ml,other,Prisma,,produce_root_veg,produce,other,,high
5304,Flying goose sriracha suitsune tšillikaste 200ml,Flying,200 ml,other,"Prisma, Selver",,fish_salted_smoked,meat_fish,other,,high
5315,Bong touch of taste vasikapuljongikontsentraat 180 ml,Bong,180 ml,other,Prisma,,spices_broth_stock,world_spices,drinks,drinks_syrups_powders,high
5325,Vilux sinep dijon teraline 200 g,Vilux,200 g,other,"Coop, Prisma, Rimi, Selver",,dry_other,other,other,,fallback
5351,"Japanese choice sojakaste 200 ml, gluteenivaba",Japanese,200 ml,other,"Coop, Prisma, Selver",,bakery_gluten_free,bakery,bakery,bakery_gluten_free,high
5363,"Eesti dipikaste, soolakurgi-küüslaugu, 200 g",Eesti,200 g,other,Selver,,spices_basic_salt_pepper,world_spices,world_spices,spices_herbs_spice_mix,high
5370,Herkku Modena palsamiäädikas 250 ml,Herkku Modena,250 ml,other,Prisma,,oils_vinegar,sauces_oils,personal_care,pcare_shampoo_cond,high
5405,Maks ja Moorits Einepeekon 150G,Maks,150 g,other,"Coop, Prisma",,meat_pork,meat_fish,other,,high
5412,Coop sidrunipesto 190 g,Coop,190 g,other,Prisma,,produce_tropical,produce,other,,high
5436,Seasir hele sojakaste 480ml,Seasir,480 ml,other,"Coop, Prisma",,spices_asian,world_spices,world_spices,spices_other,high
5439,Red Band Tutti Frutti koolamaitselised närimiskompvekid 15g,Red Band,15 g,other,"Coop, Prisma, Rimi",,dry_other,other,other,,fallback
5451,Klassikaline äädikašašlõkk 800 g,Klassikaline,800 g,other,Prisma,,meat_pork,meat_fish,other,,high
5458,Pitsasingi kuubikud 250 g,Pitsasingi,250 g,other,Prisma,,dry_other,other,other,,fallback
5472,Pearl river bridge prb sojakaste tume 500ml,Pearl,500 ml,other,Prisma,,produce_apples_pears,produce,world_spices,spices_other,high
5492,Thormi taimne grillikas klassikalises marinaadis 450 g,Thormi,450 g,other,"Prisma, Rimi",,sauces_marinades,sauces_oils,sauces_oils,sauces_marinades,high
5498,Auran sinappi auran magus sinep 275 g,Auran,275 g,other,Prisma,,dry_other,other,other,,fallback
5504,"Valezs köömned, 20g",Valezs,20 g,other,Prisma,,dry_other,other,drinks,drinks_beer_cider,fallback
5513,"Äädikamarinaadis šašlõkk, RANNAROOTSI, 600 g",Äädikamarinaadis,600 g,other,"Prisma, Rimi, Selver",,meat_pork,meat_fish,sauces_oils,sauces_marinades,high
5545,Salt odyssey meresool pöögisuitsuga 150 g,Salt,150 g,other,Prisma,,fish_salted_smoked,meat_fish,world_spices,spices_herbs_spice_mix,high
5591,Felix grillkaste 510 g,Felix,510 g,other,"Coop, Prisma, Rimi, Selver",,sauces_other,sauces_oils,other,,heuristic
5597,Jenkki Enjoy marja-jäätisemaitseline närimiskumm 35g,Jenkki Enjoy,35 g,other,Prisma,,frozen_desserts_icecream,frozen_food,frozen_food,frozen_desserts_icecream,high
5601,Santa Maria sidrunipipar 70g,Santa Maria,70 g,other,"Coop, Prisma",,produce_tropical,produce,world_spices,spices_herbs_spice_mix,high
5609,Rakvere Küpsetatud Tagakoot 1 Kg,Rakvere Küpsetatud,1 kg,other,"Prisma, Selver",,dry_other,other,other,,fallback
5617,Flying goose sriracha tuline tšillikaste 200ml,Flying,200 ml,other,"Coop, Prisma, Selver",,sauces_other,sauces_oils,other,,heuristic
5622,Salt odyssey meresool veskis 190 g,Salt,190 g,other,Prisma,,spices_basic_salt_pepper,world_spices,world_spices,spices_herbs_spice_mix,high
5713,Chumak tomatiketšup 250g,Chumak,250 g,other,"Prisma, Selver",,produce_root_veg,produce,produce,produce_root_veg,high
5715,"Oskar Kauaküpsetatud Suitsukoot, Kg",Oskar Kauaküpsetatud,900 g,other,"Barbora, Maxima, Prisma",,fish_salted_smoked,meat_fish,other,,high
5723,Sacla pesto alla genovese 90g,Sacla,90 g,other,Prisma,,sauces_pasta_cooking,sauces_oils,other,,high
5725,"Chupa Chups Big Babol Tutti Frutti mullinäts 27,6 g",Chupa Chups,27.6 g,other,Prisma,,dry_other,other,other,,fallback
5736,Kaelašašlõkk sibula ja äädika 800G,Kaelašašlõkk,800 g,other,"Prisma, Rimi, Selver",,produce_root_veg,produce,other,,high
5748,Turun sinappi mahedamaitseline sinep 275 g,Turun,275 g,other,Prisma,,dry_other,other,other,,fallback
5750,Loco Taco röstitud salsa 180 g,Loco Taco,180 g,other,Prisma,,spices_mexican,world_spices,other,,high
5761,Karni Lemmikviiner 300 G,Karni Lemmikviiner,300 g,other,Prisma,,meat_sausages,meat_fish,drinks,drinks_spirits,high
5764,Rannarootsi Šveitsi Šnitsel Seavälisfileest 400 G,Rannarootsi Šveitsi,400 g,other,"Coop, Prisma, Selver",,dry_other,other,other,,fallback
5784,Herra Hakkaraisen Xylitoli pastillid pirnimaitselised 55g,Herra Hakkaraisen,55 g,other,Prisma,,produce_apples_pears,produce,other,,high
5793,Santa Maria ürdisegu küüslauguga 28 g,Santa Maria,28 g,other,"Coop, Prisma, Selver",,dry_other,other,other,,fallback
5796,Orbit White Freshmint närimiskumm 14 g,Orbit White,14 g,other,Prisma,,sweets_gums_mints,sweets_snacks,sweets_snacks,sweets_gums_mints,high
