product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
136,Salvest salatikurk 395 g,Salvest,395 g,produce,"Coop, Prisma, Rimi, Selver",,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
269,Presto veiseliha raguu köögiviljadega 350 g,Presto,350 g,produce,Prisma,,meat_beef_lamb_game,meat_fish,produce,produce_root_veg,high
1102,Puuviljaleib,Puuviljaleib,,produce,Prisma,,bakery_bread_loaves,bakery,produce,,high
1364,"Põnn köögiviljapüree seasisefileega 110 g, öko, alates 6-elukuust",Põnn,110 g,produce,"Coop, Prisma, Selver",,dry_other,other,produce,,fallback
1479,Rikkalik köögiviljasegu läätsedega 400 g,Rikkalik,400 g,produce,"Prisma, Rimi, Selver",,dry_groats_beans,dry_preserves,produce,produce_root_veg,high
1526,Köögiviljasegu Tervist! 400 g,Köögiviljasegu Tervist!,400 g,produce,"Coop, Prisma, Rimi, Selver",,dry_other,other,produce,produce_root_veg,fallback
1553,Salat Frillice kiles Naabriaia,Salat Frillice,,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
1692,"Apetit köögiviljapihvid crispy chick, 240 g",Apetit,240 g,produce,Prisma,,dry_other,other,produce,,fallback
1721,Chewits Fruit Salad 30g,Chewits Fruit,30 g,produce,Prisma,,produce_fruit_salads,produce,produce,,high
1786,Cooler Passion Fruit 4%vol muu alkohoolne jook 275ml,Cooler Passion,275 ml,produce,"Coop, Prisma",,produce_tropical,produce,produce,,high
1787,"G:N LD GRAPEFRUIT MUU ALKOHOOLNE JOOK 5,5%VOL 7,92L",G:N LD,7.92 L,produce,Prisma,,produce_tropical,produce,produce,,high
1844,Kalamajakas Kalmaarisalat Seesamiga Chuka Ika Sansa,Kalamajakas Kalmaarisalat,1 kg,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
1873,"HERBA piparmünditee 37,5g",HERBA,37.5 g,produce,"Coop, Prisma, Rimi, Selver",,drinks_tea_coffee,drinks,produce,,high
1886,Minu grillsüsi õuna ja pirnipuust 2 kg,Minu,2 kg,produce,Prisma,,produce_apples_pears,produce,produce,produce_apples_pears,high
2036,Puls trennieelne puuviljakokteil 300g,Puls,300 g,produce,Prisma,,dry_other,other,produce,produce_fruit_salads,fallback
2138,Loyd puuviljtee Pyramids metsamarja 40g,Loyd,40 g,produce,"Coop, Prisma, Rimi, Selver",,drinks_tea_coffee,drinks,produce,,high
2146,Maahärra FIT köögiviljasegu 400 g,Maahärra FIT,400 g,produce,"Coop, Prisma, Rimi, Selver",,dry_other,other,produce,produce_root_veg,fallback
2207,Kurgisalat Peipsiääre 400g,Kurgisalat Peipsiääre,400 g,produce,"Prisma, Selver",,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
2240,Sana-Sol Fruitmix suhkruvabad kihisevad puuviljamaitselised tabletid 20 tk,Sana-Sol Fruitmix,,produce,Prisma,,dry_other,dry_preserves,produce,,high
2275,USIN Kartulisalat usin 1 kg,USIN Kartulisalat,1 kg,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
2299,"Natur Compagnie orgaaniline köögiviljapuljong suhkruvaba, 8 kuubikut, 84g",Natur Compagnie,84 g,produce,Prisma,,spices_broth_stock,world_spices,produce,,high
2447,Knorr köögiviljapuljongi kuubik 20 x 10 g,Knorr,20x10 g,produce,Prisma,,spices_broth_stock,world_spices,produce,,high
2595,Kotimaista Magus friseesalat 100g,Kotimaista Magus,100 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
2596,Aura Fresh multifruit mahlajook 2L,Aura Fresh,2 l,produce,"Barbora, Coop, Maxima, Prisma, Rimi, Selver",,drinks_juices,drinks,produce,,high
2634,Gallina Blanca köögiviljapuljongikuubik 8*10g,Gallina Blanca,10 g,produce,"Coop, Prisma",,spices_broth_stock,world_spices,produce,,high
2777,Kopparberg Mixed Fruit &onade muu alkohoolne jook 5%vol 250ml,Kopparberg Mixed,250 ml,produce,Prisma,,dry_other,other,produce,,fallback
2791,Kotimaista Köögiviljapüreesupp Gluteeni-Ja Laktoosi,Kotimaista Köögiviljapüreesupp,300 g,produce,Prisma,,dry_canned_veg,dry_preserves,produce,,high
2981,Clausthaler Grapefruit alkoholivaba õlu 330ml,Clausthaler Grapefruit,330 ml,produce,"Barbora, Maxima, Prisma",,produce_tropical,produce,produce,,high
2997,"Apetit köögiviljapallid, 240 g",Apetit,240 g,produce,Prisma,,dry_other,other,produce,,fallback
3010,Minu Nõiamaja Grillikoda suitsulaastud kirsipuust 400g,Minu Nõiamaja,400 g,produce,Prisma,,fish_salted_smoked,meat_fish,produce,,high
3092,"Proteiinibatoon šokolaadi-sarapuupähkli, 50 g",Proteiinibatoon,50 g,produce,Prisma,,sweets_chocolate_bars,sweets_snacks,produce,,high
3131,Bavaria 0.0% Fruity Rose,Bavaria,,produce,Prisma,,dry_other,other,produce,,fallback
3169,Vikstal karamell puuvilja-marja assortii 200g,Vikstal,200 g,produce,Prisma,,dry_other,other,produce,,fallback
3171,Puuviljakuubikud Teholaxa 24 tk.,Puuviljakuubikud Teholaxa,,produce,Prisma,,dry_other,other,produce,,fallback
3178,Ice Breakers puuviljamaitselised jääkaramellid 42 g,Ice Breakers,42 g,produce,Prisma,,dry_other,dry_preserves,produce,,high
3214,"Findus köögiviljapulgad, 284 g",Findus,284 g,produce,Prisma,,dry_other,other,produce,,fallback
3235,MERIKAPSASALAT JUURVIL.,MERIKAPSASALAT JUURVIL.,,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
3314,"Vici Merekapsasalat Köögiviljadega, Kg",Vici Merekapsasalat,,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
3340,Dals Kitchen Kana Riisinuudlid Köögiviljadega 300G,Dals Kitchen,300 g,produce,"Prisma, Rimi",,meat_poultry,meat_fish,produce,produce_root_veg,high
3360,Kaminapuu lepp 28l,Kaminapuu,28 l,produce,Prisma,,dry_other,other,produce,,fallback
3463,"Apetit kartuli ja supiköögivilja segu, 750 g",Apetit,750 g,produce,Prisma,,produce_root_veg,produce,produce,produce_root_veg,high
3640,Felix caesar salatikaste 375 g,Felix,375 g,produce,"Coop, Prisma",,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
3767,Trolli Red Fruit Minirings kummikommid 100g,Trolli Red,100 g,produce,Prisma,,sweets_candies,sweets_snacks,produce,,high
3778,Vici Surimipulgasalat Ananassi Ja Köögiviljad,Vici Surimipulgasalat,,produce,Prisma,,produce_tropical,produce,produce,produce_root_veg,high
3990,Mentos puuviljamaitseline nätsukomm 38 g,Mentos,38 g,produce,Prisma,,dry_other,dry_preserves,produce,,high
4042,USIN Värskekapsa-porgandisalat 200 g,USIN Värskekapsa-porgandisalat,200 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
4095,Skittles dražeed Puuviljamaitselise suhkrukattega Crazy Sours 152g,Skittles,152 g,produce,Prisma,,dry_other,dry_preserves,produce,,high
4098,Vogel herbamare ürdisool 125g vogel mahe,Vogel,125 g,produce,Prisma,,spices_basic_salt_pepper,world_spices,produce,,high
4286,"Grillsüsi 30 l, kõrgekvaliteediline lehtpuusüsi",Grillsüsi,30 l,produce,Prisma,,drinks_tea_coffee,drinks,produce,,high
4404,Vogel herbam ürdisool 250g vogel mahe,Vogel,250 g,produce,Prisma,,spices_basic_salt_pepper,world_spices,produce,,high
4763,HARIBO Fruity Bussi kummikommid 175g,HARIBO Fruity,175 g,produce,"Coop, Prisma, Rimi, Selver",,sweets_candies,sweets_snacks,produce,,high
4893,Katjes puuviljakummikommid Pie&ve 175g,Katjes,175 g,produce,Prisma,,sweets_candies,sweets_snacks,produce,,high
5193,"Coop köögiviljapuljongikuubik 12 tk (10 g), 120 g",Coop,10 g,produce,Prisma,,spices_broth_stock,world_spices,produce,,high
6220,Reformi köögiviljapuljongipulber 120g mahe,Reformi,120 g,produce,Prisma,,spices_broth_stock,world_spices,produce,,high
6623,Salatisegu 160 g,Salatisegu,160 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
6646,Bong bond touch of taste köögiviljapuljongikontsentraat 180ml,Bong,180 ml,produce,Prisma,,spices_broth_stock,world_spices,produce,,high
6971,Felix sinepi ja mee kaste salatile 375 g,Felix,375 g,produce,"Coop, Prisma, Rimi, Selver",,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
7071,"Kotimaista puuviljane ja vürtsikas kanaduo grillimiseks, 650 g",Kotimaista,650 g,produce,Prisma,,meat_poultry,meat_fish,produce,,high
7518,MAHE ALFALFA VÕRSETESALAT 110G,MAHE ALFALFA,110 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
7640,Fruittella Rainbow Vegan nätsukommid 41g (20),Fruittella Rainbow,41 g,produce,Prisma,,sweets_candies,sweets_snacks,produce,,high
7852,Salvest Pastakaste köögiviljadega 460 g,Salvest Pastakaste,460 g,produce,"Coop, Prisma, Rimi, Selver",,dry_pasta_rice,dry_preserves,produce,produce_root_veg,high
8578,CHEF LUNDEN Sünnipäevasalat 400 g,CHEF LUNDEN,400 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
8753,Kartuli-singisalat 750g,Kartuli-singisalat,750 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
8857,"Coop cheddar köögivilja wrap, 200 g",Coop,200 g,produce,Prisma,,dairy_cheese_slices,dairy_eggs_fats,produce,,high
8978,ASTRI KÖÖK Kapsa-kurgisalat 250 g,ASTRI KÖÖK,250 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_herbs_salads_sprouts,high
9248,Kotimaista Kartulisalat 400 g,Kotimaista Kartulisalat,400 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
